policy_name,horizon_minutes,stop_atr,tp_atr,signal_count,expectancy_r,median_r,stop_first_rate,tp_first_rate,horizon_exit_rate
htf_1h_ema_regime_only,120,1.5,2.0,2846,-0.03967537811684818,-0.13005596326562485,0.35137034434293746,0.21363316936050597,0.4349964862965566
htf_1h_ema_regime_only,120,1.5,3.0,2846,-0.05315605223079988,-0.1786926278979406,0.3675333801827126,0.11595221363316936,0.516514406184118
htf_1h_ema_regime_only,120,1.5,4.0,2846,-0.056880940667041954,-0.2000198238345849,0.3759662684469431,0.07484188334504568,0.5491918482080113
htf_1h_ema_regime_only,120,1.5,5.0,2846,-0.06243052874044431,-0.21017610706790713,0.3791286015460295,0.04954321855235418,0.5713281799016163
htf_1h_ema_regime_only,120,1.5,6.0,2846,-0.07150518302135297,-0.21718964437016972,0.381939564300773,0.03232607167955025,0.5857343640196767
htf_1h_ema_regime_only,120,2.0,2.0,2846,-0.03116121349595345,-0.03919842118543736,0.25368938861560086,0.23049894588896697,0.5158116654954322
htf_1h_ema_regime_only,120,2.0,3.0,2846,-0.03684826166613156,-0.07465762919071563,0.26423049894588896,0.12825017568517216,0.6075193253689388
htf_1h_ema_regime_only,120,2.0,4.0,2846,-0.04400776016920911,-0.09295577862472598,0.2730147575544624,0.08151791988756149,0.6454673225579761
htf_1h_ema_regime_only,120,2.0,5.0,2846,-0.049564933408158866,-0.10007002882468576,0.2765284609978918,0.05375966268446943,0.6697118763176388
htf_1h_ema_regime_only,120,2.0,6.0,2846,-0.060442520638035395,-0.1051432161480885,0.2796907940969782,0.03443429374560787,0.6858749121574139
htf_1h_ema_regime_only,120,2.5,2.0,2846,-0.020732490716363836,0.00014239580949267747,0.1848208011243851,0.2431482782853127,0.5720309205903021
htf_1h_ema_regime_only,120,2.5,3.0,2846,-0.024997802485393232,-0.03766655747370857,0.19290231904427266,0.13633169360505973,0.6707659873506676
htf_1h_ema_regime_only,120,2.5,4.0,2846,-0.029695723194735638,-0.050180910905582216,0.20028109627547436,0.08854532677442024,0.7111735769501054
htf_1h_ema_regime_only,120,2.5,5.0,2846,-0.03650352756951211,-0.05653291751885643,0.20414617006324667,0.05797610681658468,0.7378777231201686
htf_1h_ema_regime_only,120,2.5,6.0,2846,-0.047402794523271834,-0.0597969805907394,0.2062543921293043,0.036542515811665496,0.7572030920590302
htf_1h_ema_regime_only,120,3.0,2.0,2846,-0.0177607610638968,0.012302753027197116,0.13914265635980325,0.2484188334504568,0.6124385101897399
htf_1h_ema_regime_only,120,3.0,3.0,2846,-0.0214519439180094,-0.0168072932929307,0.14406184118060436,0.13843991567111735,0.7174982431482783
htf_1h_ema_regime_only,120,3.0,4.0,2846,-0.02675194551266021,-0.03347256204625962,0.15073787772312017,0.08995080815179199,0.7593113141250878
htf_1h_ema_regime_only,120,3.0,5.0,2846,-0.03130925954251613,-0.03752977986469035,0.15319747013352072,0.05938158819395643,0.7874209416725229
htf_1h_ema_regime_only,120,3.0,6.0,2846,-0.03894523378320607,-0.040885297561999566,0.15460295151089248,0.03794799718903725,0.8074490513000703
htf_1h_ema_regime_only,120,4.0,2.0,2846,-0.0087375796481309,0.016248570719533194,0.08186929023190442,0.2565003513703443,0.6616303583977512
htf_1h_ema_regime_only,120,4.0,3.0,2846,-0.012150781649686571,-0.005520446481078935,0.08573436401967674,0.1444132115249473,0.7698524244553759
htf_1h_ema_regime_only,120,4.0,4.0,2846,-0.016024104952049343,-0.01773830022978066,0.08959943780744906,0.09451862262825017,0.8158819395643008
htf_1h_ema_regime_only,120,4.0,5.0,2846,-0.019154893810380505,-0.020655924881603185,0.09170765987350668,0.06359803232607168,0.8446943078004217
htf_1h_ema_regime_only,120,4.0,6.0,2846,-0.02696240122953819,-0.024115467440180234,0.09311314125087843,0.04005621925509487,0.8668306394940267
htf_1h_ema_15m_ema_structure,120,1.5,2.0,1596,-0.1028383708597732,-0.19037491508629867,0.37280701754385964,0.19486215538847118,0.4323308270676692
htf_1h_ema_15m_ema_structure,120,1.5,3.0,1596,-0.11943725606254184,-0.2762883171233636,0.39473684210526316,0.11591478696741854,0.4893483709273183
htf_1h_ema_15m_ema_structure,120,1.5,4.0,1596,-0.11546139843426269,-0.31058069620752815,0.40225563909774437,0.08020050125313283,0.5175438596491229
htf_1h_ema_15m_ema_structure,120,1.5,5.0,1596,-0.10146240161109289,-0.3191886365400187,0.40476190476190477,0.05952380952380952,0.5357142857142857
htf_1h_ema_15m_ema_structure,120,1.5,6.0,1596,-0.10310221079229619,-0.33156850395637416,0.40726817042606517,0.043233082706766915,0.5494987468671679
htf_1h_ema_15m_ema_structure,120,2.0,2.0,1596,-0.0767248633294493,-0.08876816715630256,0.2600250626566416,0.2111528822055138,0.5288220551378446
htf_1h_ema_15m_ema_structure,120,2.0,3.0,1596,-0.08100789062788473,-0.12223013403757524,0.27380952380952384,0.12907268170426064,0.5971177944862155
htf_1h_ema_15m_ema_structure,120,2.0,4.0,1596,-0.08386664522780805,-0.13497380696734979,0.2819548872180451,0.08771929824561403,0.6303258145363408
htf_1h_ema_15m_ema_structure,120,2.0,5.0,1596,-0.07328166705289182,-0.1381171096789629,0.28383458646616544,0.06328320802005012,0.6528822055137845
htf_1h_ema_15m_ema_structure,120,2.0,6.0,1596,-0.08130103368090816,-0.14739820591394376,0.287593984962406,0.044486215538847115,0.6679197994987469
htf_1h_ema_15m_ema_structure,120,2.5,2.0,1596,-0.057212902498357955,-0.043694733346294215,0.19235588972431078,0.22807017543859648,0.5795739348370927
htf_1h_ema_15m_ema_structure,120,2.5,3.0,1596,-0.06125278284787114,-0.07434846671487944,0.20175438596491227,0.13909774436090225,0.6591478696741855
htf_1h_ema_15m_ema_structure,120,2.5,4.0,1596,-0.060211566576999026,-0.08687123271945796,0.20927318295739347,0.09649122807017543,0.6942355889724311
htf_1h_ema_15m_ema_structure,120,2.5,5.0,1596,-0.05343270681096892,-0.08935178251832544,0.2111528822055138,0.06766917293233082,0.7211779448621554
htf_1h_ema_15m_ema_structure,120,2.5,6.0,1596,-0.06206903175411164,-0.09536732782217505,0.2136591478696742,0.046992481203007516,0.7393483709273183
htf_1h_ema_15m_ema_structure,120,3.0,2.0,1596,-0.04528523537429162,-0.028441757642797202,0.14097744360902256,0.2337092731829574,0.62531328320802
htf_1h_ema_15m_ema_structure,120,3.0,3.0,1596,-0.047593436656971994,-0.05021661996219309,0.14661654135338345,0.14223057644110276,0.7111528822055138
htf_1h_ema_15m_ema_structure,120,3.0,4.0,1596,-0.04801519090379751,-0.0612239196350982,0.15350877192982457,0.09837092731829573,0.7481203007518797
htf_1h_ema_15m_ema_structure,120,3.0,5.0,1596,-0.041872579326519166,-0.062398686509187964,0.15476190476190477,0.06954887218045112,0.7756892230576441
