policy_name,base_policy_name,atr_mult,timeframe,trade_count,long_count,short_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,cost_drag
tf_4h_donchian_20_with_risk_filters_atr5,tf_4h_donchian_20_with_risk_filters,5.0,4h,5,2,3,1.0401200000000013,0.9995392700000011,1.0401200000000013,0.040380730000000004,0.0002,0.6,2.7083746138703813,0.5282070966666668,-0.29254100999999955,0.19990785400000022,0.020051900000001163,0.5850820199993905,0.011697933041238583,1.7083746138721583,0.6657994053332417,9792.0,8880.0,1.4973676471960906,1.4966777649999996,-0.4292648700000003,0.040580730000000176
tf_4h_donchian_20_with_risk_filters_atr3,tf_4h_donchian_20_with_risk_filters,3.0,4h,5,2,3,1.0355300000000005,0.9949469750000005,1.0355300000000005,0.04038302500000001,0.0002,0.6,2.8978062241347553,0.5064028666666668,-0.26213081249999987,0.1989893950000001,0.020051900000001163,0.5242616249997809,0.010482047616618664,1.8978062241355473,0.6950978197165996,7968.0,7200.0,1.4385340233835062,1.4312650749999996,-0.4292648700000003,0.040583024999999995
tf_4h_donchian_20_with_risk_filters_atr4,tf_4h_donchian_20_with_risk_filters,4.0,4h,5,2,3,0.8018300000000018,0.7611301250000017,0.8018300000000018,0.040499875000000005,0.0002,0.6,2.3008947446376884,0.44873738166666693,-0.29254100999999955,0.15222602500000032,0.020051900000001163,0.5850820200003,0.011698490669962385,1.3008947446370194,0.5870613391634328,8640.0,8880.0,1.6531583479237502,1.2582686200000002,-0.4292648700000003,0.04069987500000016
tf_4h_donchian_20_10_atr5,tf_4h_donchian_20_10,5.0,4h,10,3,7,0.8053199999999984,0.728355049999998,0.8053199999999984,0.07656495,0.0004,0.4,1.6533286615597358,0.4607980449999998,-0.18580618833333354,0.0728355049999998,-0.1424247875000006,1.1148371300005238,0.0222885261925741,0.6533286615594296,0.46367458932631195,7440.0,5520.0,2.054873876415086,1.4966777649999996,-0.340449095,0.07696495000000037
tf_4h_ema_cross_atr_trail_atr3,tf_4h_ema_cross_atr_trail,3.0,4h,26,7,19,0.5369900000000022,0.3376273450000023,0.5369900000000022,0.19832265500000001,0.0010400000000000003,0.34615384615384615,1.16561169784321,0.2640328672222223,-0.11992167411764697,0.012985667115384705,-0.06557259750000001,1.363552570000138,0.027262406694190326,0.2476086015517305,0.17213694661632817,3359.423076923077,2160.0,5.920157400165516,1.854613295,-0.3106962350000009,0.1993626549999999
tf_4h_donchian_20_10_atr3,tf_4h_donchian_20_10,3.0,4h,11,3,8,0.36690999999999807,0.28311966499999763,0.36690999999999807,0.08335033500000001,0.00044,0.36363636363636365,1.18942080349286,0.4444448724999998,-0.21352283214285736,0.02573815136363615,-0.13292308000000058,1.4946598249998715,0.029882571575426377,0.18942080349287638,0.17903680405302033,6261.818181818182,4080.0,5.055336142051495,1.4312650749999996,-0.4406430899999997,0.08379033500000044
tf_4h_ema_cross_atr_trail_atr5,tf_4h_ema_cross_atr_trail,5.0,4h,25,7,18,0.471530000000003,0.27930545500000287,0.471530000000003,0.19122454500000002,0.0010000000000000002,0.32,1.1370038632961454,0.2897467393750002,-0.11992167411764697,0.011172218200000115,-0.07722775499999972,1.363552570000138,0.027262724596110992,0.20483658726848689,0.13827839987390855,3503.4,1920.0,7.390545648311733,1.9200259850000003,-0.3106962350000009,0.19222454500000014
tf_4h_ema_cross_atr_trail_atr4,tf_4h_ema_cross_atr_trail,4.0,4h,26,7,19,0.34024000000000376,0.14080281000000366,0.34024000000000376,0.19839719,0.0010400000000000003,0.34615384615384615,1.0690660657986553,0.2421634744444446,-0.11992167411764697,0.0054154926923078335,-0.06557259750000001,1.363552570000138,0.027263479578324867,0.10326173929618966,0.07830139149990746,3359.423076923077,2160.0,12.967145826137651,1.681616840000001,-0.3106962350000009,0.1994371900000001
tf_4h_donchian_20_10_atr4,tf_4h_donchian_20_10,4.0,4h,11,3,8,0.1332099999999992,0.049302814999998834,0.1332099999999992,0.08346718500000001,0.00044,0.36363636363636365,1.0316962018327684,0.40119575874999996,-0.2222114600000001,0.004482074090908985,-0.1519264950000006,1.555480219999481,0.031099622770586192,0.031696201832778874,0.034370046716457325,6567.272727272727,4080.0,25.521232813989016,1.2582686200000002,-0.4406430899999997,0.08390718500000036
tf_1h_donchian_55_with_risk_filters_atr3,tf_1h_donchian_55_with_risk_filters,3.0,1h,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_with_risk_filters_atr4,tf_1h_donchian_55_with_risk_filters,4.0,1h,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_with_risk_filters_atr5,tf_1h_donchian_55_with_risk_filters,5.0,1h,2,0,2,-0.39601999999999976,-0.4141999399999997,-0.39601999999999976,0.018099940000000002,8e-05,0.0,0.0,,-0.20709996999999986,-0.20709996999999986,-0.20709996999999986,0.41419993999988947,0.00828399879999779,-1.0000000000002662,-1.7064830666552742,1260.0,1260.0,0.08563504379068652,-0.03547002999999971,-0.37872991,0.01817993999999995
tf_1h_donchian_55_20_atr5,tf_1h_donchian_55_20,5.0,1h,25,11,14,-1.208110000000001,-1.3974157950000008,-1.208110000000001,0.188305795,0.0010000000000000002,0.2,0.566102494505199,0.3646393709999999,-0.1610306325,-0.055896631800000034,-0.13493766000000001,2.1337648299995635,0.042669012742719774,-0.6549061899198548,-0.75534219579785,2599.2,2160.0,-1.2590966599171722,1.672326125,-0.37872991,0.1893057949999999
tf_1h_donchian_55_20_atr3,tf_1h_donchian_55_20,3.0,1h,28,12,16,-1.3178200000000013,-1.5306326600000015,-1.3178200000000013,0.21169266000000003,0.0011200000000000006,0.25,0.4741504565878271,0.19716399428571402,-0.13860860095238092,-0.054665452142857195,-0.09030496499999985,1.6810984849998931,0.03362095793896315,-0.9104955323305159,-1.4122928712653202,2012.142857142857,1710.0,-0.6876974093836454,0.7755979849999997,-0.37872991,0.2128126600000002
tf_1h_donchian_55_20_atr4,tf_1h_donchian_55_20,4.0,1h,28,12,16,-2.0494700000000003,-2.262200855,-2.0494700000000003,0.21161085500000001,0.0011200000000000006,0.17857142857142858,0.35042150957728624,0.24407330299999988,-0.15141597260869563,-0.08079288767857143,-0.1237329925,2.262200854999719,0.04524401709999438,-1.0000000000001243,-2.0504568983659426,2194.285714285714,2010.0,-0.4653044457451587,0.7755979849999997,-0.37872991,0.21273085499999977
tf_1h_vol_compression_breakout_atr3,tf_1h_vol_compression_breakout,3.0,1h,28,15,13,-2.1703300000000003,-2.379547875,-2.1703300000000003,0.20809787500000004,0.0011200000000000006,0.17857142857142858,0.08465838499520732,0.044016064999999535,-0.11302731304347817,-0.08498385267857143,-0.0810888850000003,2.3795478749998438,0.047590957499996873,-1.0000000000000657,-4.669658179803367,1174.2857142857142,960.0,-0.08633725009630194,0.1342788549999997,-0.37872991,0.20921787499999978
tf_1h_donchian_20_10_atr3,tf_1h_donchian_20_10,3.0,1h,52,24,28,-2.109879999999996,-2.504099479999996,-2.109879999999996,0.39213948000000004,0.0020800000000000003,0.25,0.48908046843918296,0.1843894376923077,-0.12567082487179476,-0.04815575923076915,-0.07955271250000044,2.862108934999924,0.05723808034520855,-0.8749141059510589,-1.7369992424686358,1514.7115384615386,1080.0,-0.7181942787672334,0.8623146050000003,-0.4057886650000003,0.39421947999999984
tf_1h_donchian_20_10_atr5,tf_1h_donchian_20_10,5.0,1h,47,22,25,-2.2187999999999968,-2.5735174199999973,-2.2187999999999968,0.35283742000000007,0.0018800000000000008,0.2978723404255319,0.460696141931082,0.15702909392857137,-0.14460377984848474,-0.05475568978723398,-0.06333693500000029,2.5735174199999165,0.051470348399998325,-1.0000000000000313,-1.7136211962476409,1836.7021276595744,1320.0,-0.6422737639755332,0.8623146050000003,-0.5085680500000006,0.3547174200000005
tf_1h_vol_compression_breakout_atr5,tf_1h_vol_compression_breakout,5.0,1h,27,14,13,-2.4177500000000003,-2.619794375,-2.4177500000000003,0.20096437500000006,0.0010800000000000004,0.25925925925925924,0.08109491574544185,0.033028749999999746,-0.14254978124999992,-0.0970294212962963,-0.0639284100000003,2.6197943750003105,0.05239588750000621,-0.9999999999998815,-3.543093404452263,1471.111111111111,1200.0,-0.06743570857541038,0.1342788549999997,-0.5085680500000006,0.20204437499999983
tf_1h_donchian_20_10_atr4,tf_1h_donchian_20_10,4.0,1h,48,21,27,-2.356469999999997,-2.7178585949999974,-2.356469999999997,0.35946859500000006,0.00192,0.25,0.4459752077049014,0.1823169841666666,-0.13626840013888877,-0.05662205406249995,-0.06334285749999985,2.7178585949995977,0.05435717189999196,-1.000000000000147,-1.807876440156,1752.1875,1200.0,-0.6081636193438543,0.8623146050000003,-0.5085680500000006,0.3613885950000002
