policy_name,date,trade_count,gross_pnl,net_pnl,no_cost_net_pnl,fee_total,slippage_total,cumulative_net_pnl,equity
tf_1h_donchian_20_10_atr3,2026-01-01,1,-0.054530000000000294,-0.06333693500000029,-0.054530000000000294,0.008766935,4e-05,-0.06333693500000029,4999.936663065
tf_1h_donchian_20_10_atr3,2026-01-03,1,-0.1898699999999997,-0.1990425449999997,-0.1898699999999997,0.009132545,4e-05,-0.26237948,4999.73762052
tf_1h_donchian_20_10_atr3,2026-01-05,1,0.04781999999999971,0.03852278999999971,0.04781999999999971,0.00925721,4e-05,-0.2238566900000003,4999.77614331
tf_1h_donchian_20_10_atr3,2026-01-06,1,-0.10111999999999971,-0.1105753599999997,-0.10111999999999971,0.00941536,4e-05,-0.33443205,4999.66556795
tf_1h_donchian_20_10_atr3,2026-01-07,1,-0.13658000000000028,-0.1459647100000003,-0.13658000000000028,0.009344709999999999,4e-05,-0.4803967600000003,4999.51960324
tf_1h_donchian_20_10_atr3,2026-01-09,1,0.09649000000000088,0.08715543500000088,0.09649000000000088,0.009294565000000003,4e-05,-0.3932413249999994,4999.606758675
tf_1h_donchian_20_10_atr3,2026-01-13,1,-0.07419000000000088,-0.08342498500000088,-0.07419000000000088,0.009194985000000001,4e-05,-0.4766663100000003,4999.52333369
tf_1h_donchian_20_10_atr3,2026-01-15,1,0.3407700000000012,0.3312851750000012,0.3407700000000012,0.009444825000000002,4e-05,-0.1453811349999991,4999.854618865
tf_1h_donchian_20_10_atr3,2026-01-17,1,-0.041860000000000584,-0.051357050000000584,-0.041860000000000584,0.009457050000000002,4e-05,-0.19673818499999968,4999.803261815
tf_1h_donchian_20_10_atr3,2026-01-21,1,-0.008150000000000001,-0.017290945,-0.008150000000000001,0.009100945,4e-05,-0.21402912999999968,4999.78597087
tf_1h_donchian_20_10_atr3,2026-01-22,1,-0.09517999999999883,-0.10429559999999884,-0.09517999999999883,0.009075600000000001,4e-05,-0.3183247299999985,4999.68167527
tf_1h_donchian_20_10_atr3,2026-01-23,1,-0.36970000000000003,-0.37872991,-0.36970000000000003,0.008989910000000002,4e-05,-0.6970546399999985,4999.30294536
tf_1h_donchian_20_10_atr3,2026-01-26,1,-0.08198999999999942,-0.09088999499999942,-0.08198999999999942,0.008859995,4e-05,-0.7879446349999979,4999.212055365
tf_1h_donchian_20_10_atr3,2026-01-28,2,-0.3034700000000012,-0.32119065500000116,-0.3034700000000012,0.017640655000000005,8e-05,-1.109135289999999,4998.89086471
tf_1h_donchian_20_10_atr3,2026-02-04,1,0.8705300000000004,0.8623146050000003,0.8705300000000004,0.008175395000000002,4e-05,-0.24682068499999876,4999.753179315
tf_1h_donchian_20_10_atr3,2026-02-06,1,0.6120199999999998,0.6048301399999998,0.6120199999999998,0.00714986,4e-05,0.35800945500000103,5000.358009455
tf_1h_donchian_20_10_atr3,2026-02-07,1,-0.1715,-0.17851575000000003,-0.1715,0.006975750000000001,4e-05,0.179493705000001,5000.179493705
tf_1h_donchian_20_10_atr3,2026-02-08,1,-0.0996300000000003,-0.1066776350000003,-0.0996300000000003,0.007007635000000001,4e-05,0.0728160700000007,5000.07281607
tf_1h_donchian_20_10_atr3,2026-02-10,1,-0.10403999999999942,-0.11113522999999942,-0.10403999999999942,0.007055230000000001,4e-05,-0.038319159999998714,4999.96168084
