split,policy_family,trade_count,no_cost_net_pnl,net_pnl,win_rate,profit_factor,max_drawdown,avg_holding_minutes,cost_drag,stable_direction,max_ddpercent,avg_trade_net_pnl,active_symbol_count
train,4h_donchian,190,-10.727589999999994,-11.456298584999995,0.3631578947368421,0.5692767807260396,12.178586830000313,11415.126315789474,0.7287085850000015,negative_all_splits,0.24357173660000628,-0.06029630834210524,5
train,1d_donchian,31,-1.3378399999999981,-1.446273629999998,0.3548387096774194,0.7156512183141557,2.0067209400003776,53140.51612903226,0.10843362999999995,validation_only_reversal,0.04013271378558146,-0.046653988064516067,5
train,4h_ema,264,-0.2607599999999928,-1.2617110499999924,0.26136363636363635,0.8910982353445295,3.4332236999998713,3613.625,1.0009510499999996,negative_all_splits,0.0686361277572843,-0.0047792085227272435,5
train,1d_ema,35,1.7866,1.6508167100000004,0.34285714285714286,1.638578291079978,1.1109466549996796,27771.371428571427,0.13578328999999956,oos_rebound_validation_failed,0.022214700408255978,0.047166191714285724,5
train,vol_compression,66,-4.0212799999999955,-4.252638159999996,0.24242424242424243,0.45060334027691323,4.872860679999576,7447.227272727273,0.2313581600000001,negative_all_splits,0.09745721359999152,-0.06443391151515145,5
train,ensemble,269,-1.3758599999999963,-2.389399909999995,0.26022304832713755,0.8131988073765205,3.2230527699994127,3724.0037174721188,1.0135399099999987,negative_all_splits,0.06445353988340041,-0.008882527546468382,5
train,risk_filtered,13,1.2905300000000004,1.2616624350000003,0.46153846153846156,3.624164041488527,0.43865234999975655,10929.23076923077,0.028867565000000095,oos_rebound_validation_failed,0.008770379470889293,0.09705095653846156,4
validation,4h_donchian,82,-8.085150000000002,-8.393241334999999,0.3170731707317073,0.25352077668253037,9.096673774999545,8458.487804878048,0.30809133499999675,negative_all_splits,0.18191146557735585,-0.10235660164634146,5
validation,1d_donchian,9,0.51697,0.4845708450000002,0.6666666666666666,1.2440060592877644,1.8606247850002546,75359.44444444444,0.032399154999999846,validation_only_reversal,0.037212495700005094,0.053841205000000024,5
validation,4h_ema,112,-2.316029999999996,-2.722293194999996,0.1875,0.5486024570785579,2.763036694999755,2894.9910714285716,0.40626319499999974,negative_all_splits,0.055260733899995106,-0.02430618924107139,5
validation,1d_ema,10,-0.8521000000000011,-0.903538340000001,0.3,0.5030903239322861,1.8183150450004177,29087.7,0.051438339999999916,oos_rebound_validation_failed,0.03636630090000836,-0.0903538340000001,5
validation,vol_compression,26,-0.8131199999999994,-0.9149454099999994,0.38461538461538464,0.5040904585167827,1.4637198199998238,7162.961538461538,0.10182541,negative_all_splits,0.02927118374467858,-0.03519020807692305,5
validation,ensemble,117,-2.761139999999998,-3.1857684699999975,0.19658119658119658,0.5181562336990626,3.404351904999203,2951.7863247863247,0.4246284699999996,negative_all_splits,0.06808461646723066,-0.027228790341880322,5
validation,risk_filtered,4,-0.36466000000000054,-0.3778615900000005,0.25,0.06100718918160376,0.40241159000015614,10080.0,0.013201589999999985,oos_rebound_validation_failed,0.008048192283379012,-0.09446539750000013,3
oos,4h_donchian,88,-8.368030000000003,-8.657566245000002,0.20454545454545456,0.39071028266547664,8.796725219999644,8031.772727272727,0.28953624499999897,negative_all_splits,0.17593237713828525,-0.09838143460227275,5
oos,1d_donchian,13,-4.6565800000000035,-4.707535650000003,0.38461538461538464,0.298570414560229,5.870144704999802,39766.07692307692,0.050955649999999686,validation_only_reversal,0.11740289409999603,-0.36211812692307715,4
oos,4h_ema,99,-1.1879299999999995,-1.4896913249999988,0.21212121212121213,0.6497271566869481,2.4959017299997868,3158.757575757576,0.3017613249999993,negative_all_splits,0.049908944940834817,-0.015047387121212109,5
oos,1d_ema,18,0.9276899999999983,0.8733676249999981,0.2777777777777778,1.5535195023924901,1.5164978599996175,20159.833333333332,0.054322375000000256,oos_rebound_validation_failed,0.030329957199992347,0.048520423611111,5
oos,vol_compression,31,-2.1896900000000015,-2.2915965550000004,0.22580645161290322,0.0865880477383141,2.291596555000069,5527.741935483871,0.1019065549999989,negative_all_splits,0.04583193110000138,-0.07392246951612905,5
oos,ensemble,99,-0.8628099999999986,-1.1529297649999979,0.23232323232323232,0.7100955606249236,2.4723475749997306,3398.757575757576,0.29011976499999925,negative_all_splits,0.049434851512716885,-0.01164575520202018,5
oos,risk_filtered,9,0.2873299999999997,0.255895655,0.1111111111111111,1.2804705966605796,0.5476453100000072,7333.222222222223,0.0314343449999997,oos_rebound_validation_failed,0.010952906200000143,0.028432850555555556,5
