policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,10,6,4,1,0.02496000000000076,-0.00990575999999943,0.034465760000000005,0.0004,0.03486576000000019,0.4,0.9963542218803182,0.67678596125,-0.4528416008333332,-0.0009905759999999431,-0.1641718949999999,1.309817164999913,0.026189534485084504,-0.0075627043717968745,-0.004209902913810828,55584.0,28800.0,-154.39772718096214,1.5294268299999996,-1.3098171649999995,1.0,68.93152,1
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,5,2,3,1,0.8944999999999999,0.8798407499999998,0.00465925,0.01,0.014659250000000013,0.6,11.060956993058962,0.3224305833333333,-0.04372550000000003,0.17596814999999996,0.1402002499999999,0.05661500000041997,0.0011323000000083992,15.540770996970295,1.703757625602703,59327.8,61920.0,0.659617379622392,0.58035825,-0.05661499999999995,1.0,9.3185,1
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,9,4,5,1,-0.6434599999999994,-0.6642203699999993,0.02040037,0.00036,0.020760369999999972,0.3333333333333333,0.25759058076984914,0.07682055500000014,-0.14911367249999996,-0.07380226333333326,-0.08968112499999986,0.7824911750003594,0.01564982350000719,-0.8488534966540604,-1.6412498569035554,29439.88888888889,25920.0,-0.23064736783064962,0.15320068000000003,-0.35487147999999996,1.0,40.800740000000005,1
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,13,7,6,1,0.04780000000000002,0.04598613000000003,0.0012938700000000001,0.0005200000000000001,0.0018138699999999952,0.46153846153846156,1.7186934712869992,0.018328644166666668,-0.009140819285714282,0.0035373946153846175,-0.0019800899999999908,0.04957078499955969,0.000991415699991194,0.9276861361063476,0.5734000041955771,42313.769230769234,31680.0,1.6090871312719717,0.07399569,-0.01645388,1.0,2.58774,1
v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,7,5,2,1,-0.23645000000000002,-0.24130043500000004,0.002050435,0.0028000000000000004,0.004850435000000014,0.14285714285714285,0.0679124774870655,0.017581299999999956,-0.043146955833333334,-0.03447149071428572,-0.04616998999999998,0.25888173499970435,0.005177634699994087,-0.932087522513999,-3.341645854351461,31680.0,28800.0,-0.07286062289941564,0.017581299999999956,-0.073153945,1.0,4.1008700000000005,1
v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,7,4,3,1,-1.1909999999999992,-1.2178410399999993,0.02656104,0.00028000000000000003,0.026841040000000094,0.2857142857142857,0.5532371725812617,0.75404095,-0.5451845879999999,-0.17397729142857132,-0.4176824149999999,1.3809527150006033,0.027618153331362007,-0.8818846777092344,-0.6565326229290652,73851.42857142857,79200.0,-0.6810456272683999,0.829405315,-1.3809527149999994,1.0,53.12208000000001,1
v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,3,1,2,1,-0.7670499999999998,-0.7743935049999998,0.007223505,0.00012000000000000002,0.007343505000000028,0.3333333333333333,0.07836290481454825,0.06584340500000015,-0.420118455,-0.25813116833333327,-0.3276946549999999,0.7743935050002619,0.01548787010000524,-0.9999999999996615,-1.8536793655662833,36480.0,25920.0,-0.08502577123241777,0.06584340500000015,-0.5125422550000001,1.0,14.447009999999999,1
v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,6,3,3,1,0.015110000000000014,0.014316535000000019,0.000553465,0.00024,0.0007934649999999949,0.16666666666666666,1.2746418073579426,0.06644456000000001,-0.010425605,0.0023860891666666697,-0.008630439999999994,0.039693165000244335,0.0007938633000048866,0.3606801070136859,0.2011002047685723,79680.0,48240.0,4.641106245331005,0.06644456000000001,-0.01737846,1.0,1.10693,1
v3_1d_donchian_55_20_atr5,SOLUSDT_SWAP_OKX.GLOBAL,3,1,2,1,0.8503100000000001,0.8479714350000003,0.0011385650000000002,0.0012000000000000001,0.002338564999999848,0.3333333333333333,8.629113922342363,0.9591208350000002,-0.055574700000000005,0.2826571450000001,-0.049106310000000014,0.11114939999970375,0.002222987999994075,7.629113922362698,1.0234452906561602,115200.0,36000.0,1.1310768210016413,0.9591208350000002,-0.06204309,1.0,2.27713,1
v3_1d_ema_50_200_atr5,BTCUSDT_SWAP_OKX.GLOBAL,16,16,0,1,3.5551400000000024,3.489488710000002,0.06501129,0.00064,0.06565129000000036,0.375,4.6878322590278865,0.7392842458333334,-0.09462167649999982,0.21809304437500013,-0.034146219999999707,0.47165281500019773,0.009425589081542257,7.398426552375266,1.4796280698515305,33210.0,6480.0,0.6175912831653779,2.1550778100000008,-0.33363629999999883,1.0,130.02258,1
v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,7,5,2,1,-0.4623400000000001,-0.48413857000000016,0.00779857,0.014,0.021798570000000073,0.2857142857142857,0.15914088238919458,0.045814,-0.11515331400000003,-0.06916265285714288,-0.06067131999999998,0.5150952499998311,0.010301841217836226,-0.9399010571348869,-1.5432381361469307,29005.714285714286,18720.0,-0.09467072619312288,0.04583375000000007,-0.33514424999999987,1.0,15.59714,1
v3_1d_ema_50_200_atr5,ETHUSDT_SWAP_OKX.GLOBAL,20,19,1,1,-1.1695000000000009,-1.217671820000001,0.04737182,0.0008,0.04817182000000009,0.15,0.2396734144095922,0.12794658166666656,-0.09420656264705884,-0.06088359100000005,-0.04549718499999998,1.590826874999948,0.031814163176836954,-0.7654332719266141,-2.0648538444242632,16128.0,5760.0,-0.1858111202737694,0.22625696499999987,-0.45045852,1.0,94.74363999999998,1
v3_1d_ema_50_200_atr5,LINKUSDT_SWAP_OKX.GLOBAL,11,8,3,1,0.07570000000000002,0.07414071000000001,0.00111929,0.00044,0.0015592900000000048,0.2727272727272727,2.984863353211672,0.03716458833333334,-0.004669131875,0.006740064545454547,-0.0018620350000000073,0.020978009999453207,0.0004195594851771781,3.5342108237117102,0.9972376544940569,37963.545454545456,24480.0,0.8791564715255626,0.065181285,-0.010676434999999996,1.0,2.2385800000000002,1
