policy_name,symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,volume,contract_size,gross_pnl,fee,slippage,net_pnl,no_cost_pnl,no_cost_net_pnl,r_multiple,mfe,mae,timeframe,entry_source,entry_signal_time,exit_signal_time,entry_atr,initial_risk,turnover
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2023-01-22T00:00:00+08:00,23030.6,2023-02-11T00:00:00+08:00,21659.0,v3_1d_donchian_20_10_atr4:donchian_exit,28800.0,0.01,0.01,-0.13715999999999987,0.00223448,4e-05,-0.1394344799999999,-0.13715999999999987,-0.13715999999999987,-0.3299153478498946,0.1587300000000003,0.1602,1d,v3_1d_donchian_20_10_atr4,2023-01-21T23:59:00+08:00,2023-02-10T23:59:00+08:00,1056.5928571428572,0.4226371428571429,4.46896
v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,long,2023-01-22T00:00:00+08:00,25.276,2023-02-11T00:00:00+08:00,20.722,v3_1d_donchian_20_10_atr4:atr_trailing_stop,28800.0,0.01,1.0,-0.04553999999999998,0.00022999,0.0004,-0.04616998999999998,-0.04553999999999998,-0.04553999999999998,-0.18374130442198133,0.12522000000000003,0.13669,1d,v3_1d_donchian_20_10_atr4,2023-01-21T23:59:00+08:00,2023-02-10T23:59:00+08:00,6.281928571428572,0.25127714285714287,0.45998
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2023-01-28T00:00:00+08:00,7.393,2023-02-14T00:00:00+08:00,6.571,v3_1d_donchian_20_10_atr4:donchian_exit,24480.0,0.01,1.0,-0.008220000000000002,6.981999999999999e-05,4e-05,-0.008329820000000002,-0.008220000000000002,-0.008220000000000002,-0.5318199562203574,0.004190000000000005,0.009409999999999998,1d,v3_1d_donchian_20_10_atr4,2023-01-27T23:59:00+08:00,2023-02-13T23:59:00+08:00,0.3915714285714288,0.015662857142857152,0.13964
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2023-02-14T00:00:00+08:00,6.571,2023-02-19T00:00:00+08:00,8.205,v3_1d_donchian_20_10_atr4:donchian_exit,7200.0,0.01,1.0,-0.016340000000000004,7.388e-05,4e-05,-0.01645388,-0.016340000000000004,-0.016340000000000004,-0.918038896859557,0.0013999999999999967,0.01741,1d,v3_1d_donchian_20_10_atr4,2023-02-13T23:59:00+08:00,2023-02-18T23:59:00+08:00,0.4480714285714285,0.01792285714285714,0.14776
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2023-02-17T00:00:00+08:00,24779.5,2023-03-04T00:00:00+08:00,22333.3,v3_1d_donchian_20_10_atr4:donchian_exit,21600.0,0.01,0.01,-0.2446200000000001,0.0023556400000000004,4e-05,-0.2470156400000001,-0.2446200000000001,-0.2446200000000001,-0.5798061444159052,0.14330999999999985,0.3566200000000001,1d,v3_1d_donchian_20_10_atr4,2023-02-16T23:59:00+08:00,2023-03-03T23:59:00+08:00,1065.0785714285714,0.42603142857142856,4.71128
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2023-02-19T00:00:00+08:00,8.205,2023-03-04T00:00:00+08:00,6.899,v3_1d_donchian_20_10_atr4:donchian_exit,18720.0,0.01,1.0,-0.01306,7.552000000000001e-05,4e-05,-0.013175520000000001,-0.01306,-0.01306,-0.6667773279352228,0.001950000000000003,0.015440000000000006,1d,v3_1d_donchian_20_10_atr4,2023-02-18T23:59:00+08:00,2023-03-03T23:59:00+08:00,0.4939999999999999,0.019759999999999996,0.15104
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,short,2023-03-11T00:00:00+08:00,19991.2,2023-03-14T00:00:00+08:00,24061.7,v3_1d_donchian_20_10_atr4:donchian_exit,4320.0,0.01,0.01,-0.40705,0.0022026450000000005,4e-05,-0.409292645,-0.40705,-0.40705,-0.9148482351551219,0.0207,0.4558899999999998,1d,v3_1d_donchian_20_10_atr4,2023-03-10T23:59:00+08:00,2023-03-13T23:59:00+08:00,1118.4714285714292,0.4473885714285717,4.405290000000001
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,short,2023-03-11T00:00:00+08:00,1414.86,2023-03-15T00:00:00+08:00,1768.1,v3_1d_donchian_20_10_atr4:atr_trailing_stop,5760.0,0.01,0.1,-0.35324,0.00159148,4e-05,-0.35487147999999996,-0.35324,-0.35324,-1.0137447294749473,0.023859999999999902,0.4470200000000002,1d,v3_1d_donchian_20_10_atr4,2023-03-10T23:59:00+08:00,2023-03-14T23:59:00+08:00,87.51499999999997,0.3500599999999999,3.18296
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2023-03-11T00:00:00+08:00,6.2,2023-03-15T00:00:00+08:00,7.14,v3_1d_donchian_20_10_atr4:donchian_exit,5760.0,0.01,1.0,-0.009399999999999995,6.670000000000001e-05,4e-05,-0.009506699999999995,-0.009399999999999995,-0.009399999999999995,-0.6650699580251846,0.002730000000000006,0.010019999999999998,1d,v3_1d_donchian_20_10_atr4,2023-03-10T23:59:00+08:00,2023-03-14T23:59:00+08:00,0.35735714285714276,0.01429428571428571,0.13340000000000002
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2023-03-15T00:00:00+08:00,25887.8,2023-06-05T00:00:00+08:00,27178.0,v3_1d_donchian_20_10_atr4:atr_trailing_stop,118080.0,0.01,0.01,0.12902000000000008,0.00265329,4e-05,0.12632671000000006,0.12902000000000008,0.12902000000000008,0.19596300293405908,0.58968,0.28492999999999996,1d,v3_1d_donchian_20_10_atr4,2023-03-14T23:59:00+08:00,2023-06-04T23:59:00+08:00,1611.6142857142859,0.6446457142857144,5.30658
