breakout_distance_bucket,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mae_atr_median,take_profit_first_rate,stop_first_rate,mfe_atr_mean,mae_atr_mean
<=0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-0.25,2685,-0.00019317183695840697,-8.464533604198409e-05,0.0014192843415168866,0.0007221190821841843,0.0017024526897330774,0.0012555524906546944,0.4543761638733706,-0.00026829579950173244,-0.000172048003465744,0.0023672377816969323,0.0012117437366419206,0.002640721992149914,0.0018412945717220482,0.4584729981378026,-0.0003141568638867215,-0.0003123998144037824,0.0034263854890272394,0.0017694460828205011,0.003460134073478902,0.002379905568405559,0.43947858472998136,-0.0003721280992204652,-0.00038171345886420867,0.0050321060085509245,0.0025239691464821745,0.004730182313114957,0.003189422102061507,0.45400372439478587,-0.0005169504935982934,-0.00043746445601294896,0.007090050357498375,0.004029073941134243,0.0066393422431982145,0.004365264587647317,0.4521415270018622,3.5017262000301543,3.632351438263658,0.2990689013035382,0.6878957169459963,6.258972871544402,5.607951835295585
0.25-0.5,1155,-9.240189984245387e-05,-2.3744148254662637e-05,0.0016871834188863439,0.0008051734945039265,0.0017133516739082349,0.001159491238090005,0.48658008658008656,-0.00037827601421698727,-0.0003005382871906883,0.002769883886078204,0.0013707422288816722,0.0027109444327442374,0.0017996695434373076,0.42424242424242425,-0.000305692554725826,-0.0002958981623914615,0.0039029653061031853,0.0019224213746754826,0.0036101556419702425,0.0024728049090807017,0.44935064935064933,-0.0002466081142100028,-0.00019136606724394004,0.005525645279407271,0.003052617282144931,0.0048151371012507835,0.003273007725190487,0.4666666666666667,-0.00015218813143325584,-0.00043900468857007395,0.007476988518716971,0.004544391900482709,0.006635593791148456,0.004388642879866554,0.46060606060606063,4.196884785412559,4.184130360698422,0.3367965367965368,0.6562770562770562,7.599978231810446,6.110768993086728
0.5-1,818,-0.00046154558455852225,-0.000224528745219389,0.001810847705996924,0.0008142180446256038,0.0020638135038914163,0.0012101857381543834,0.43765281173594134,-0.0006212574096482853,-0.00034296960567091684,0.002947684124204952,0.0013707100054987684,0.003115424560863907,0.0019222840681502483,0.42053789731051344,-0.0006715761985976222,-0.0005079629967406211,0.004075276163296824,0.0021133229953423276,0.004134324313256626,0.002537782681293761,0.43643031784841074,-0.000907701186252784,-0.0005985243516519975,0.005536664820712117,0.003072009084069927,0.005387881840590287,0.0034012061498917604,0.43276283618581907,-0.0005517391263573011,-0.0005253868109847686,0.007879239379560563,0.005013697212100187,0.007061168075622937,0.004674314017941291,0.45354523227383864,5.061507388539377,4.727925089415349,0.37897310513447435,0.617359413202934,8.045409208882205,6.433308872085909
1-2,307,-0.0015496713164815682,-0.0006186528497409025,0.0019825078592021544,0.0005554136615544581,0.0037183648483211634,0.0018166964629673208,0.3355048859934853,-0.002279434107719145,-0.0010559511767030145,0.0028846082063165614,0.0010555266800645134,0.005137027541581223,0.00270048787924983,0.3355048859934853,-0.002796863468406543,-0.0013362637362637363,0.0035550116110716953,0.0015802022783587696,0.006377971332388104,0.0036044954658238466,0.2996742671009772,-0.002824264357124288,-0.0016691169367065118,0.005007353336085438,0.0025137614678899084,0.008215820800788542,0.004907775850132971,0.32247557003257327,-0.002454474551827429,-0.0018271130132147876,0.007170632617582835,0.0038309839453889503,0.010075142911548188,0.006460447135010476,0.36807817589576547,3.3228909750096784,5.4118789825988225,0.2899022801302932,0.7068403908794788,7.21353539123182,7.776428609597082
>2,330,-0.006451480198524177,-0.006697549991459578,0.003500108747813902,0.0009272297847965503,0.00898343113761039,0.009128713618457553,0.17272727272727273,-0.0075318699232879895,-0.008203456900146946,0.0038754146072508583,0.0013158303357415258,0.011007366258393535,0.010922876049070414,0.15454545454545454,-0.007782456258921806,-0.008614246432779587,0.0043523719261744165,0.0019104606044500398,0.012299499542743593,0.012074932215435132,0.1606060606060606,-0.008041992915960122,-0.008870992453348183,0.004973206093326531,0.0024913323733019004,0.013837157183689617,0.012952608668245429,0.1606060606060606,-0.007728954387890979,-0.008000647291629576,0.006363945359503817,0.004643313499311219,0.015661334804278837,0.014178323801603335,0.18787878787878787,2.245929487987568,6.848958142111444,0.23030303030303031,0.7696969696969697,4.857078183753987,8.033758607497418
unknown,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
