policy_name,time,equity,drawdown,ddpercent
v3_1d_donchian_20_10_atr4,2026-01-06T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_donchian_20_10_atr4,2026-01-31T00:00:00+08:00,4999.011510835,0.988489164999919,0.01976978329999838
v3_1d_donchian_20_10_atr4,2026-02-02T00:00:00+08:00,4997.43383353,2.5661664700000983,0.05132332940000196
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,4998.637119705,1.3628802949997407,0.027257605899994816
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,4998.6475886,1.3524114000001646,0.027048228000003293
v3_1d_donchian_20_10_atr4,2026-03-05T00:00:00+08:00,4998.763612,1.236388000000261,0.02472776000000522
v3_1d_donchian_20_10_atr4,2026-03-23T00:00:00+08:00,4998.75089789,1.2491021100004218,0.02498204220000844
v3_1d_donchian_20_10_atr4,2026-03-28T00:00:00+08:00,4998.15047637,1.8495236299995668,0.03699047259999134
v3_1d_donchian_20_10_atr4,2026-03-31T23:59:00+08:00,4998.01890302,1.9810969800000748,0.039621939600001495
v3_1d_donchian_55_20_atr5,2026-01-15T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_donchian_55_20_atr5,2026-01-31T00:00:00+08:00,4998.620655505,1.3793444949997138,0.027586889899994277
v3_1d_donchian_55_20_atr5,2026-02-06T00:00:00+08:00,4996.696021765,3.303978234999704,0.06607956469999407
v3_1d_donchian_55_20_atr5,2026-03-05T00:00:00+08:00,4997.364185635,2.635814365000442,0.052716287300008845
v3_1d_donchian_55_20_atr5,2026-03-14T00:00:00+08:00,4997.37005223,2.629947770000399,0.05259895540000798
v3_1d_donchian_55_20_atr5,2026-03-17T00:00:00+08:00,4997.27356133,2.7264386699998795,0.05452877339999759
v3_1d_ema_50_200_atr5,2026-01-02T00:00:00+08:00,5000.0,0.0,0.0
v3_1d_ema_50_200_atr5,2026-01-04T00:00:00+08:00,4999.61949337,0.3805066300001272,0.007610132600002543
v3_1d_ema_50_200_atr5,2026-01-05T00:00:00+08:00,4999.33109687,0.6689031300002171,0.013378062600004343
v3_1d_ema_50_200_atr5,2026-01-06T00:00:00+08:00,4999.317896315,0.6821036849996744,0.01364207369999349
v3_1d_ema_50_200_atr5,2026-01-06T00:00:00+08:00,4999.245135315,0.7548646850000296,0.015097293700000592
v3_1d_ema_50_200_atr5,2026-01-07T00:00:00+08:00,4999.178980195,0.8210198050001054,0.016420396100002108
v3_1d_ema_50_200_atr5,2026-01-09T00:00:00+08:00,4999.175503745,0.8244962549997581,0.016489925099995164
v3_1d_ema_50_200_atr5,2026-01-10T00:00:00+08:00,4998.91775585,1.082244150000406,0.021644883000008122
v3_1d_ema_50_200_atr5,2026-01-14T00:00:00+08:00,4998.915190925,1.0848090749996118,0.021696181499992237
v3_1d_ema_50_200_atr5,2026-01-15T00:00:00+08:00,4998.844217175,1.1557828249997328,0.023115656499994655
v3_1d_ema_50_200_atr5,2026-01-15T00:00:00+08:00,4998.606323275,1.3936767249997501,0.027873534499995006
v3_1d_ema_50_200_atr5,2026-01-18T00:00:00+08:00,4998.48779885,1.5122011499997825,0.030244022999995648
v3_1d_ema_50_200_atr5,2026-01-18T00:00:00+08:00,4998.48350214,1.5164978599996175,0.030329957199992347
v3_1d_ema_50_200_atr5,2026-03-14T00:00:00+08:00,4998.51096793,1.4890320699996664,0.02978064139999333
v3_1d_ema_50_200_atr5,2026-03-17T00:00:00+08:00,5000.29708313,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-18T00:00:00+08:00,5000.23573663,0.06134649999967223,0.001226857104283724
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,5000.76906488,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,5000.86130993,0.0,0.0
v3_1d_ema_50_200_atr5,2026-03-31T23:59:00+08:00,5000.873367625,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-01-02T20:00:00+08:00,5000.0,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-01-05T16:00:00+08:00,4999.29897152,0.7010284799998772,0.014020569599997545
v3_4h_donchian_100_30_atr5,2026-01-19T12:00:00+08:00,4999.31369066,0.6863093399997524,0.013726186799995049
v3_4h_donchian_100_30_atr5,2026-02-10T08:00:00+08:00,4999.34402124,0.6559787599999254,0.013119575199998509
v3_4h_donchian_100_30_atr5,2026-02-21T20:00:00+08:00,5001.334177155,0.0,0.0
v3_4h_donchian_100_30_atr5,2026-02-26T00:00:00+08:00,5001.32635765,0.007819505000043137,0.00015634838071330894
v3_4h_donchian_100_30_atr5,2026-03-04T20:00:00+08:00,5000.653550685,0.6806264700007887,0.013608898063835473
v3_4h_donchian_100_30_atr5,2026-03-05T00:00:00+08:00,5000.923397135,0.4107800199999474,0.008213408771529417
v3_4h_donchian_100_30_atr5,2026-03-08T04:00:00+08:00,5000.481504655,0.8526725000001534,0.01704890074922357
v3_4h_donchian_100_30_atr5,2026-03-08T20:00:00+08:00,4999.336022375,1.998154780000732,0.03995243487483531
v3_4h_donchian_100_30_atr5,2026-03-11T12:00:00+08:00,4998.78354645,2.550630705000003,0.050999005758317964
v3_4h_donchian_100_30_atr5,2026-03-17T16:00:00+08:00,4998.781137185,2.5530399700001,0.05104717820420455
v3_4h_donchian_100_30_atr5,2026-03-31T23:59:00+08:00,4998.70882959,2.6253475650000837,0.0524929443225789
v3_4h_donchian_20_10_atr4,2026-01-01T04:00:00+08:00,5000.0,0.0,0.0
v3_4h_donchian_20_10_atr4,2026-01-03T00:00:00+08:00,4999.7997215,0.20027850000042235,0.004005570000008447
v3_4h_donchian_20_10_atr4,2026-01-05T16:00:00+08:00,4999.1458766,0.8541234000003897,0.017082468000007792
v3_4h_donchian_20_10_atr4,2026-01-08T00:00:00+08:00,4998.93580253,1.064197470000181,0.02128394940000362
v3_4h_donchian_20_10_atr4,2026-01-12T12:00:00+08:00,4998.588429845,1.4115701549999358,0.028231403099998716
v3_4h_donchian_20_10_atr4,2026-01-16T20:00:00+08:00,4998.501999345,1.4980006550003964,0.02996001310000793
