family,hold_label,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
breakout_retest_reclaim,fixed_hold_10d,1d,191,-1417.8077939986106,-1608.8077939986108,-1024.599910564888,5730,True,0.42408376963350786,0.889885426598477,2166.2931222968464,0.4843778318185115,-3.028291623480446
breakout_retest_reclaim,fixed_hold_1d,1d,191,-195.79530451229527,-386.7953045122952,-327.2939714082783,573,True,0.47643979057591623,0.9070171312066195,627.202802651814,1.0,-4.282978084381498
breakout_retest_reclaim,fixed_hold_1d,4h,1116,-754.6679838130706,-1870.6679838130708,-1615.6872820228891,3348,True,0.4722222222222222,0.9212224608360201,2269.9881339320295,0.5319522151062879,-4.895400535683961
breakout_retest_reclaim,fixed_hold_3d,1d,191,862.8576962899856,671.8576962899856,857.0763032164808,1719,True,0.4712041884816754,1.150322854215575,1154.3570554034732,0.5774580089703462,3.305526107164809
breakout_retest_reclaim,fixed_hold_3d,4h,1116,-3034.529931596713,-4150.529931596713,-3416.3495594659566,10044,True,0.48476702508960573,0.9016071846700727,4164.959055901096,0.8434630910532771,-3.201835297179573
breakout_retest_reclaim,fixed_hold_4h,4h,1116,872.4925096776863,-243.50749032231363,-199.78131447634408,562,True,0.45698924731182794,0.975120528333188,979.6047263797028,0.8779106797482922,-18.650877191536733
breakout_retest_reclaim,fixed_hold_8h,4h,1116,817.3798002414206,-298.6201997585792,-215.11575021417178,1116,True,0.48655913978494625,0.9820214336077063,1261.2603837625666,0.5830927352534881,-26.426663650618853
cross_symbol_breadth_acceleration,fixed_hold_10d,1d,1429,1587.3763671047243,158.3763671047243,2314.707473788802,42615,True,0.5066480055983205,1.0363779047506723,5651.790328003064,0.6131490375384723,8.063076745780146
cross_symbol_breadth_acceleration,fixed_hold_1d,1d,1429,-52.64526080111921,-1481.6452608011193,-1263.2383150068913,4287,True,0.46186144156752973,0.9365705708022223,2045.3004563271675,0.7424737763816057,-5.081433389329879
cross_symbol_breadth_acceleration,fixed_hold_1d,4h,5778,2427.9500049606495,-3350.0499950393514,-2351.495145626318,17304,True,0.4780200761509173,0.9711641610479009,4017.1488099081007,1.0,-12.530517172707315
cross_symbol_breadth_acceleration,fixed_hold_3d,1d,1429,2595.0622343201676,1166.0622343201676,1776.816334804683,12861,True,0.5017494751574527,1.053629127924369,2399.8081898666205,0.42056376336522194,6.125479053686091
