family,hold_label,split,trade_count,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution
relative_strength_leader,fixed_hold_1d,validation_ext,3292,0.4558989872023271,-735.3220068803828
relative_strength_leader,fixed_hold_3d,oos_ext,2718,0.2885609389062498,1.177557544219481
relative_strength_leader,fixed_hold_3d,train_ext,4155,1.0,-1.9018872608049964
relative_strength_leader,fixed_hold_3d,validation_ext,3292,0.37445245740032,4.00581880237683
relative_strength_leader,fixed_hold_4h,oos_ext,2032,1.0,-2.977099463850308
relative_strength_leader,fixed_hold_4h,train_ext,3148,1.0,-2.0880153904455883
relative_strength_leader,fixed_hold_4h,validation_ext,2439,1.0,-4.370201369313369
relative_strength_leader,fixed_hold_8h,oos_ext,2032,0.7016497899557426,-10.855134851033304
relative_strength_leader,fixed_hold_8h,train_ext,3148,1.0,-2.189659347782324
relative_strength_leader,fixed_hold_8h,validation_ext,2439,1.0,-2.7636363132078596
