family,selected_hold_label,event_count,trend_segment_recall,early_entry_rate,direction_match_rate,median_entry_lag_bars,median_entry_lag_pct,average_remaining_mfe,average_missed_mfe_before_entry,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,funding_events_count,funding_data_complete,win_rate,profit_factor,max_drawdown,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,train_ext_trade_count,train_ext_no_cost_pnl,train_ext_cost_aware_pnl,train_ext_funding_adjusted_pnl,validation_ext_trade_count,validation_ext_no_cost_pnl,validation_ext_cost_aware_pnl,validation_ext_funding_adjusted_pnl,oos_ext_trade_count,oos_ext_no_cost_pnl,oos_ext_cost_aware_pnl,oos_ext_funding_adjusted_pnl,reverse_test_result,random_time_control_result,reverse_no_cost_pnl,random_no_cost_pnl
pre_breakout_momentum_acceleration,fixed_hold_4h,3779,0.16318785578747627,0.15824292140777985,0.9507806297962423,48.0,0.6027397260273972,0.5441010670034006,0.21658832922804908,2886,-281.1482790396027,-3167.148279039602,-3071.9224479550758,1483,True,0.4473319473319473,0.8312501765239769,3169.3165031147932,0.2947154430693434,-1.9711344568590408,1309,-25.66712681718502,-1334.667126817185,-1277.729168760349,931,453.1308010462436,-477.8691989537564,-452.218576799435,646,-708.6119532686612,-1354.6119532686612,-1341.9747023952923,-3059.581792192727,-1943.8305156914641,-204.85499132571948,839.4889534420831
breakout_retest_reclaim,fixed_hold_8h,1307,0.08791903858317521,0.1713848508033665,0.9563886763580719,57.0,0.6153846153846154,0.60377230494289,0.2713772740411648,1116,817.3798002414206,-298.6201997585792,-215.11575021417178,1116,True,0.48655913978494625,0.9820214336077063,1261.2603837625666,0.5830927352534881,-26.426663650618853,500,93.18096927100788,-406.81903072899195,-341.71734105628923,382,-817.3289246041028,-1199.3289246041027,-1174.3614010058986,234,1541.5277555745154,1307.5277555745156,1300.9629918480155,-2245.632111419747,-1405.3011255675706,-1221.554951339381,-362.1127049136034
cross_symbol_breadth_acceleration,fixed_hold_4h,7207,0.3845667299177736,0.22450395448869154,0.8895518246149576,35.0,0.5,0.4787796462896373,0.16446727289663504,5778,4832.655978873796,-945.3440211262034,-787.912142858172,2831,True,0.4499826929733472,0.9760935749872044,1848.904035359551,1.0,-18.74446988794539,2610,235.19297738630905,-2374.8070226136906,-2283.6863348488455,1804,3247.320237959892,1443.320237959892,1483.8271074639229,1364,1350.1427635275954,-13.857236472404622,11.947084526750729,-5401.828930659255,-2569.571284656985,364.3234020359358,3020.0728161011602
funding_neutral_momentum,fixed_hold_4h,8054,0.39342188488298546,0.25217283337472063,0.902036255276881,31.0,0.4797297297297297,0.49520980776227225,0.16471737641042583,6210,-360.10728207766215,-6570.1072820776635,-6473.831987028851,2846,True,0.44605475040257647,0.8559922758103947,6563.008409648598,1.0,-2.739006033231999,2357,-1278.2395169552628,-3635.2395169552638,-3588.32061840214,2186,402.1499089113539,-1783.8500910886466,-1753.6400230685153,1667,515.9823259662468,-1151.0176740337536,-1131.8713455581953,5455.132052357441,-6772.835760403439,11703.679490134495,-751.3701496458461
relative_strength_leader,fixed_hold_4h,10165,0.46995572422517395,0.26256763403836697,0.8741760944417117,32.0,0.4702702702702703,0.519227638588973,0.16904329355111938,7619,24.180252187285873,-7594.819747812715,-7429.900748835364,3700,True,0.4382464890405565,0.8543221167322093,8289.53247073217,1.0,-2.90131308977241,3148,-616.8115218747125,-3764.8115218747125,-3678.804545460511,2439,565.1492164538622,-1873.850783546138,-1825.3492784892485,2032,75.84255760813573,-1956.1574423918642,-1925.7469248856064,7289.173489325358,-2227.5104750826763,14905.404644482065,5142.753590960954
