variant,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl
C,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,561.9452690723015,487.94526907230147,471.5487945394148
C,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,1114.2215510016904,982.2215510016904,930.2112310184107
C,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,-388.313216111025,-498.313216111025,-604.4901816309094
C,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,79.30941840427991,13.30941840427991,3.5579681563587684
C,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,2997.3854327744407,2959.3854327744407,2927.3412280114967
C,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,494.8656649251785,426.8656649251785,430.52109172017794
C,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1028.9040242971464,918.9040242971464,880.3801398231008
C,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1005.8048100915636,969.8048100915636,962.7323234738855
D,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,27,371.42626916292977,317.42626916292977,319.8505053716492
D,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,22,1573.8637385492384,1529.8637385492384,1512.2236960416303
D,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,30,-12.247752830160909,-72.24775283016088,-78.75130196221983
D,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,42,563.3073107861383,479.30731078613826,478.3558148538287
D,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,29,25.12995918142191,-32.87004081857809,-35.63040278284444
D,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,42,1015.7820863644653,931.7820863644653,886.1653945277054
D,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,41,1104.077416633162,1022.0774166331621,986.298379793646
D,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,43,1473.0638302445334,1387.0638302445336,1341.6455958235426
D,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,65,1484.309095873007,1354.309095873007,1302.2381575781687
D,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,42,3026.7428302147305,2942.7428302147305,2888.926320283309
D,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,21,97.98112217188178,55.98112217188178,53.707012734529805
D,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,21,1237.1627974337132,1195.1627974337132,1197.5964048589044
D,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,21,247.95676833509683,205.95676833509683,199.53788869279543
D,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,41,778.6733155070319,696.6733155070319,672.1271801449523
D,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,21,178.54370648843656,136.54370648843656,135.8281586405982
E,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,387.3550280643094,341.3550280643094,340.2837981830472
E,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1028.7727877732148,976.7727877732146,970.7708810308924
E,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,866.3023432099086,820.3023432099086,818.9901476759874
E,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,255.11269257536102,201.112692575361,202.0518484386207
E,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,980.951973884715,942.951973884715,936.7070175159846
E,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,551.1238046748689,483.1238046748689,479.25949927477484
E,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,1730.5628490183874,1652.5628490183874,1643.1584715404588
E,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,435.9451865279291,361.9451865279291,354.90094027211853
E,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,593.7683861458215,461.7683861458215,430.27204535129005
E,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,6680.423350289341,6570.423350289341,6558.603870912008
E,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,372.9221219343954,306.9221219343954,308.7994117440022
E,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,1042.2740309530898,1004.2740309530898,995.9813548886568
E,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,284.68649138509033,216.6864913850903,217.40909767089775
E,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1116.7501578979789,1006.7501578979789,1005.4712200366305
E,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1228.1583910686486,1192.1583910686486,1187.2779591179747
