variant,split,symbol,trade_count,total_no_cost_pnl,top_5pct_contribution,concentration_pass
B,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,624.0611612632272,0.5877437620979755,True
BC,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,509.447275534607,0.5814947942031397,True
BC,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,497.987962819053,1.2151886530479843,True
BC,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1810.485099036802,0.6159112276612988,True
C,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,211.35043201523044,1.4016575969099445,True
C,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,1114.2215510016904,0.80966600747864,True
C,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1028.9040242971462,1.0837727073445735,True
D,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,42,563.3073107861383,0.8041228404387044,True
D,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,65,1484.309095873007,0.8185724791578689,True
D,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,41,778.6733155070318,0.9902894698727943,True
E,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,255.11269257536097,0.9990885799391233,True
E,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,593.7683861458216,1.1836491075614806,True
E,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1116.7501578979786,0.5067674588107324,True
A,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-124.0110365218771,-1.959612984421464,True
A,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-236.9809096745751,-0.5714737015591324,True
A,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,704.3265344702968,0.5122671182210572,True
B,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-203.7705971816094,-0.4654259132123174,True
B,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-92.3356006445694,-0.5113687203316146,True
B,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,28.56917684068666,0.9606668437121949,True
BC,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,542.7950773765247,0.5389041777930682,True
BC,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,811.4165953763422,0.2866800382282698,True
BC,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,3489.52855796687,0.445407893952599,True
C,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,302.4958315816405,0.9670035231701174,True
C,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,384.89422361000015,0.6294073840513236,True
C,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,2997.3854327744407,0.5185397743301953,True
D,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,22,1573.8637385492384,0.20975738649974468,True
D,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,41,1104.0774166331623,0.8734903801487554,True
D,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,21,1237.162797433713,0.3813864184786043,True
E,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1028.7727877732148,0.32778447829587476,True
E,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,1730.562849018387,0.3525952621120719,True
E,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,1042.2740309530896,0.2525679670555189,True
