signal_id,datetime,vt_symbol,direction,action,price,close_1m,donchian_high,donchian_low,breakout_distance,breakout_distance_atr,atr_1m,atr_pct,rsi,fast_ema_5m,slow_ema_5m,ema_spread,ema_spread_pct,regime,regime_persistence_count,hour,weekday,is_weekend,filter_reject_reason,position_before,volume,stop_price,take_profit_price,trail_stop_price,future_return_5m,mfe_5m,mae_5m,future_return_15m,mfe_15m,mae_15m,future_return_30m,mfe_30m,mae_30m,future_return_60m,mfe_60m,mae_60m,future_return_120m,mfe_120m,mae_120m,mfe_atr,mae_atr,hit_take_profit_before_stop,hit_stop_before_take_profit,max_favorable_time,max_adverse_time,breakout_distance_bucket
OkxAdaptiveMhfStrategy-20260101015400-000009,2026-01-01T01:55:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,long,entry,89418.5,89422.8,89414.3,89211.0,8.5,0.1288596874640619,65.96322067264512,0.0007376555047778,67.89059734887059,89293.13127430704,89285.09531658993,8.035957717118436,8.986475168657698e-05,long,1,1,3,False,,0.0,3.72,89284.3658,89576.81172961435,89299.76620278924,-0.0009203911942159945,0.0,0.0009203911942159945,-0.0015175830504872826,0.0020007045521899178,0.0015175830504872826,-0.0043402651576575964,0.0020007045521899178,0.0043402651576575964,-0.004680239547744595,0.0035272342971532085,0.004680239547744595,-0.012954813601212213,0.0035272342971532085,0.013067765618971466,4.781452403078163,17.71441703550075,True,False,34.0,120.0,0-0.25
OkxAdaptiveMhfStrategy-20260101021900-000016,2026-01-01T02:20:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,89123.7,89123.9,89597.4,89179.1,55.20000000001164,1.1729674420279177,47.06012973776798,0.0005280304131413,29.56552241257797,89272.30204948228,89282.59338503784,-10.291335555550177,-0.0001154722308555,short,1,2,3,False,,0.0,3.74,89257.38584999999,89010.75568862936,89208.40823352798,0.0010468595895368226,0.0010468595895368226,0.0,-0.00289148677624467,0.0013879585340374906,0.00684666368205087,0.0013879585340374906,0.0013879585340374906,0.00684666368205087,0.002509994535684639,0.002509994535684639,0.00684666368205087,0.014853512589804989,0.0148568786978098,0.00684666368205087,28.136344021536736,12.966390092849291,False,True,120.0,9.0,1-2
OkxAdaptiveMhfStrategy-20260101030500-000018,2026-01-01T03:06:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88999.3,88999.2,89019.2,89000.0,0.8000000000029104,0.0459969877894236,17.392443254444128,0.0001954224673305,33.236452702616084,89132.23271968297,89236.73710957424,-104.50438989126997,-0.0011742171827529,short,5,3,3,False,,0.0,3.74,89132.7988,88957.55813618934,89030.606397858,0.0011157391125548506,0.0011157391125548506,0.0,0.0011157391125548506,0.0011157391125548506,0.0,0.005609032880033855,0.005610156484376876,0.0,0.011070873591140637,0.011092222073656725,0.0,0.017969804256887444,0.017970927861230467,0.0,91.9594778376712,0.0,True,False,120.0,1.0,0-0.25
OkxAdaptiveMhfStrategy-20260101032500-000021,2026-01-01T03:26:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88885.0,88885.0,89000.6,88900.0,15.0,1.855572256922226,8.083759575539238,9.094627412430936e-05,15.010288704859391,89022.59107345255,89186.34272761077,-163.7516541582154,-0.0018422867093234,short,9,3,3,False,,0.0,3.75,89018.3275,88865.5989770187,88899.55076723597,0.0029172526298025868,0.0029251279743488776,0.0,0.004488946391404624,0.004492321539067367,0.0,0.007130561962085874,0.0071440625527366824,0.0,0.012482421105923383,0.012491421499690644,0.0,0.017152500421893525,0.01729200652528548,0.0,190.1343039259641,0.0,True,False,113.0,1.0,1-2
OkxAdaptiveMhfStrategy-20260101033000-000024,2026-01-01T03:31:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88656.6,88656.8,88939.0,88694.7,37.89999999999418,1.8026026676164035,21.02515472814076,0.0002371521950729,3.357355770299063,88972.14629292139,89166.2727871144,-194.12649419301303,-0.0021896402102603,short,10,3,3,False,,0.0,3.75,88789.5852,88606.13962865247,88694.44527851066,0.001765238008224994,0.001766365955834149,0.0,0.0023720738219151524,0.0023743297171332986,0.0,0.006220631064128333,0.006653762946018781,0.0,0.013146229383937573,0.013677492707818772,0.0,0.014755810622108354,0.014800928526471933,0.0,62.410955684607636,0.0,True,False,120.0,1.0,1-2
OkxAdaptiveMhfStrategy-20260101033500-000027,2026-01-01T03:36:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88502.5,88502.7,88906.5,88528.8,26.10000000000582,0.9531637764383608,27.382492542396413,0.0003093972561559,1.8888411855908396,88908.9237863181,89141.57489298715,-232.65110666904368,-0.0026287458650305,short,11,3,3,False,,0.0,3.76,88635.25405,88436.78201789825,88551.78848657632,0.0001864354114290557,0.0001898251461823441,0.0,0.0017355441936669114,0.0017400638400045197,0.0,0.005519618089884467,0.005541086409988353,0.0,0.01147199231660126,0.012218863873901802,0.0,0.013380412982684073,0.013930679924295858,0.0,45.025119539102974,0.0,True,False,119.0,1.0,0.5-1
OkxAdaptiveMhfStrategy-20260101034900-000030,2026-01-01T03:50:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88367.5,88367.5,88715.0,88368.0,0.5,0.0225767360749371,22.14669110452414,0.0002506203197388,0.9477300969693676,88723.37567573482,89059.52868321569,-336.15300748086884,-0.0038040343732805,short,14,3,3,False,,0.0,3.77,88500.05125,88314.34794134914,88407.36404398814,0.0012153789571957357,0.001329674371233768,0.0,0.003950547429767797,0.003990154751464122,0.0,0.00642317594138123,0.006426570854669355,0.0,0.010306956743146552,0.010759611848247409,0.0,0.012208108184570151,0.013347667411661527,0.0,53.25852040077675,0.0,True,False,118.0,1.0,0-0.25
OkxAdaptiveMhfStrategy-20260101035800-000032,2026-01-01T03:59:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88247.3,88247.3,88494.7,88248.7,1.3999999999941792,0.0714858385007574,19.584298503812672,0.0002219251864228,0.524371102717621,88663.36403331408,89029.88873551102,-366.5247021969408,-0.0041533814881241,short,15,3,3,False,,0.0,3.77,88379.67095,88200.29768359085,88282.55173730687,0.002581382093276541,0.002581382093276541,0.0,0.002994992481356403,0.003007457451956136,0.0,0.008467114574610182,0.009102828075193269,0.0,0.009382723324113032,0.009545901121054226,0.0,0.010862655288037208,0.012003766687479423,0.0,54.08924908869104,0.0,True,False,109.0,1.0,0-0.25
OkxAdaptiveMhfStrategy-20260101040400-000035,2026-01-01T04:05:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,88019.5,88019.5,88479.5,88020.7,1.1999999999970896,0.0381798021055358,31.43023100748592,0.0003570825897384,0.2164428486419881,88508.49259189943,88957.51010334544,-449.0175114460144,-0.0051013413101189,short,17,4,3,False,,0.0,3.78,88151.52925,87944.06744558204,88076.07441581348,0.00014542232119022386,0.00014883065684315205,0.0,0.0024949016979192774,0.0024983100335720402,0.0,0.00604525133635167,0.006538323894137095,0.0,0.007037077011344011,0.007038213123228375,0.0,0.008299297314799562,0.009446770317940912,0.0,26.455421209025058,0.0,True,False,103.0,1.0,0-0.25
OkxAdaptiveMhfStrategy-20260101041800-000038,2026-01-01T04:19:00+08:00,BTCUSDT_SWAP_OKX.GLOBAL,short,entry,87898.2,87898.2,88249.1,87899.0,0.8000000000029104,0.038291355553847,20.89244395847813,0.000237689098963,0.1178955279300933,88362.50771372681,88880.56073103417,-518.0530173073639,-0.0058937841424211,short,19,4,3,False,,0.0,3.79,88030.04729999999,87848.05813449965,87935.80639912526,0.0012150419462514921,0.0012309694624007897,0.0,0.00466676223176353,0.005167341310743531,0.0,0.005033095103198861,0.005477927875656157,0.0,0.0058931809752645675,0.0062595138466999,0.0,0.007198099619787403,0.00807980140662718,0.0,33.99315089280394,0.0,True,False,89.0,1.0,0-0.25
