hour,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
0,561,-424.51786999999473,-424.51786999999473,187,374,33.33333333333333,-0.7567163458110423,-3.3429099999998977,10.879112834224616,-6.574630935828872,1.6547108028434256,-0.7567163458110423,61.56969000000025,-57.788989999999835,1512.77,9.707664884135472
1,506,222.5043700000024,222.5043700000024,182,323,35.96837944664031,0.4397319565217439,-2.4727550000001055,10.656256813186817,-5.315586284829716,2.0047189984666365,0.4397319565217439,45.72999999999993,-34.9370699999999,1432.04,10.523715415019764
2,486,-204.82891999999245,-204.82891999999245,173,312,35.59670781893004,-0.42145868312755647,-2.338515000000023,8.994917283237019,-5.644069262820503,1.5936936391779857,-0.42145868312755647,43.2660199999999,-37.21919999999973,1410.3999999999999,11.47119341563786
3,488,61.52414999999919,61.52414999999919,185,303,37.90983606557377,0.1260740778688508,-1.9134799999999164,8.28103945945947,-4.853030198019809,1.706364708556398,0.1260740778688508,34.458679999999895,-32.10000000000001,1453.85,11.602459016393443
4,467,-363.97298999999714,-363.97298999999714,167,300,35.76017130620985,-0.7793854175588804,-2.301739999999767,6.944541197604816,-5.079037900000005,1.3672946204250238,-0.7793854175588804,39.58042000000012,-66.37752000000037,1415.99,11.038543897216273
5,504,-193.3239500000015,-193.3239500000015,159,344,31.547619047619047,-0.3835792658730189,-2.3335749999998994,9.35089427672954,-4.884058546511623,1.9145745669671177,-0.3835792658730189,95.22675000000008,-48.15628000000011,1542.42,10.442460317460318
6,472,36.61375000000112,36.61375000000112,165,307,34.95762711864407,0.0775715042372905,-2.215640000000131,8.700429818181822,-4.556863745928338,1.9093021655422233,0.0775715042372905,59.125000000000014,-37.027350000000006,1459.07,10.900423728813559
7,486,-5.934799999996528,-5.934799999996528,173,313,35.59670781893004,-0.012211522633737712,-1.840790000000068,8.086342658959516,-4.488409201277932,1.801605490127145,-0.012211522633737712,42.20159999999964,-43.53965000000001,1502.37,11.065843621399177
8,504,-374.40391000000324,-374.40391000000324,163,341,32.34126984126984,-0.7428649007936572,-2.542370000000023,8.834861840490797,-5.321074457478016,1.6603529815439158,-0.7428649007936572,38.903060000000224,-53.783400000000015,1510.81,9.678571428571429
9,514,-124.93598000000068,-124.93598000000068,181,332,35.21400778210117,-0.24306610894941766,-2.5115850000001956,9.833592983425428,-5.7373985240963945,1.7139463019913121,-0.24306610894941766,47.46003999999983,-47.559529999999796,1574.4,10.494163424124514
10,468,-128.3854499999997,-128.3854499999997,182,285,38.88888888888889,-0.274327884615384,-1.6383599999999494,8.205246098901092,-5.690316631578942,1.441966524914504,-0.274327884615384,51.07385000000042,-35.42766000000009,1406.5499999999997,11.408119658119658
11,450,-469.4074900000013,-469.4074900000013,155,294,34.44444444444444,-1.0431277555555585,-2.486180000000127,8.027150064516123,-5.8286250000000015,1.3771944608747553,-1.0431277555555585,52.03310000000001,-55.46608999999988,1367.21,11.484444444444444
12,465,-317.679269999985,-317.679269999985,174,291,37.41935483870968,-0.6831812258064194,-1.9005999999998022,7.384786264367851,-5.507326735395159,1.340902150748821,-0.6831812258064194,42.80134000000019,-51.13107999999974,1444.9,10.890322580645162
13,399,-425.98274000000094,-425.98274000000094,136,263,34.08521303258145,-1.0676259147869698,-2.3725600000002194,8.153672205882355,-5.836053840304187,1.3971207992586596,-1.0676259147869698,45.17477999999989,-45.1935,1214.8600000000001,10.796992481203008
14,359,-211.72100999999725,-211.72100999999725,118,241,32.86908077994429,-0.5897521169916358,-2.0547100000000578,8.004757966101712,-4.797852489626554,1.668404350364838,-0.5897521169916358,37.394500000000086,-56.0742199999999,1084.06,12.674094707520892
15,328,-98.56412999999638,-98.56412999999638,120,208,36.58536585365854,-0.30050039634145237,-1.9182899999997147,8.48087016666668,-5.366675721153836,1.5802837002499737,-0.30050039634145237,43.940160000000276,-35.14191999999959,987.44,11.814024390243903
16,306,-234.21471999999733,-234.21471999999733,99,207,32.35294117647059,-0.7654075816993376,-2.579979999999857,9.551193838383861,-5.6994343478260845,1.6758143449844176,-0.7654075816993376,57.431440000000215,-33.24064000000039,877.8800000000001,11.68954248366013
17,251,-218.28305000000154,-218.28305000000154,94,157,37.45019920318725,-0.8696535856573766,-2.019030000000146,8.671357340425535,-6.5821059872611585,1.3174138121154326,-0.8696535856573766,40.60528000000009,-49.13034000000018,741.6600000000001,11.741035856573705
18,197,-261.8748599999986,-261.8748599999986,58,139,29.441624365482234,-1.3293140101522771,-2.8862299999998995,8.560488275862062,-5.455994100719412,1.5690061458705207,-1.3293140101522771,30.640239999999785,-39.732080000000096,565.6600000000001,11.228426395939087
19,159,-226.94451999999862,-226.94451999999862,48,111,30.18867924528302,-1.4273240251572241,-2.656959999999893,7.266234166666689,-5.186700540540536,1.40093574130066,-1.4273240251572241,21.03426000000021,-31.45708999999979,464.2199999999999,10.924528301886792
20,139,-108.46226999999945,-108.46226999999945,45,93,32.37410071942446,-0.7803041007194205,-2.6267899999999,7.676492444444462,-4.880692795698927,1.5728284417346063,-0.7803041007194205,35.315800000000074,-28.117959999999837,411.68,11.899280575539569
21,140,-235.09431000000046,-235.09431000000046,47,93,33.57142857142857,-1.6792450714285747,-3.3087049999999287,8.137387872340419,-6.640339139784948,1.2254476316708056,-1.6792450714285747,35.39722999999955,-30.23864000000008,383.63,9.907142857142857
22,103,-85.39889999999744,-85.39889999999744,32,71,31.06796116504854,-0.8291155339805577,-2.8304999999999567,8.526198437500014,-5.045595070422506,1.6898301029904192,-0.8291155339805577,27.500579999999932,-25.377959999999963,272.61999999999995,11.184466019417476
