side,trade_count,gross_pnl,net_pnl,win_count,loss_count,win_rate_pct,average_pnl,median_pnl,average_win,average_loss,profit_loss_ratio,expectancy,max_win,max_loss,total_volume,avg_duration_minutes
long,4632,-2447.649939999992,-2447.649939999992,1629,2998,35.16839378238342,-0.5284218350604474,-2.300420000000022,8.49056808471455,-5.429881704469645,1.5636745967643235,-0.5284218350604474,61.56969000000025,-57.788989999999835,13818.519999999999,11.672711571675302
short,4186,-1955.2932399999643,-1955.2932399999643,1437,2747,34.32871476349737,-0.467103019589098,-2.4082100000000297,8.991531440501058,-5.4154073243538345,1.6603610590961273,-0.467103019589098,95.22675000000008,-66.37752000000037,12395.359999999999,10.21548017200191
