split,trade_count,original_net_pnl,no_cost_pnl,funding_events_count,conservative_funding_cost,signed_funding_pnl,funding_adjusted_net_pnl_conservative,funding_adjusted_net_pnl_signed,notional
oos_ext,1024,-36.03979483999998,-32.12977999999998,17209,3.624126747571302,-1.3215173285761597,-39.66392158757128,-37.36131216857614,3415.43573
train_ext,1768,4.509396070000045,7.973160000000045,32315,6.893698868105648,-4.864059347104406,-2.384302798105603,-0.3546632771043595,2624.65585
validation_ext,1159,-19.279316054999963,-15.665469999999964,21911,5.312760424060228,-3.4932188338208787,-24.59207647906019,-22.77253488882084,3082.85595
