symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,sample_sufficient,drag_rank,largest_drag
SOLUSDT_SWAP_OKX.GLOBAL,1153,581,572,-18496.75910129968,-20802.75910129968,-20786.2381789187,-16.042288899652803,-18.02796025925299,0.3686036426712923,True,1,True
ETHUSDT_SWAP_OKX.GLOBAL,1553,801,752,-4183.542559827461,-7289.542559827461,-7282.870253051544,-2.693845820880529,-4.689549422441432,0.3039278815196394,True,2,False
BTCUSDT_SWAP_OKX.GLOBAL,1514,808,706,-2897.9179280201233,-5925.917928020123,-5922.471191453414,-1.9140805336988926,-3.911803957366852,0.285336856010568,True,3,False
