timeframe,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,sample_sufficient,drag_rank,largest_drag
15m,2546,1340,1206,-12610.719646226638,-17702.719646226637,-17688.766775175136,-4.953149900324681,-6.947669589621028,0.2800471327572663,True,1,True
30m,1141,596,545,-9055.121245783064,-11337.121245783064,-11333.839701269215,-7.936127296917673,-9.933251271927444,0.3470639789658195,True,2,False
1h,533,254,279,-3912.378697137565,-4978.378697137565,-4968.973146979301,-7.340297743222448,-9.322651307653473,0.41275797373358347,True,3,False
