direction,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,avg_no_cost_pnl,avg_funding_adjusted_pnl,win_rate,sample_sufficient,drag_rank,largest_drag
short,2030,0,2030,-19321.27378301434,-23381.27378301434,-23294.267299519168,-9.517868858627754,-11.475008521930624,0.30394088669950736,True,1,True
long,2190,2190,0,-6256.9458061329215,-10636.94580613292,-10697.312323904483,-2.8570528795127497,-4.884617499499764,0.32511415525114157,True,2,False
