scope,timeframe,symbol,d_event_count,d_trade_count,untraded_event_count,untraded_event_rate,global_skipped_events_due_to_single_position_filter,global_skipped_events_with_insufficient_future_bars,traded_mean_future_return_10,untraded_mean_future_return_10,traded_reversal_rate_10,untraded_reversal_rate_10,actual_no_cost_pnl,actual_cost_aware_pnl,actual_funding_adjusted_pnl,filtered_events_theoretically_better,single_position_filter_may_distort_result
all_d,all,all,4928,4220,708,0.14366883116883117,24650,11,-0.00607905178973432,-0.004397613943655262,0.5988151658767773,0.5932203389830508,-25578.219589147262,-34018.219589147266,-33991.579623423655,True,True
timeframe,15m,all,3005,2546,459,0.15274542429284527,24650,11,-0.004970505285707786,-0.004185561376813443,0.6119402985074627,0.6187363834422658,-12610.719646226638,-17702.719646226637,-17688.766775175136,True,True
timeframe,1h,all,596,533,63,0.10570469798657718,24650,11,-0.007358101872460248,-0.005976375608831594,0.5403377110694184,0.4603174603174603,-3912.378697137565,-4978.378697137565,-4968.973146979301,True,True
timeframe,30m,all,1327,1141,186,0.14016578749058026,24650,11,-0.007955147937989045,-0.004386163101043899,0.5968448729184925,0.5752688172043011,-9055.121245783064,-11337.121245783064,-11333.839701269215,True,True
symbol,all,BTCUSDT_SWAP_OKX.GLOBAL,1769,1514,255,0.14414923685698133,24650,11,-0.0019152279112747252,-0.0008503859657737472,0.6136063408190224,0.5568627450980392,-2897.9179280201233,-5925.917928020123,-5922.471191453414,True,True
symbol,all,ETHUSDT_SWAP_OKX.GLOBAL,1805,1553,252,0.13961218836565098,24650,11,-0.0027339053788618573,-0.0029523387251959923,0.6123631680618158,0.6111111111111112,-4183.542559827461,-7289.542559827461,-7282.870253051544,False,False
symbol,all,SOLUSDT_SWAP_OKX.GLOBAL,1354,1153,201,0.1484490398818316,24650,11,-0.016052201597256233,-0.010709815383513585,0.5611448395490026,0.6169154228855721,-18496.75910129968,-20802.75910129968,-20786.2381789187,True,True
