timeframe,split,baseline_group,d_trade_count,baseline_trade_count,d_no_cost_pnl,baseline_no_cost_pnl,d_cost_aware_pnl,baseline_cost_aware_pnl,d_funding_adjusted_pnl,baseline_funding_adjusted_pnl,d_avg_no_cost_pnl,baseline_avg_no_cost_pnl,d_positive,d_better_than_baseline,d_less_negative_but_still_negative,improvement_source,nearest_to_d_among_abc,squeeze_incremental_no_cost_pnl,volume_incremental_no_cost_pnl,stronger_incremental_component,ablation_pass_but_no_edge
1h,oos,C,102,297,-902.8509687792615,-4227.483252723178,-1106.8509687792612,-4821.483252723178,-1107.9657705285779,-4825.483444449417,-8.851480086071192,-14.233950345869287,False,True,True,signal_quality_or_payoff_improvement,B,3324.6322839439167,909.5623033814492,squeeze_conditional_on_volume,True
1h,all,A,533,2256,-3912.378697137565,-23975.675743172866,-4978.378697137565,-28487.675743172862,-4968.973146979301,-28506.7763578188,-7.340297743222448,-10.627515843604993,False,True,True,signal_quality_or_payoff_improvement,B,13364.607864729422,1754.762753500212,squeeze_conditional_on_volume,True
1h,all,B,533,729,-3912.378697137565,-5667.141450637777,-4978.378697137565,-7125.141450637777,-4968.973146979301,-7118.985117692848,-7.340297743222448,-7.773856585237005,False,True,True,signal_quality_or_payoff_improvement,B,13364.607864729422,1754.762753500212,squeeze_conditional_on_volume,True
1h,all,C,533,1690,-3912.378697137565,-17276.986561866986,-4978.378697137565,-20656.986561866986,-4968.973146979301,-20661.797714292392,-7.340297743222448,-10.223068971518927,False,True,True,signal_quality_or_payoff_improvement,B,13364.607864729422,1754.762753500212,squeeze_conditional_on_volume,True
30m,train,A,764,2959,-1520.3762030729488,-21889.54045586424,-3048.376203072948,-27807.54045586424,-3045.4332512502306,-27796.17218358184,-1.9900212082106659,-7.397614212863886,False,True,True,signal_quality_or_payoff_improvement,B,13156.459240792237,1.0076362931827134,squeeze_conditional_on_volume,True
30m,train,B,764,1014,-1520.3762030729488,-1521.3838393661315,-3048.376203072948,-3549.3838393661317,-3045.4332512502306,-3548.255074907555,-1.9900212082106659,-1.500378539808808,False,True,True,fewer_trades_less_loss,B,13156.459240792237,1.0076362931827134,squeeze_conditional_on_volume,True
30m,train,C,764,2264,-1520.3762030729488,-14676.835443865186,-3048.376203072948,-19204.835443865184,-3045.4332512502306,-19194.326233028216,-1.9900212082106659,-6.482701167784976,False,True,True,signal_quality_or_payoff_improvement,B,13156.459240792237,1.0076362931827134,squeeze_conditional_on_volume,True
30m,validation,A,160,735,-6308.3913335010675,-14921.98112531058,-6628.3913335010675,-16391.98112531058,-6627.6997548062645,-16392.99446576127,-39.42744583438167,-20.302015136476978,False,True,True,fewer_trades_less_loss,B,8631.35088418767,-97.89293115065448,squeeze_conditional_on_volume,True
30m,validation,B,160,214,-6308.3913335010675,-6210.498402350413,-6628.3913335010675,-6638.498402350413,-6627.6997548062645,-6638.650564464401,-39.42744583438167,-29.0210205717309,False,False,False,no_improvement,B,8631.35088418767,-97.89293115065448,squeeze_conditional_on_volume,False
30m,validation,C,160,549,-6308.3913335010675,-14939.742217688738,-6628.3913335010675,-16037.742217688738,-6627.6997548062645,-16037.702199609343,-39.42744583438167,-27.21264520526182,False,True,True,fewer_trades_less_loss,B,8631.35088418767,-97.89293115065448,squeeze_conditional_on_volume,True
30m,oos,A,217,1019,-1226.3537092090478,-7246.292157685389,-1660.353709209048,-9284.292157685388,-1660.7066952127184,-9292.742568181835,-5.651399581608515,-7.111179742576437,False,True,True,signal_quality_or_payoff_improvement,B,4387.08859331916,764.6347739206137,squeeze_conditional_on_volume,True
30m,oos,B,217,360,-1226.3537092090478,-1990.9884831296615,-1660.353709209048,-2710.9884831296613,-1660.7066952127184,-2711.3795965174586,-5.651399581608515,-5.5305235642490596,False,True,True,fewer_trades_less_loss,B,4387.08859331916,764.6347739206137,squeeze_conditional_on_volume,True
30m,oos,C,217,618,-1226.3537092090478,-5613.442302528208,-1660.353709209048,-6849.442302528208,-1660.7066952127184,-6857.2741219791815,-5.651399581608515,-9.083239971728492,False,True,True,signal_quality_or_payoff_improvement,B,4387.08859331916,764.6347739206137,squeeze_conditional_on_volume,True
30m,all,A,1141,4713,-9055.121245783064,-44057.81373886021,-11337.121245783064,-53483.81373886021,-11333.839701269215,-53481.90921752494,-7.936127296917673,-9.34814634815621,False,True,True,signal_quality_or_payoff_improvement,B,26174.898718299075,667.7494790631426,squeeze_conditional_on_volume,True
30m,all,B,1141,1588,-9055.121245783064,-9722.870724846207,-11337.121245783064,-12898.870724846207,-11333.839701269215,-12898.285235889416,-7.936127296917673,-6.122714562245722,False,True,True,fewer_trades_less_loss,B,26174.898718299075,667.7494790631426,squeeze_conditional_on_volume,True
30m,all,C,1141,3431,-9055.121245783064,-35230.01996408214,-11337.121245783064,-42092.01996408214,-11333.839701269215,-42089.30255461674,-7.936127296917673,-10.2681492171618,False,True,True,signal_quality_or_payoff_improvement,B,26174.898718299075,667.7494790631426,squeeze_conditional_on_volume,True
