symbol,trend_segment_count,uptrend_count,downtrend_count,avg_duration_bars,median_duration_bars,avg_trend_return,median_trend_return,avg_mfe,avg_mae,trend_opportunity_days_ratio,strongest_month,weakest_month
BTCUSDT_SWAP_OKX.GLOBAL,291,128,163,39.914089347079035,14.0,0.09046297961173981,0.042969681752557776,0.12224349398086487,-0.02441828956010107,1.0,2024-01,2024-02
DOGEUSDT_SWAP_OKX.GLOBAL,350,168,182,33.05142857142857,11.0,0.17171051001070217,0.0715435238213894,0.3350894051475964,-0.07906359698672855,1.0,2025-05,2025-06
ETHUSDT_SWAP_OKX.GLOBAL,298,136,162,39.84228187919463,15.0,0.13183439789333767,0.06345660398602537,0.19068385383902686,-0.04256123024762816,1.0,2023-12,2024-10
LINKUSDT_SWAP_OKX.GLOBAL,319,143,176,37.94984326018809,15.0,0.16827165925306686,0.07432331389262736,0.2124374476909401,-0.032329136754696085,1.0,2023-01,2026-01
SOLUSDT_SWAP_OKX.GLOBAL,323,159,164,34.20743034055727,13.0,0.24443076475219686,0.09693327169055332,0.49971821299465813,-0.11078974636392686,0.9991568296795953,2025-05,2025-08
