timeframe,trend_segment_count,uptrend_count,downtrend_count,avg_duration_bars,median_duration_bars,avg_trend_return,median_trend_return,avg_mfe,avg_mae,trend_opportunity_days_ratio,strongest_month,weakest_month
1d,224,101,123,37.254464285714285,11.0,0.3699556864588307,0.14561722281749556,0.6062798954814465,-0.1034499325189433,0.9991568296795953,2023-07,2024-06
4h,1357,633,724,36.74723655121592,14.0,0.12930713241922365,0.05693650477173917,0.22332186368235882,-0.051869215650103696,1.0,2023-01,2025-09
