policy_name,symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,volume,contract_size,gross_pnl,fee,slippage,net_pnl,no_cost_pnl,no_cost_net_pnl,r_multiple,mfe,mae,timeframe,entry_source,entry_signal_time,exit_signal_time,entry_atr,initial_risk,turnover
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,short,2025-02-04T00:00:00+08:00,2721.0,2025-04-24T00:00:00+08:00,1792.03,v3_1d_donchian_20_10_atr4:donchian_exit,113760.0,0.01,0.1,0.9289700000000001,0.002256515,4e-05,0.926673485,0.9289700000000001,0.9289700000000001,0.7902204717167312,1.3614000000000002,0.24734000000000014,1d,v3_1d_donchian_20_10_atr4,2025-02-03T23:59:00+08:00,2025-04-23T23:59:00+08:00,293.1692857142857,1.172677142857143,4.5130300000000005
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-02-25T00:00:00+08:00,16.163,2025-03-25T00:00:00+08:00,15.219,v3_1d_donchian_20_10_atr4:donchian_exit,40320.0,0.01,1.0,0.00944000000000001,0.00015691,4e-05,0.00924309000000001,0.00944000000000001,0.00944000000000001,0.1870313638203158,0.04305,0.014939999999999998,1d,v3_1d_donchian_20_10_atr4,2025-02-24T23:59:00+08:00,2025-03-24T23:59:00+08:00,1.2355000000000003,0.04942000000000001,0.31382
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,short,2025-02-26T00:00:00+08:00,87275.6,2025-03-25T00:00:00+08:00,88373.3,v3_1d_donchian_20_10_atr4:donchian_exit,38880.0,0.01,0.01,-0.10976999999999972,0.008782445000000002,4e-05,-0.11859244499999971,-0.10976999999999972,-0.10976999999999972,-0.06496497325952101,1.0691100000000007,0.8582599999999991,1d,v3_1d_donchian_20_10_atr4,2025-02-25T23:59:00+08:00,2025-03-24T23:59:00+08:00,4563.707142857142,1.8254828571428567,17.564890000000002
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-04-04T00:00:00+08:00,12.571,2025-04-23T00:00:00+08:00,13.891,v3_1d_donchian_20_10_atr4:donchian_exit,27360.0,0.01,1.0,-0.013200000000000003,0.00013230999999999999,4e-05,-0.013372310000000004,-0.013200000000000003,-0.013200000000000003,-0.36490788242632144,0.02469999999999999,0.015009999999999996,1d,v3_1d_donchian_20_10_atr4,2025-04-03T23:59:00+08:00,2025-04-22T23:59:00+08:00,0.9161428571428575,0.0366457142857143,0.26461999999999997
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,short,2025-04-08T00:00:00+08:00,78413.3,2025-04-22T00:00:00+08:00,88075.0,v3_1d_donchian_20_10_atr4:donchian_exit,20160.0,0.01,0.01,-0.9661699999999998,0.008324415000000002,4e-05,-0.9745344149999998,-0.9661699999999998,-0.9661699999999998,-0.5456868864589,0.3959199999999997,1.0652300000000003,1d,v3_1d_donchian_20_10_atr4,2025-04-07T23:59:00+08:00,2025-04-21T23:59:00+08:00,4464.714285714284,1.7858857142857139,16.648830000000004
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-04-23T00:00:00+08:00,91720.0,2025-06-23T00:00:00+08:00,99183.4,v3_1d_donchian_20_10_atr4:donchian_exit,87840.0,0.01,0.01,0.7463399999999994,0.00954517,4e-05,0.7367548299999994,0.7463399999999994,0.7463399999999994,0.4608956281222906,2.2012699999999996,0.12913999999999942,1d,v3_1d_donchian_20_10_atr4,2025-04-22T23:59:00+08:00,2025-06-22T23:59:00+08:00,3996.3214285714284,1.5985285714285715,19.09034
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-04-24T00:00:00+08:00,14.846,2025-05-06T00:00:00+08:00,13.555,v3_1d_donchian_20_10_atr4:donchian_exit,17280.0,0.01,1.0,-0.012910000000000005,0.000142005,4e-05,-0.013092005000000006,-0.012910000000000005,-0.012910000000000005,-0.3808345869348406,0.004849999999999994,0.013200000000000003,1d,v3_1d_donchian_20_10_atr4,2025-04-23T23:59:00+08:00,2025-05-05T23:59:00+08:00,0.8594285714285714,0.034377142857142856,0.28401
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-05-09T00:00:00+08:00,2055.64,2025-06-23T00:00:00+08:00,2178.0,v3_1d_donchian_20_10_atr4:donchian_exit,64800.0,0.01,0.1,0.12236000000000014,0.0021168199999999997,4e-05,0.12020318000000013,0.12236000000000014,0.12236000000000014,0.21488205549908854,0.9072800000000002,0.03665999999999985,1d,v3_1d_donchian_20_10_atr4,2025-05-08T23:59:00+08:00,2025-06-22T23:59:00+08:00,139.84785714285712,0.5593914285714285,4.233639999999999
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-05-10T00:00:00+08:00,15.949,2025-05-31T00:00:00+08:00,14.23,v3_1d_donchian_20_10_atr4:donchian_exit,30240.0,0.01,1.0,-0.017189999999999993,0.000150895,4e-05,-0.017380894999999993,-0.017189999999999993,-0.017189999999999993,-0.4430995156238618,0.020089999999999986,0.01779,1d,v3_1d_donchian_20_10_atr4,2025-05-09T23:59:00+08:00,2025-05-30T23:59:00+08:00,0.9806428571428569,0.03922571428571428,0.30179
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-05-31T00:00:00+08:00,14.23,2025-06-11T00:00:00+08:00,15.04,v3_1d_donchian_20_10_atr4:donchian_exit,15840.0,0.01,1.0,-0.008099999999999987,0.00014635,4e-05,-0.008286349999999987,-0.008099999999999987,-0.008099999999999987,-0.17953587346787142,0.015950000000000006,0.013300000000000001,1d,v3_1d_donchian_20_10_atr4,2025-05-30T23:59:00+08:00,2025-06-10T23:59:00+08:00,1.1538571428571431,0.046154285714285724,0.2927
