policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions,pnl_share
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,4,2,2,1,-0.6630300000000002,-0.7012878150000004,0.038097815,0.00016,0.03825781500000014,0.25,0.5123316979240206,0.7367548299999994,-0.4793475483333332,-0.1753219537500001,-0.23175411499999998,1.0931268599997566,0.021862537199995133,-0.6415429358310312,-0.5721025577482314,51120.0,48240.0,-1.0505741212685964,0.7367548299999994,-0.9745344149999998,1.0,76.19563000000001,1,0.23434045340703372
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,2,1,1,1,-1.0430000000000001,-1.0514615,0.0044615,0.004,0.0084614999999999,0.0,0.0,,-0.52573075,-0.52573075,-0.52573075,1.0514615000001868,0.021029230000003736,-0.9999999999998224,-5.1486472640096625,30959.5,30959.5,0.3626616381103826,-0.38132475000000005,-0.67013675,1.0,8.923,1,0.3513535518224278
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,6,3,3,1,1.185780000000001,1.1672955800000013,0.01824442,0.00024,0.018484419999999613,0.5,2.941632893664572,0.5894961033333334,-0.20039757666666624,0.19454926333333356,0.05322930750000045,0.4658096800003477,0.009314243427187743,2.5059495972671284,0.9869809862618181,50639.833333333336,48960.0,0.7938636116483873,0.926673485,-0.46580968000000017,1.0,36.48884,1,1.0
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,9,4,5,1,-0.07075000000000004,-0.07255755500000002,0.001447555,0.00036,0.0018075549999999885,0.4444444444444444,0.22428457057396012,0.005244687499999989,-0.018707260999999996,-0.008061950555555558,-0.008286349999999987,0.09353630500027066,0.0018707226417538645,-0.775715429423795,-1.602917276590802,29279.88888888889,27360.0,-0.1460804460679525,0.010599240000000001,-0.04140474499999999,1.0,2.8951100000000003,1,0.024245637772568152
v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,3,2,1,1,-0.9512100000000007,-0.9817461950000006,0.030416195000000004,0.00012000000000000002,0.030536194999999933,0.0,0.0,,-0.32724873166666685,-0.32724873166666685,-0.32930359500000056,0.9817461949996868,0.019634923899993738,-1.0000000000003195,-5.456644665436827,87359.66666666667,80640.0,0.20271310549871854,-0.19901282000000062,-0.45342977999999945,1.0,60.832390000000004,1,0.36334359169672725
v3_1d_donchian_55_20_atr5,ETHUSDT_SWAP_OKX.GLOBAL,3,2,1,1,0.9648600000000007,0.9568575600000006,0.007882440000000001,0.00012000000000000002,0.008002440000000166,0.6666666666666666,8.674556461703315,0.5407683800000004,-0.12467920000000009,0.3189525200000002,0.01935363000000004,0.1246792000001733,0.002493574348060404,7.674556461692653,1.044663876967373,87360.0,93600.0,1.1100744503706488,1.0621831300000006,-0.12467920000000009,1.0,15.764880000000002,1,1.0
v3_1d_donchian_55_20_atr5,LINKUSDT_SWAP_OKX.GLOBAL,3,1,2,1,-0.009689999999999997,-0.010288704999999988,0.00047870499999999995,0.00012000000000000002,0.000598704999999991,0.3333333333333333,0.758042285139669,0.032234035,-0.021261369999999995,-0.0034295683333333293,-0.0011179949999999999,0.04252274000009493,0.0008504548000018984,-0.24195771485979078,-0.19730048819344462,68160.0,82080.0,-3.1329535641268786,0.032234035,-0.04140474499999999,1.0,0.95741,1,0.003807842645733982
v3_1d_donchian_55_20_atr5,SOLUSDT_SWAP_OKX.GLOBAL,1,1,0,1,-0.7507999999999999,-0.7530849999999999,0.0018850000000000002,0.0004,0.0022849999999999815,0.0,0.0,,-0.7530849999999999,-0.7530849999999999,-0.7530849999999999,0.7530850000002829,0.015061700000005656,-0.9999999999996242,,84960.0,84960.0,1.0,-0.7530849999999999,-0.7530849999999999,1.0,3.7700000000000005,1,0.2787162406602754
v3_1d_ema_50_200_atr5,BTCUSDT_SWAP_OKX.GLOBAL,6,6,0,1,0.35695999999999917,0.29378681999999917,0.06293318,0.00024,0.06317318,0.3333333333333333,1.4591226903221184,0.4668371050000002,-0.15997184750000032,0.048964469999999864,-0.08946162,0.34279467499982275,0.0068556513315035615,0.8570343748780551,0.37065730588284274,28079.833333333332,23040.0,2.1746555036063326,0.6388851250000012,-0.34279467500000116,1.0,125.86636000000001,1,0.13711537272486507
v3_1d_ema_50_200_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,11,4,7,1,-0.09650000000000081,-0.14463925000000083,0.026139249999999996,0.022000000000000006,0.04813925000000002,0.2727272727272727,0.8436674251494733,0.2601876666666666,-0.11565028125000007,-0.013149022727272803,-0.10382675000000026,0.5010135000002265,0.01002027000000453,-0.2886933186429816,-0.19018844689870107,19898.18181818182,7200.0,-4.5101433393770805,0.6523437500000001,-0.27439200000000036,1.0,52.2785,1,0.054903365722451074
