policy_name,symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,holding_minutes,volume,contract_size,gross_pnl,fee,slippage,net_pnl,no_cost_pnl,no_cost_net_pnl,r_multiple,mfe,mae,timeframe,entry_source,entry_signal_time,exit_signal_time,entry_atr,initial_risk,turnover
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-07-11T00:00:00+08:00,2815.94,2025-08-04T00:00:00+08:00,3540.77,v3_1d_donchian_20_10_atr4:donchian_exit,34560.0,0.01,0.1,0.72483,0.0031783550000000003,4e-05,0.721611645,0.72483,0.72483,1.099931519959237,1.23385,0.017240000000000238,1d,v3_1d_donchian_20_10_atr4,2025-07-10T23:59:00+08:00,2025-08-03T23:59:00+08:00,164.0128571428571,0.6560514285714284,6.3567100000000005
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,116125.0,2025-08-21T00:00:00+08:00,112790.7,v3_1d_donchian_20_10_atr4:donchian_exit,57600.0,0.01,0.01,-0.3334300000000003,0.011445785000000002,4e-05,-0.34491578500000025,-0.3334300000000003,-0.3334300000000003,-0.2209473033271901,0.9558100000000006,0.5773699999999997,1d,v3_1d_donchian_20_10_atr4,2025-07-11T23:59:00+08:00,2025-08-20T23:59:00+08:00,3902.6928571428557,1.5610771428571422,22.89157
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,15.536,2025-08-02T00:00:00+08:00,16.616,v3_1d_donchian_20_10_atr4:donchian_exit,30240.0,0.01,1.0,0.0108,0.00016076000000000003,4e-05,0.010599240000000001,0.0108,0.0108,0.30182523797900895,0.05104000000000001,0.008249999999999993,1d,v3_1d_donchian_20_10_atr4,2025-07-11T23:59:00+08:00,2025-08-01T23:59:00+08:00,0.8779285714285717,0.03511714285714287,0.32152000000000003
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-08-10T00:00:00+08:00,4227.2,2025-09-23T00:00:00+08:00,4109.77,v3_1d_donchian_20_10_atr4:donchian_exit,63360.0,0.01,0.1,-0.11742999999999938,0.004168485,4e-05,-0.12163848499999938,-0.11742999999999938,-0.11742999999999938,-0.13339266556794505,0.8066199999999999,0.22719999999999982,1d,v3_1d_donchian_20_10_atr4,2025-08-09T23:59:00+08:00,2025-09-22T23:59:00+08:00,227.9707142857143,0.9118828571428573,8.33697
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2025-08-10T00:00:00+08:00,21.106,2025-09-23T00:00:00+08:00,21.22,v3_1d_donchian_20_10_atr4:donchian_exit,63360.0,0.01,1.0,0.0011399999999999722,0.00021163,4e-05,0.0008883699999999722,0.0011399999999999722,0.0011399999999999722,0.012596908803629639,0.06761999999999997,0.00956000000000003,1d,v3_1d_donchian_20_10_atr4,2025-08-09T23:59:00+08:00,2025-09-22T23:59:00+08:00,1.763071428571428,0.07052285714285712,0.42326
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,long,2025-09-14T00:00:00+08:00,0.29695,2025-10-12T00:00:00+08:00,0.1922,v3_1d_donchian_20_10_atr4:atr_trailing_stop,40320.0,0.01,1000.0,-1.0474999999999999,0.0024457500000000004,0.002,-1.0519457499999998,-1.0474999999999999,-1.0474999999999999,-0.8737090946843853,0.7014999999999999,1.641,1d,v3_1d_donchian_20_10_atr4,2025-09-13T23:59:00+08:00,2025-10-11T23:59:00+08:00,0.0301,1.204,4.891500000000001
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,short,2025-09-23T00:00:00+08:00,4109.77,2025-10-04T00:00:00+08:00,4544.44,v3_1d_donchian_20_10_atr4:donchian_exit,15840.0,0.01,0.1,-0.43466999999999917,0.0043271049999999995,4e-05,-0.43903710499999915,-0.43466999999999917,-0.43466999999999917,-0.48623372923832364,0.2713200000000006,0.5114399999999996,1d,v3_1d_donchian_20_10_atr4,2025-09-22T23:59:00+08:00,2025-10-03T23:59:00+08:00,225.7335714285714,0.9029342857142857,8.654209999999999
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,short,2025-09-23T00:00:00+08:00,21.22,2025-12-04T00:00:00+08:00,14.999,v3_1d_donchian_20_10_atr4:donchian_exit,103680.0,0.01,1.0,0.06220999999999999,0.00018109500000000001,4e-05,0.06198890499999999,0.06220999999999999,0.06220999999999999,0.9146375258210024,0.10779999999999999,0.02704000000000001,1d,v3_1d_donchian_20_10_atr4,2025-09-22T23:59:00+08:00,2025-12-03T23:59:00+08:00,1.6943571428571427,0.0677742857142857,0.36219
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-10-04T00:00:00+08:00,121600.0,2025-10-12T00:00:00+08:00,111666.8,v3_1d_donchian_20_10_atr4:donchian_exit,11520.0,0.01,0.01,-0.9933199999999998,0.011663340000000001,4e-05,-1.0050233399999997,-0.9933199999999998,-0.9933199999999998,-0.6786257044135204,0.6172800000000003,1.8039600000000007,1d,v3_1d_donchian_20_10_atr4,2025-10-03T23:59:00+08:00,2025-10-11T23:59:00+08:00,3702.4214285714293,1.4809685714285719,23.326680000000003
v3_1d_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,0.1922,2026-03-31T23:59:00+08:00,0.09035,end_of_sample,246239.0,0.01,1000.0,1.0185000000000002,0.00141275,0.002,1.01508725,1.0185000000000002,1.0185000000000002,0.990467068580987,1.106,0.7170000000000001,1d,v3_1d_donchian_20_10_atr4,2025-10-11T23:59:00+08:00,2026-03-31T23:59:00+08:00,0.025621428571428573,1.024857142857143,2.8255
v3_1d_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,short,2025-10-12T00:00:00+08:00,181.81,2026-03-05T00:00:00+08:00,91.79,v3_1d_donchian_20_10_atr4:donchian_exit,207360.0,0.01,1.0,0.9002,0.001368,0.0004,0.898432,0.9002,0.9002,1.0328839837077914,1.1832,0.5871000000000001,1d,v3_1d_donchian_20_10_atr4,2025-10-11T23:59:00+08:00,2026-03-04T23:59:00+08:00,21.745714285714282,0.8698285714285713,2.736
v3_1d_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,long,2025-12-11T00:00:00+08:00,3322.97,2026-01-30T00:00:00+08:00,2870.79,v3_1d_donchian_20_10_atr4:atr_trailing_stop,72000.0,0.01,0.1,-0.45217999999999986,0.0030968799999999998,4e-05,-0.45531687999999987,-0.45217999999999986,-0.45217999999999986,-0.48028627744089863,0.8627800000000002,0.9792500000000001,1d,v3_1d_donchian_20_10_atr4,2025-12-10T23:59:00+08:00,2026-01-29T23:59:00+08:00,237.00285714285715,0.9480114285714287,6.193759999999999
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,short,2026-01-31T00:00:00+08:00,84093.9,2026-03-05T00:00:00+08:00,71982.6,v3_1d_donchian_20_10_atr4:donchian_exit,47520.0,0.01,0.01,1.211129999999999,0.007803825000000001,4e-05,1.2032861749999988,1.211129999999999,1.211129999999999,0.7431008214423712,2.2770399999999995,0.16061000000000059,1d,v3_1d_donchian_20_10_atr4,2026-01-30T23:59:00+08:00,2026-03-04T23:59:00+08:00,4048.192857142857,1.6192771428571429,15.607650000000001
v3_1d_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,long,2026-03-05T00:00:00+08:00,71982.6,2026-03-28T00:00:00+08:00,66047.8,v3_1d_donchian_20_10_atr4:donchian_exit,33120.0,0.01,0.01,-0.5934800000000003,0.006901520000000001,4e-05,-0.6004215200000004,-0.5934800000000003,-0.5934800000000003,-0.4587803090008448,0.42418999999999946,0.6760400000000009,1d,v3_1d_donchian_20_10_atr4,2026-03-04T23:59:00+08:00,2026-03-27T23:59:00+08:00,3271.835714285716,1.3087342857142867,13.803040000000003
v3_1d_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,long,2026-03-14T00:00:00+08:00,10.04,2026-03-23T00:00:00+08:00,8.782,v3_1d_donchian_20_10_atr4:donchian_exit,12960.0,0.01,1.0,-0.012579999999999992,9.411e-05,4e-05,-0.012714109999999992,-0.012579999999999992,-0.012579999999999992,-0.4558429112886701,0.028950000000000014,0.01427999999999999,1d,v3_1d_donchian_20_10_atr4,2026-03-13T23:59:00+08:00,2026-03-22T23:59:00+08:00,0.6972857142857143,0.02789142857142857,0.18822
v3_1d_donchian_55_20_atr5,BTCUSDT_SWAP_OKX.GLOBAL,long,2025-07-12T00:00:00+08:00,116125.0,2025-11-05T00:00:00+08:00,103020.0,v3_1d_donchian_55_20_atr5:atr_trailing_stop,167040.0,0.01,0.01,-1.3105,0.010957250000000002,4e-05,-1.32149725,-1.3105,-1.3105,-0.6772232908779104,1.1647800000000004,1.3626800000000003,1d,v3_1d_donchian_55_20_atr5,2025-07-11T23:59:00+08:00,2025-11-04T23:59:00+08:00,3902.6928571428557,1.9513464285714281,21.914500000000004
