policy_name,symbol_count,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_1d_ema_50_200_atr5,5,36,15,21,5,1.7021799999999976,1.5523690499999967,0.13249094999999997,0.01732,0.1498109500000009,0.3611111111111111,1.451582102780052,0.3838455469230769,-0.14946187217391313,0.043121362499999906,-0.01917387500000002,2.282744979999734,0.04564170687790336,0.6800448861353657,0.5869726847886207,27599.916666666668,10800.0,1.9817725334062837,1.786115199999999,-1.0025521050000001,0.3461772572701067,264.98190000000005,3
v3_4h_donchian_55_with_risk_filters,5,19,9,10,5,1.2399699999999991,1.1679083449999994,0.060781655000000004,0.01128,0.07206165499999972,0.3157894736842105,1.6660655495123702,0.4868919833333334,-0.13488027346153852,0.061468860263157864,-0.013712915,1.1846048349998455,0.02368475929318409,0.9859054348703141,0.7131170125891383,10383.105263157895,9840.0,1.0003141727701248,1.1682752699999999,-0.4249394350000001,1.0,121.56331,3
v3_1d_donchian_20_10_atr4,5,15,10,5,5,-0.05577999999999972,-0.11911938999999938,0.05845939,0.004880000000000001,0.06333938999999966,0.4666666666666667,0.9704492665395105,0.5588419407142855,-0.5038766218749998,-0.007941292666666626,-0.012714109999999992,3.355000070000642,0.06709017656850083,-0.035505033536400665,-0.04561192708634127,69311.93333333333,47520.0,-10.101513909700218,1.2032861749999988,-1.0519457499999998,0.936652669486745,116.91878000000003,3
v3_1d_donchian_55_20_atr5,5,8,4,4,4,-1.165559999999999,-1.1975331099999993,0.02969311,0.0022800000000000003,0.03197311000000025,0.625,0.6636535652796608,0.47257650800000023,-1.1868052166666667,-0.1496916387499999,0.049899882500000006,3.3746032549997835,0.06747729543792066,-0.35486634116936394,-0.4352838850742071,121679.875,100080.0,-0.8869760018576867,1.0621831300000006,-1.92463374,0.9104844135259751,59.38622,3
v3_4h_vol_compression_donchian_breakout,5,79,40,39,5,-3.2997100000000006,-3.5898067450000006,0.243216745,0.04688,0.29009674500000004,0.3670886075949367,0.4880018917793935,0.11798484344827584,-0.1402273441,-0.045440591708860764,-0.01777592500000001,4.338603475000127,0.08675907651744373,-0.8274106554528806,-2.0145722504287726,7236.455696202532,5040.0,-0.5469331943104363,0.9656493050000003,-0.5282300799999995,0.9072843856855781,486.4334900000001,3
v3_4h_donchian_100_30_atr5,5,42,21,21,5,-5.799139999999999,-5.964576719999998,0.15411672,0.011320000000000002,0.16543671999999976,0.2857142857142857,0.4222029902318011,0.3631987941666668,-0.34409874166666665,-0.14201373142857138,-0.06583247749999983,6.5755523099996935,0.13149497815562175,-0.9070837609989717,-1.7600023973271297,14611.404761904761,12600.0,-0.5841487994138841,1.990155915000001,-1.44812475,1.0,308.23344000000003,3
v3_4h_ema_50_200_atr4,5,313,105,208,5,-5.070429999999998,-6.268437134999997,1.038247135,0.15976,1.1980071349999992,0.19488817891373802,0.6062146306236342,0.15819628368852465,-0.0631682953968254,-0.020026955702875392,-0.018179749999999956,7.580661035000048,0.15157633800103723,-0.8268984863006683,-1.9061100292545121,3052.514376996805,1200.0,-1.3284213577743735,1.6992196650000004,-0.6200092149999998,0.4342990487691947,2076.49427,3
v3_ensemble_core,5,320,115,205,5,-5.1843699999999995,-6.395987134999999,1.047297135,0.16432000000000002,1.2116171349999991,0.20625,0.6111181502522305,0.15228991863636365,-0.0647524478937008,-0.019987459796874996,-0.017542439999999913,7.353116575000058,0.1470369957525867,-0.8698335011776891,-1.9271862235100503,3188.240625,1320.0,-1.331726291847834,1.6992196650000004,-0.6200092149999998,0.5283533907545916,2094.59427,3
v3_4h_donchian_20_10_atr4,5,120,60,60,5,-6.612829999999999,-7.051841784999999,0.38657178500000006,0.05244000000000001,0.43901178499999993,0.31666666666666665,0.4719185351183946,0.16583839039473677,-0.16285000756097562,-0.058765348208333325,-0.04211355000000004,8.309006325000155,0.1661383538505641,-0.848698569861766,-2.552019805456049,7677.991666666667,5040.0,-0.566441707256766,1.2212221649999997,-0.8249499449999995,1.0,773.14357,3
v3_4h_donchian_55_20_atr4,5,72,36,36,5,-7.884110000000003,-8.172770215000003,0.25546021500000005,0.03320000000000001,0.28866021500000016,0.3472222222222222,0.3690261581262387,0.19119435980000002,-0.27558785553191506,-0.1135106974305556,-0.03812300000000003,9.058427010000742,0.1811393059600532,-0.9022284118398316,-2.778716098080583,10043.305555555555,6960.0,-0.39942499472316306,1.1682752699999999,-1.0928025000000001,1.0,510.92043,3
