feature,target,train_spearman,validation_spearman,oos_spearman,train_count,validation_count,oos_count,train_direction,validation_direction,oos_direction,available_split_count,direction_consistent,consistent_direction,min_abs_spearman,max_abs_spearman,stable_candidate,single_split_only
lower_wick_ratio,future_return_15m,0.0735411564271048,0.1001390960139753,0.0319318235619633,5286,1804,1713,positive,positive,positive,3,True,positive,0.0319318235619633,0.1001390960139753,False,False
lower_wick_ratio,future_return_30m,0.0697399146719745,0.099420831354378,0.0579154661811552,5286,1804,1713,positive,positive,positive,3,True,positive,0.0579154661811552,0.099420831354378,False,False
lower_wick_ratio,future_return_60m,0.0597586487732521,0.0822182324469482,0.0523669371196767,5286,1804,1713,positive,positive,positive,3,True,positive,0.0523669371196767,0.0822182324469482,True,False
lower_wick_ratio,mae_atr,-0.1306920212774964,-0.1173952182306809,-0.0650602290699418,5286,1804,1713,negative,negative,negative,3,True,negative,0.0650602290699418,0.1306920212774964,False,False
lower_wick_ratio,mfe_atr,-0.060583522564041,0.0519894058972908,-0.0027402136290613,5286,1804,1713,negative,positive,negative,3,False,,0.0027402136290613,0.060583522564041,False,False
range_atr,future_return_120m,-0.0856023284958807,-0.0234222434281609,-0.0024925688279903,5295,1807,1716,negative,negative,negative,3,True,negative,0.0024925688279903,0.0856023284958807,False,False
range_atr,future_return_15m,-0.0999612091940661,-0.0557731753358097,-0.0489098757639668,5295,1807,1716,negative,negative,negative,3,True,negative,0.0489098757639668,0.0999612091940661,False,False
range_atr,future_return_30m,-0.113595446473651,-0.026651123004204,-0.0420532151910382,5295,1807,1716,negative,negative,negative,3,True,negative,0.026651123004204,0.113595446473651,False,False
range_atr,future_return_60m,-0.1060162397361822,-0.0428254804354353,-0.0115302880508418,5295,1807,1716,negative,negative,negative,3,True,negative,0.0115302880508418,0.1060162397361822,False,True
range_atr,mae_atr,0.0826849779664919,0.0687880347474647,0.0415544948134371,5295,1807,1716,positive,positive,positive,3,True,positive,0.0415544948134371,0.0826849779664919,False,False
range_atr,mfe_atr,-0.0078680820083618,0.0562089964718083,0.0488941226588263,5295,1807,1716,negative,positive,positive,3,False,,0.0078680820083618,0.0562089964718083,False,False
recent_return_15m,future_return_120m,-0.0696517345092737,-0.1452283769879896,-0.1197020033342338,5295,1807,1716,negative,negative,negative,3,True,negative,0.0696517345092737,0.1452283769879896,False,False
