scope,forward_trade_count,reverse_trade_count,random_trade_count,forward_funding_adjusted_pnl,reverse_funding_adjusted_pnl,random_original_funding_adjusted_pnl,reverse_weaker,random_original_weaker,random_bootstrap_mean,random_bootstrap_p05,random_bootstrap_p95,random_share_ge_forward,significantly_beats_random,control_robust
all_splits,5778,5778,5778,-787.9121428581724,-5401.828930659255,-2569.571284656984,True,True,-2815.2149372029667,-7175.670566159567,944.7740944996921,0.21,False,False
train_ext,2610,2610,2610,-2283.6863348488455,-1505.1136629499042,-512.617484950253,False,False,-596.2802690810147,-3698.3714392633005,2022.1632123261795,0.84,False,False
validation_ext,1804,1804,1804,1483.8271074639229,-2449.2827921243743,-1001.5738830613445,True,True,-697.121374331687,-3624.1085027586823,1946.9251067488442,0.12,False,False
oos_ext,1364,1364,1364,11.947084526750615,-1447.4324755849773,-1055.379916645388,True,True,-1130.664539874913,-2753.9591177555853,215.9441353088495,0.09,False,False
