scope,repair_action,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,non_disastrous,still_positive_no_cost,still_positive_funding_adjusted
all_splits,original,5778,4832.655978873796,-945.3440211262035,-787.9121428581724,1.0,-18.744469887945378,False,True,False
all_splits,cap_single_symbol_trade_share,5778,4832.655978873796,-945.3440211262035,-787.9121428581724,1.0,-18.744469887945378,False,True,False
all_splits,cap_single_symbol_pnl_share,5778,3989.4986251124315,-1443.5013748875685,-1299.153445594331,1.0,-10.26332141325145,False,True,False
all_splits,equal_symbol_weight_rescale,5778,4843.556728141808,-934.4432718581916,-776.9402483164318,1.0,-19.04429718897482,False,True,False
all_splits,remove_largest_symbol,4628,2022.1314663359121,-2605.8685336640883,-2492.049818645368,0.5117917343593154,-4.032822846739117,False,True,False
all_splits,remove_top_1_trade,5777,3939.1219766441423,-1837.878023355858,-1680.446145087827,1.0,-8.271946567684465,False,True,False
all_splits,remove_top_5pct_trades,5489,-10216.13217262486,-15705.13217262486,-15556.907579009701,0.2639287021845028,-0.34416480613685807,False,False,False
oos_ext,original,1364,1350.142763527595,-13.857236472404708,11.947084526750615,0.8979348428399379,251.42893905992017,True,True,True
oos_ext,cap_single_symbol_trade_share,1364,1350.142763527595,-13.857236472404708,11.947084526750615,0.8979348428399379,251.42893905992017,True,True,True
oos_ext,cap_single_symbol_pnl_share,1364,959.1688566546344,-200.5628464925935,-176.26343346397158,0.7,-15.749945288817704,False,True,False
oos_ext,equal_symbol_weight_rescale,1364,1342.9850658061866,-21.01493419381353,4.8697645375365255,0.8959177402305456,616.6970349085786,True,True,True
oos_ext,remove_largest_symbol,1086,818.0447934298529,-267.9552065701472,-244.19899789313976,1.0,-9.947249861841835,False,True,False
oos_ext,remove_top_1_trade,1363,1186.544163985943,-176.455836014057,-150.6515150149017,0.8979348428399379,-19.039699932859634,False,True,False
oos_ext,remove_top_5pct_trades,1295,-1721.1599534318111,-3016.159953431811,-2991.8957028933455,0.2912193713209537,-0.47996224610467353,False,False,False
