diagnostic_group,event_count,train_ext_trade_count,train_ext_no_cost_pnl,train_ext_cost_aware_pnl,train_ext_funding_adjusted_pnl,validation_ext_trade_count,validation_ext_no_cost_pnl,validation_ext_cost_aware_pnl,validation_ext_funding_adjusted_pnl,oos_ext_trade_count,oos_ext_no_cost_pnl,oos_ext_cost_aware_pnl,oos_ext_funding_adjusted_pnl,trade_count,early_entry_rate,direction_match,median_entry_lag_pct,oos_no_cost,early_entry_improved_to_035,direction_and_pnl_not_sacrificed
all_focus_events,5778,2610,235.19297738630922,-2374.8070226136915,-2283.6863348488455,1804,3247.3202379598924,1443.320237959892,1483.8271074639229,1364,1350.142763527595,-13.857236472404708,11.947084526750615,5778,0.23087573554863275,0.891484942886812,0.5,1350.142763527595,False,True
first_breadth_acceleration_event,1231,548,-308.3035140382964,-856.3035140382965,-837.7990837070116,405,1690.8749144781318,1285.8749144781314,1293.9507315323353,278,626.1877081411976,348.1877081411976,353.63882052255013,1231,0.4256701868399675,0.7969130787977254,0.2,626.1877081411976,True,True
repeated_breadth_confirmation_event,4547,2062,543.4964914246056,-1518.5035085753943,-1445.887251141834,1399,1556.4453234817606,157.4453234817605,189.87637593158746,1086,723.9550553863978,-362.0449446136022,-341.69173599579966,4547,0.1781394325929184,0.9170881900153948,0.5555555555555556,723.9550553863978,False,True
breadth_acceleration_after_compression,1612,730,336.1826449092181,-393.8173550907819,-380.57379446995856,527,213.98645280955634,-313.01354719044366,-306.1893738846913,355,26.175215015739013,-328.824784984261,-323.09440701235644,1612,0.2400744416873449,0.8858560794044665,0.5,26.175215015739013,False,True
breadth_acceleration_with_low_dispersion,2515,1305,384.34351856587875,-920.6564814341211,-879.6035987015841,677,373.79832469346087,-303.2016753065392,-287.34053402359785,533,223.7428846314178,-309.2571153685822,-298.58580245226193,2515,0.24174950298210734,0.8652087475149105,0.4698795180722891,223.7428846314178,False,True
breadth_acceleration_with_positive_market_return,5778,2610,235.19297738630922,-2374.8070226136915,-2283.6863348488455,1804,3247.3202379598924,1443.320237959892,1483.8271074639229,1364,1350.142763527595,-13.857236472404708,11.947084526750615,5778,0.23087573554863275,0.891484942886812,0.5,1350.142763527595,False,True
