policy_name,symbol,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_4h_donchian_100_30_atr5,BTCUSDT_SWAP_OKX.GLOBAL,33,19,14,1,-1.6213900000000003,-1.8444092750000003,0.22169927500000003,0.0013200000000000002,0.22301927499999996,0.30303030303030304,0.7775429494466995,0.6446671050000001,-0.3604817532608696,-0.05589119015151516,-0.1757613350000003,3.848980720000327,0.07696712444759177,-0.47919420988937655,-0.48855008904019,17941.78787878788,12240.0,-2.0871471219423356,1.990155915000001,-1.0264836799999997,1.0,443.39855,1
v3_4h_donchian_100_30_atr5,DOGEUSDT_SWAP_OKX.GLOBAL,26,11,15,1,-2.724429999999999,-2.810822934999999,0.034392935,0.052000000000000005,0.08639293500000012,0.23076923076923078,0.45252224079571873,0.3872181325,-0.2567065865,-0.10810857442307689,-0.08042362499999996,3.156133000000409,0.06311830092308929,-0.890590775166837,-1.1402658456282009,15369.23076923077,11160.0,-0.7492252442432844,1.59561525,-1.44812475,1.0,68.78587,1
v3_4h_donchian_100_30_atr5,ETHUSDT_SWAP_OKX.GLOBAL,38,21,17,1,-2.0957799999999995,-2.20407463,0.10677463,0.0015200000000000007,0.1082946300000005,0.34210526315789475,0.6820530046534172,0.3637025488461539,-0.27728831060000003,-0.05800196394736842,-0.06169763499999979,4.994987639999636,0.09984402160421954,-0.4412572740620757,-0.853132814506785,17216.842105263157,11880.0,-0.9145274109888012,1.1326178399999998,-1.1454822799999997,1.0,213.54926000000003,1
v3_4h_donchian_100_30_atr5,LINKUSDT_SWAP_OKX.GLOBAL,50,26,24,1,0.06373000000000002,0.05523616500000004,0.006493835000000001,0.002,0.008493834999999984,0.36,1.1812774429258033,0.01999673805555556,-0.009522035,0.0011047233000000007,-0.0036008324999999997,0.0840754549999474,0.0016814690104786961,0.656983242017954,0.3841861894052682,13488.0,11520.0,3.32249758831012,0.09592630999999999,-0.02340768499999999,1.0,12.987670000000001,1
v3_4h_donchian_100_30_atr5,SOLUSDT_SWAP_OKX.GLOBAL,23,14,9,1,-3.1073699999999995,-3.1366974449999994,0.020127445000000004,0.009199999999999998,0.02932744499999984,0.34782608695652173,0.23768662796036222,0.12225140375,-0.2743139116666667,-0.13637814978260868,-0.009415695000000012,3.484904099999767,0.0696969897059151,-0.9000814240484291,-1.6237575875739065,12563.478260869566,9120.0,-0.18208453636815458,0.30129765000000003,-1.6686240499999998,1.0,40.25489000000001,1
v3_4h_donchian_20_10_atr4,BTCUSDT_SWAP_OKX.GLOBAL,93,51,42,1,-5.943019999999996,-6.572956059999993,0.6262160600000002,0.0037200000000000006,0.6299360599999968,0.3118279569892473,0.5986139945376655,0.33802387051724125,-0.25586950476562487,-0.07067694688172035,-0.12580266999999987,8.759380630000123,0.1751110391842923,-0.7503905056355452,-1.7702722906408195,8366.451612903225,6000.0,-0.7221022195605555,1.86649376,-0.9622486749999989,1.0,1252.43212,1
v3_4h_donchian_20_10_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,78,37,41,1,-3.020260000000001,-3.2732442300000004,0.09698423,0.15600000000000003,0.2529842299999996,0.2564102564102564,0.5492721686268568,0.19944430225000007,-0.1252091426724138,-0.04196466961538462,-0.049021125000000026,3.273244230000273,0.06546488460000546,-0.9999999999999167,-1.1795580345960102,7212.307692307692,4800.0,-0.8813269946556969,2.3046647500000006,-0.8621097499999999,1.0,193.96846,1
v3_4h_donchian_20_10_atr4,ETHUSDT_SWAP_OKX.GLOBAL,104,60,44,1,-0.7134500000000012,-0.9982252950000017,0.28061529500000004,0.0041600000000000005,0.28477529500000043,0.38461538461538464,0.8963509811572503,0.21581492824999993,-0.15048160039062497,-0.009598320144230786,-0.04470008499999978,2.4260897700005444,0.04850794284634176,-0.41145439354446384,-0.35942429912551527,9242.298076923076,6840.0,-4.816594794865413,1.2212221649999997,-0.6538449000000003,1.0,561.2305900000001,1
v3_4h_donchian_20_10_atr4,LINKUSDT_SWAP_OKX.GLOBAL,157,80,77,1,-0.10304000000000008,-0.13034856000000006,0.02102856,0.006280000000000001,0.027308559999999982,0.3630573248407643,0.8162568618459479,0.010158909649122807,-0.007094064100000002,-0.0008302456050955418,-0.0019532199999999908,0.1656212999996569,0.0033124246477553992,-0.7870277554896024,-0.8476564431193365,6308.789808917198,5040.0,-2.101698860347977,0.05311926000000002,-0.03820032999999999,1.0,42.05712,1
v3_4h_donchian_20_10_atr4,SOLUSDT_SWAP_OKX.GLOBAL,84,46,38,1,-3.569890000000001,-3.682885105,0.07939510500000001,0.0336,0.1129951049999991,0.30952380952380953,0.42746754874838405,0.10575912903846155,-0.11090728379310345,-0.04384387029761905,-0.01353856749999999,3.9052293550003014,0.07810458710000603,-0.9430649957305045,-1.711767466903308,8005.714285714285,6000.0,-0.42000134294170444,0.5296128500000002,-1.6686240499999998,1.0,158.79021,1
v3_4h_donchian_55_20_atr4,BTCUSDT_SWAP_OKX.GLOBAL,54,29,25,1,-3.081560000000006,-3.4600486900000065,0.37632869,0.0021600000000000005,0.3784886900000006,0.2962962962962963,0.699484252578034,0.503353316875,-0.3029921515789475,-0.06407497574074086,-0.10607999000000011,6.609587389999433,0.13212245264740397,-0.5234893626242384,-0.9305747550731575,13262.203703703704,9240.0,-1.2026196298989056,2.2385932900000003,-0.8908435350000004,1.0,752.65738,1
v3_4h_donchian_55_20_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,47,22,25,1,-4.58921,-4.747866124999998,0.06465612500000001,0.09400000000000001,0.15865612499999848,0.19148936170212766,0.39573930451606215,0.3454942272222222,-0.20677142552631578,-0.10101842819148932,-0.06904749999999996,5.096255999999812,0.10191801855884705,-0.9316380741077711,-1.7229730882014807,10437.446808510638,6720.0,-0.5597260811560902,1.9004627500000002,-1.0928025000000001,1.0,129.31225,1
v3_4h_donchian_55_20_atr4,ETHUSDT_SWAP_OKX.GLOBAL,55,28,27,1,-0.9489400000000002,-1.1032406100000007,0.15210061,0.0022000000000000006,0.1543006100000005,0.45454545454545453,0.8488422080851518,0.2478144682,-0.24328674383333332,-0.020058920181818197,-0.040669955000000146,4.012847075000536,0.0802102654386348,-0.27492715007083923,-0.41790071240775717,12392.709090909091,9360.0,-2.7640467522311356,1.2330376049999996,-0.7010284800000002,1.0,304.2012200000001,1
v3_4h_donchian_55_20_atr4,LINKUSDT_SWAP_OKX.GLOBAL,86,45,41,1,-0.007480000000000005,-0.022100899999999986,0.011180900000000002,0.0034400000000000008,0.014620899999999982,0.36046511627906974,0.9444754799635493,0.01212702129032258,-0.007237064727272727,-0.00025698720930232544,-0.0027346074999999963,0.10080190999997285,0.002016017016206735,-0.2192508058627653,-0.16777317586484247,9226.046511627907,7320.0,-9.451512381848707,0.065199045,-0.04545332499999999,1.0,22.361800000000006,1
v3_4h_donchian_55_20_atr4,SOLUSDT_SWAP_OKX.GLOBAL,36,18,18,1,-3.5264499999999996,-3.572744224999999,0.031894225,0.014399999999999998,0.04629422499999958,0.3333333333333333,0.21687585385247043,0.08245201375000001,-0.1900903495833333,-0.09924289513888887,-0.012946965,3.730473399999937,0.0746076927879139,-0.9577187241169068,-1.859257413844487,9886.666666666666,9360.0,-0.1464867359767407,0.34056098999999995,-1.6686240499999998,1.0,63.78845,1
v3_4h_donchian_55_with_risk_filters,BTCUSDT_SWAP_OKX.GLOBAL,11,6,5,1,4.08679,4.019671805,0.06667819500000001,0.00044,0.06711819499999994,0.6363636363636364,6.073144281143241,0.6874307271428571,-0.19808582125000002,0.36542470954545453,0.03354326499999971,0.3444112050001422,0.0068838242242555085,11.671141201687501,1.6591633149298861,16952.727272727272,9600.0,0.556909468881378,2.2385932900000003,-0.3444112050000003,1.0,133.35638999999998,1
v3_4h_donchian_55_with_risk_filters,DOGEUSDT_SWAP_OKX.GLOBAL,6,3,3,1,-0.2671000000000003,-0.2876993000000002,0.0085993,0.012,0.02059929999999993,0.16666666666666666,0.5153279386410751,0.3058965,-0.11871916000000005,-0.04794988333333337,-0.10571387500000007,0.5736619999997856,0.011472583853784751,-0.5015136090591807,-0.6985809225704639,9200.0,8160.0,-1.0632507621673037,0.3058965,-0.20027849999999994,1.0,17.1986,1
v3_4h_donchian_55_with_risk_filters,ETHUSDT_SWAP_OKX.GLOBAL,14,9,5,1,1.4078200000000005,1.3626088100000002,0.04465119000000001,0.0005600000000000001,0.04521119000000029,0.5714285714285714,2.2192576791877205,0.31002265937500006,-0.18626207750000004,0.09732920071428573,0.03919887750000008,0.5194258100000297,0.01038460736188656,2.623298233870824,1.111776084559956,12977.07142857143,10080.0,0.5583492521232118,0.7608116099999997,-0.4249394350000001,1.0,89.30238000000001,1
v3_4h_donchian_55_with_risk_filters,LINKUSDT_SWAP_OKX.GLOBAL,33,21,12,1,-0.15335000000000004,-0.15884508500000002,0.004175085,0.0013200000000000002,0.005495084999999983,0.24242424242424243,0.2189089337159921,0.005564749375000001,-0.0081345232,-0.004813487424242425,-0.004141914999999996,0.15884508500039374,0.003176901700007875,-0.9999999999975214,-3.2873151968202667,6661.818181818182,5040.0,-0.15406164440026573,0.013593254999999988,-0.03134690499999997,1.0,8.350170000000002,1
v3_4h_donchian_55_with_risk_filters,SOLUSDT_SWAP_OKX.GLOBAL,9,8,1,1,-0.9302499999999998,-0.9409775549999997,0.007127555,0.0036000000000000003,0.010727554999999889,0.0,0.0,,-0.10455306166666663,-0.10455306166666663,-0.027384879999999997,0.940977555000245,0.0188195511000049,-0.9999999999997392,-1.7984323885152416,7813.333333333333,6480.0,0.0018070569175265827,-0.0017004,-0.5852826499999998,1.0,14.25511,1
v3_4h_ema_50_200_atr4,BTCUSDT_SWAP_OKX.GLOBAL,215,136,79,1,3.93224000000001,2.481432350000009,1.4422076500000003,0.008600000000000002,1.4508076500000011,0.23255813953488372,1.1712924478252715,0.33935914960000013,-0.08779712199999998,0.01154154581395353,-0.03663580000000029,4.094126590000087,0.08178675840244554,0.6060956581217866,0.5951253863447227,4058.786046511628,1440.0,4.424184886603885,2.029472230000001,-0.43972613000000055,1.0,2884.4153,1
v3_4h_ema_50_200_atr4,DOGEUSDT_SWAP_OKX.GLOBAL,234,88,146,1,0.11342999999999714,-0.6878598850000023,0.333289885,0.4680000000000002,0.8012898849999994,0.2222222222222222,0.9140997162220595,0.1407653014423077,-0.04399810747252749,-0.002939572158119668,-0.013874249999999953,2.1018606349998663,0.04203721269999733,-0.3272623662796016,-0.23421855877797604,3837.948717948718,1680.0,-8.233438049669056,2.3562505000000002,-0.8178032500000001,1.0,666.57977,1
v3_4h_ema_50_200_atr4,ETHUSDT_SWAP_OKX.GLOBAL,232,107,125,1,-0.48918999999999757,-1.099938094999998,0.601468095,0.00928,0.6107480950000004,0.22413793103448276,0.8877794125899113,0.16733910115384612,-0.054453174194444426,-0.004741112478448267,-0.02262414999999999,3.333666885000639,0.06664374427599301,-0.32994841204711045,-0.4372241184242927,3683.7887931034484,1200.0,-5.8508850354892115,1.23119424,-0.6200092149999998,1.0,1202.93619,1
v3_4h_ema_50_200_atr4,LINKUSDT_SWAP_OKX.GLOBAL,212,89,123,1,-0.029680000000000102,-0.06656245000000008,0.028402450000000003,0.008480000000000001,0.036882449999999976,0.24056603773584906,0.8817642627288601,0.009733361470588234,-0.003496670093167703,-0.00031397382075471733,-0.0014388374999999894,0.15551443000003928,0.003110234536799934,-0.42801462217996916,-0.49736161018479974,3861.509433962264,2160.0,-5.338638301324541,0.05758236500000002,-0.027863545000000007,1.0,56.80489999999999,1
v3_4h_ema_50_200_atr4,SOLUSDT_SWAP_OKX.GLOBAL,222,112,110,1,-4.116080000000002,-4.4674631100000015,0.26258311,0.08880000000000002,0.35138310999999955,0.19369369369369369,0.46984835870549674,0.09207678000000001,-0.047076897486033525,-0.02012370770270271,-0.0157302500000001,4.809395600000244,0.09618728155893586,-0.9289032305846862,-2.5367827977492445,3451.887387387387,1440.0,-0.6636469551060262,0.5675885500000002,-0.8598286499999999,1.0,525.1662200000001,1
v3_4h_vol_compression_donchian_breakout,BTCUSDT_SWAP_OKX.GLOBAL,64,37,27,1,-6.30681,-6.7152928549999995,0.405922855,0.00256,0.4084828549999999,0.234375,0.38241895857895186,0.2772165516666666,-0.2219090026530612,-0.10492645085937499,-0.11077922250000015,7.6299773250002545,0.15257163551889077,-0.8801196345625805,-2.879424498724403,6911.25,5160.0,-0.3947353298265053,0.9294101350000002,-0.8908435350000004,1.0,811.84571,1
v3_4h_vol_compression_donchian_breakout,DOGEUSDT_SWAP_OKX.GLOBAL,61,33,28,1,-2.58704,-2.7879083700000002,0.07886837000000002,0.12200000000000001,0.20086837000000024,0.32786885245901637,0.4545317216972067,0.11615641474999998,-0.12465943085365855,-0.04570341590163935,-0.044920499999999954,2.9174606200003836,0.05834921240000767,-0.9555941735383676,-1.9922940397962028,7782.295081967213,6480.0,-0.4035846414851862,0.4479674999999999,-0.8621097499999999,1.0,157.73674,1
v3_4h_vol_compression_donchian_breakout,ETHUSDT_SWAP_OKX.GLOBAL,66,41,25,1,0.11932999999999983,-0.0608357150000004,0.177525715,0.0026400000000000004,0.18016571500000023,0.36363636363636365,0.9870343356647346,0.1929678070833333,-0.11171578773809522,-0.0009217532575757637,-0.02455934000000018,1.852128079999602,0.037035379635509305,-0.03284638662786942,-0.03207939931735431,7363.636363636364,5040.0,-47.11695605122716,1.0190585550000002,-0.42946897999999994,1.0,355.05143,1
v3_4h_vol_compression_donchian_breakout,LINKUSDT_SWAP_OKX.GLOBAL,93,51,42,1,0.05412999999999994,0.038047664999999974,0.012362335000000002,0.0037200000000000006,0.01608233499999997,0.3548387096774194,1.1091220410911424,0.011718740151515151,-0.0058111793333333345,0.0004091146774193546,-0.0014733549999999959,0.0750548850000996,0.0015010775919643555,0.5069312277268759,0.32308503359355556,6366.451612903225,5280.0,4.97082909030029,0.05311926000000002,-0.023397735000000013,1.0,24.72467,1
v3_4h_vol_compression_donchian_breakout,SOLUSDT_SWAP_OKX.GLOBAL,66,37,29,1,-1.328109999999999,-1.421792654999999,0.067282655,0.026400000000000007,0.09368265500000006,0.3484848484848485,0.5907318674296701,0.08922589239130435,-0.08079042279069765,-0.02154231295454544,-0.010710504999999997,1.8545359549998466,0.037090719099996936,-0.7666568292552283,-1.230958955439642,7945.454545454545,6000.0,-0.7075067496392438,0.4611418000000001,-0.5852826499999998,1.0,134.56531,1
v3_ensemble_core,BTCUSDT_SWAP_OKX.GLOBAL,222,140,82,1,1.313850000000005,-0.168368394999995,1.473338395,0.008880000000000002,1.482218395,0.22522522522522523,0.9902947563006277,0.34359639770000017,-0.10086155976744188,-0.0007584161936936712,-0.04005914500000026,4.813079765000111,0.09618729577119702,-0.034981426284338986,-0.038761323526800326,4296.211711711711,1680.0,-68.09214434217503,2.029472230000001,-0.6527480800000006,1.0,2946.67679,1
v3_ensemble_core,DOGEUSDT_SWAP_OKX.GLOBAL,234,89,145,1,-0.8752100000000018,-1.677823065000003,0.334613065,0.4680000000000002,0.8026130650000012,0.21367521367521367,0.8144792163457718,0.14732063850000002,-0.049151385815217406,-0.007170184038461551,-0.015558750000000066,3.317863315000068,0.06635726630000136,-0.5056938474272165,-0.5445649914850438,3924.102564102564,1680.0,-3.3683276072974895,2.3562505000000002,-0.8621097499999999,1.0,669.22613,1
v3_ensemble_core,ETHUSDT_SWAP_OKX.GLOBAL,233,107,126,1,0.9802400000000027,0.3624960200000026,0.60842398,0.009320000000000002,0.6177439800000001,0.2575107296137339,1.039405692346074,0.15935955958333334,-0.05317385869942195,0.0015557769098712556,-0.02113466500000036,2.6836156800000026,0.05363977943111048,0.13507747130170375,0.14371342654174737,4016.1330472103004,1200.0,18.454902649689647,1.1996985,-0.6200092149999998,1.0,1216.84796,1
v3_ensemble_core,LINKUSDT_SWAP_OKX.GLOBAL,242,109,133,1,-0.09562000000000001,-0.13722086,0.031920859999999995,0.009680000000000001,0.04160085999999999,0.23140495867768596,0.8065701622939749,0.010217644642857142,-0.0038140266666666666,-0.000567028347107438,-0.0016358249999999994,0.21532497499993042,0.004306433987157164,-0.6372733121183195,-0.921227255651071,3914.380165289256,2160.0,-2.912147650145904,0.05758236500000002,-0.04545332499999999,1.0,63.841719999999995,1
v3_ensemble_core,SOLUSDT_SWAP_OKX.GLOBAL,222,113,109,1,-5.878820000000002,-6.230900720000002,0.26328072,0.08880000000000002,0.35208072,0.17567567567567569,0.38609568374289027,0.10048019846153845,-0.05546245060109291,-0.028067120360360368,-0.016639925000000087,6.517625020000196,0.13035250040000393,-0.956007855757221,-2.6114287494046184,3381.6171171171172,1440.0,-0.47582499276284385,0.5675885500000002,-1.6686240499999998,1.0,526.56144,1
