group,event_group,hold,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_event_share,largest_symbol_event_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,concentration_pass
B,top20_score_events,hold_8h,validation_ext,1587,-5421.991670826115,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.22684310018903592,SOLUSDT_SWAP_OKX.GLOBAL,,6051.175292253119,80,False
C,top30_score_events,hold_1d,oos_ext,2159,1411.3589961447929,0.4064063205338633,LINKUSDT_SWAP_OKX.GLOBAL,0.23622047244094488,DOGEUSDT_SWAP_OKX.GLOBAL,8.516546064321687,12019.903903961955,108,False
C,top30_score_events,hold_1d,train_ext,3256,-3737.155375421411,0.5581964320969297,DOGEUSDT_SWAP_OKX.GLOBAL,0.23464373464373464,SOLUSDT_SWAP_OKX.GLOBAL,,20864.19345898948,163,True
C,top30_score_events,hold_1d,validation_ext,2388,-7515.451431527216,0.37510230196178657,SOLUSDT_SWAP_OKX.GLOBAL,0.22529313232830822,SOLUSDT_SWAP_OKX.GLOBAL,,13352.357109194327,120,True
C,top30_score_events,hold_3d,oos_ext,2159,11195.883828326305,0.44995442906879807,LINKUSDT_SWAP_OKX.GLOBAL,0.23622047244094488,DOGEUSDT_SWAP_OKX.GLOBAL,1.6785721011874606,18793.098242364405,108,False
C,top30_score_events,hold_3d,train_ext,3256,-15054.865876795306,0.720902174684496,DOGEUSDT_SWAP_OKX.GLOBAL,0.23464373464373464,SOLUSDT_SWAP_OKX.GLOBAL,,29171.32640805252,163,False
C,top30_score_events,hold_3d,validation_ext,2388,-8789.613707665321,0.3984620931773995,ETHUSDT_SWAP_OKX.GLOBAL,0.22529313232830822,SOLUSDT_SWAP_OKX.GLOBAL,,24875.767204767824,120,True
C,top30_score_events,hold_4h,oos_ext,2159,-4254.348272279234,0.3224951861121098,ETHUSDT_SWAP_OKX.GLOBAL,0.23622047244094488,DOGEUSDT_SWAP_OKX.GLOBAL,,6996.700628208226,108,True
C,top30_score_events,hold_4h,train_ext,3256,-7861.718991923263,0.6194749974479984,SOLUSDT_SWAP_OKX.GLOBAL,0.23464373464373464,SOLUSDT_SWAP_OKX.GLOBAL,,10749.637525595605,163,True
C,top30_score_events,hold_4h,validation_ext,2388,-4990.345801273852,0.3617256520681391,SOLUSDT_SWAP_OKX.GLOBAL,0.22529313232830822,SOLUSDT_SWAP_OKX.GLOBAL,,7878.337337239857,120,True
C,top30_score_events,hold_8h,oos_ext,2159,-3772.626539652949,0.32116006942406217,ETHUSDT_SWAP_OKX.GLOBAL,0.23622047244094488,DOGEUSDT_SWAP_OKX.GLOBAL,,8168.170038459632,108,True
C,top30_score_events,hold_8h,train_ext,3256,-4524.343942063509,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.23464373464373464,SOLUSDT_SWAP_OKX.GLOBAL,,13912.362738340093,163,False
C,top30_score_events,hold_8h,validation_ext,2388,-6451.7183542558905,0.3487648388034427,SOLUSDT_SWAP_OKX.GLOBAL,0.22529313232830822,SOLUSDT_SWAP_OKX.GLOBAL,,8968.155406867947,120,True
D,random_score_matched_control,hold_1d,oos_ext,1461,1432.360161948066,0.7331287344875766,ETHUSDT_SWAP_OKX.GLOBAL,0.21834360027378508,SOLUSDT_SWAP_OKX.GLOBAL,5.8296070684093575,8350.096924600433,74,False
D,random_score_matched_control,hold_1d,train_ext,2171,5097.298705120221,0.2829031706331922,SOLUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,2.689879683619591,13711.120228243313,109,False
D,random_score_matched_control,hold_1d,validation_ext,1587,1543.221128782245,0.7934905650138662,DOGEUSDT_SWAP_OKX.GLOBAL,0.23125393824826718,SOLUSDT_SWAP_OKX.GLOBAL,6.93538438998556,10702.831726852313,80,False
D,random_score_matched_control,hold_3d,oos_ext,1461,8940.403487486003,0.3598890037394237,DOGEUSDT_SWAP_OKX.GLOBAL,0.21834360027378508,SOLUSDT_SWAP_OKX.GLOBAL,1.3613553648967966,12171.066252031118,74,False
D,random_score_matched_control,hold_3d,train_ext,2171,14013.354472640458,0.28445420694603346,DOGEUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,1.5050114521324534,21090.258964115426,109,False
D,random_score_matched_control,hold_3d,validation_ext,1587,1137.279191120986,0.5253581898540147,BTCUSDT_SWAP_OKX.GLOBAL,0.23125393824826718,SOLUSDT_SWAP_OKX.GLOBAL,14.733969036750679,16756.63638811736,80,False
D,random_score_matched_control,hold_4h,oos_ext,1461,-1450.6220513717583,1.0,ETHUSDT_SWAP_OKX.GLOBAL,0.21834360027378508,SOLUSDT_SWAP_OKX.GLOBAL,,4913.183912786363,74,False
D,random_score_matched_control,hold_4h,train_ext,2171,-1919.4274785715306,1.0,LINKUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,,6795.330347745482,109,False
D,random_score_matched_control,hold_4h,validation_ext,1587,-3164.8965092091257,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.23125393824826718,SOLUSDT_SWAP_OKX.GLOBAL,,5352.3997620636055,80,False
D,random_score_matched_control,hold_8h,oos_ext,1461,-1805.7839883139254,0.8185115932723214,ETHUSDT_SWAP_OKX.GLOBAL,0.21834360027378508,SOLUSDT_SWAP_OKX.GLOBAL,,5229.749960577331,74,False
D,random_score_matched_control,hold_8h,train_ext,2171,-301.9951691390836,0.666236591060344,ETHUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,,8590.069385896679,109,True
D,random_score_matched_control,hold_8h,validation_ext,1587,-1694.9322921673624,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.23125393824826718,SOLUSDT_SWAP_OKX.GLOBAL,,6822.309504626513,80,False
E,reverse_direction_test,hold_1d,oos_ext,1461,-6885.823670235086,1.0,DOGEUSDT_SWAP_OKX.GLOBAL,0.2655715263518138,DOGEUSDT_SWAP_OKX.GLOBAL,,7702.368221412192,74,False
E,reverse_direction_test,hold_1d,train_ext,2171,-2903.4426693037985,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.2413634269921695,SOLUSDT_SWAP_OKX.GLOBAL,,17165.448125752617,109,False
E,reverse_direction_test,hold_1d,validation_ext,1587,847.2771211772797,0.47154447587320597,LINKUSDT_SWAP_OKX.GLOBAL,0.22684310018903592,SOLUSDT_SWAP_OKX.GLOBAL,12.55703090085076,10639.284992206907,80,False
E,reverse_direction_test,hold_3d,oos_ext,1461,-12004.571081334565,1.0,ETHUSDT_SWAP_OKX.GLOBAL,0.2655715263518138,DOGEUSDT_SWAP_OKX.GLOBAL,,13278.254098074985,74,False
E,reverse_direction_test,hold_3d,train_ext,2171,9175.205990987837,0.9967919118054366,SOLUSDT_SWAP_OKX.GLOBAL,0.2413634269921695,SOLUSDT_SWAP_OKX.GLOBAL,3.6195528818432985,33210.14328618595,109,False
E,reverse_direction_test,hold_3d,validation_ext,1587,1398.2637444262432,0.6996280104627164,ETHUSDT_SWAP_OKX.GLOBAL,0.22684310018903592,SOLUSDT_SWAP_OKX.GLOBAL,12.156849047004904,16998.48126888969,80,False
E,reverse_direction_test,hold_4h,oos_ext,1461,-3544.7718651778496,0.33022584570917274,DOGEUSDT_SWAP_OKX.GLOBAL,0.2655715263518138,DOGEUSDT_SWAP_OKX.GLOBAL,,4848.629330317922,74,True
E,reverse_direction_test,hold_4h,train_ext,2171,-2968.3699740849765,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.2413634269921695,SOLUSDT_SWAP_OKX.GLOBAL,,8692.816506796644,109,False
E,reverse_direction_test,hold_4h,validation_ext,1587,-2066.669662731343,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.22684310018903592,SOLUSDT_SWAP_OKX.GLOBAL,,6793.0251537762315,80,False
E,reverse_direction_test,hold_8h,oos_ext,1461,-4107.743279618157,0.2733350237697375,BTCUSDT_SWAP_OKX.GLOBAL,0.2655715263518138,DOGEUSDT_SWAP_OKX.GLOBAL,,5626.261136987189,74,True
E,reverse_direction_test,hold_8h,train_ext,2171,-3572.068599209683,1.0,SOLUSDT_SWAP_OKX.GLOBAL,0.2413634269921695,SOLUSDT_SWAP_OKX.GLOBAL,,10558.26364076218,109,False
E,reverse_direction_test,hold_8h,validation_ext,1587,-926.0083291738852,0.94640047145249,SOLUSDT_SWAP_OKX.GLOBAL,0.22684310018903592,SOLUSDT_SWAP_OKX.GLOBAL,,8438.785834617607,80,False
