split,score_bucket,sample_count,early_trend_count,early_trend_rate,early_uptrend_count,early_downtrend_count,nontrend_count,nontrend_rate,direction_match_rate,avg_forward_return_4h,avg_forward_return_1d,avg_forward_return_3d,future_2atr_hit_rate,future_3atr_hit_rate,random_control_comparison
train_ext,random_control,2171,483,0.2224781206817135,252,231,17,0.00783049286043298,0.4554865424430642,0.0010637829977646908,0.005192509541321356,0.010147896980102912,0.4555143651529194,0.3002780352177943,0.0
train_ext,top10,1086,275,0.2532228360957643,73,202,7,0.006445672191528545,0.48363636363636364,0.00027203024301324634,-0.0014540197037615785,-0.005120468197898109,0.3342541436464088,0.19613259668508287,0.0307447154140508
train_ext,top20,2171,554,0.2551819438046983,189,365,16,0.007369875633348687,0.463898916967509,-0.0006306785211472673,-0.000681467163538445,-0.006173538545689158,0.3597420543528328,0.21510824504836482,0.03270382312298478
train_ext,top30,3256,831,0.25522113022113024,314,517,23,0.007063882063882064,0.470517448856799,-0.000605426579473939,0.0006710348766722602,-0.00292725930074172,0.3716216216216216,0.22266584766584765,0.03274300953941675
train_ext,bottom30,3256,571,0.17536855036855037,362,209,11,0.0033783783783783786,0.5551663747810858,0.003666687860697019,0.010623514060860874,0.02259510510751224,0.5801597051597052,0.406019656019656,-0.047109570313163124
validation_ext,random_control,1587,375,0.23629489603024575,229,146,19,0.011972274732199117,0.3893333333333333,0.0014258186205024915,0.0032895743756423037,0.0028136243204608504,0.4524259609325772,0.32892249527410206,0.0
validation_ext,top10,799,309,0.3867334167709637,143,166,29,0.03629536921151439,0.47572815533980584,-0.001353867622408829,-0.003359570629882482,-0.005669420169295418,0.30663329161451813,0.18397997496871088,0.15043852074071792
validation_ext,top20,1587,565,0.3560176433522369,289,276,42,0.026465028355387523,0.46194690265486726,-0.0006720794017826772,-0.0025417640586454095,-0.0029147104391689526,0.3320730938878387,0.20793950850661624,0.11972274732199115
validation_ext,top30,2388,805,0.3371021775544389,437,368,48,0.020100502512562814,0.453416149068323,-5.178586307289808e-05,-0.0011230796440436792,-0.0016599643337111213,0.3500837520938023,0.22445561139028475,0.10080728152419313
validation_ext,bottom30,2112,368,0.17424242424242425,241,127,7,0.0033143939393939395,0.5108695652173914,0.00418098687839952,0.01164967724777323,0.011083359122716891,0.5620265151515151,0.4247159090909091,-0.0620524717878215
oos_ext,random_control,1467,295,0.2010906612133606,115,180,16,0.010906612133605999,0.423728813559322,0.0012518879357220427,0.004606656351135465,0.009494363756385545,0.3987730061349693,0.2419904567143831,0.0
oos_ext,top10,763,217,0.28440366972477066,65,152,15,0.019659239842726082,0.576036866359447,-0.00032911845537345334,0.0011462363771656318,0.003735083790465989,0.34600262123197906,0.182175622542595,0.08331300851141005
oos_ext,top20,1467,378,0.25766871165644173,121,257,27,0.018404907975460124,0.5423280423280423,0.00044169401962285343,0.002742805620056006,0.006251234601127416,0.3428766189502386,0.19495569188820722,0.05657805044308112
oos_ext,top30,2170,548,0.25253456221198156,197,351,34,0.01566820276497696,0.5,4.305472762115572e-05,0.0027164121165288123,0.007263901915954171,0.3419354838709677,0.195852534562212,0.05144390099862095
oos_ext,bottom30,1221,166,0.13595413595413594,76,90,7,0.005733005733005733,0.39759036144578314,0.0032637843362884494,0.008230263015408511,0.011266668007130692,0.5225225225225225,0.3357903357903358,-0.06513652525922467
