variant,split,symbol,trade_count,no_cost_pnl,cost_aware_pnl,funding_adjusted_pnl
C,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,7437.188006438314,7327.188006438314,7270.125120607757
C,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,422.8207340930638,356.8207340930638,351.41900961678425
C,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,4115.231260745939,4077.2312607459385,4044.867628845649
C,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,175.91458061702497,107.9145806170249,112.67937158547666
C,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1386.299877137006,1276.299877137006,1268.513276250609
C,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1132.0196641413397,1096.0196641413397,1085.3768243964541
D,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,27,371.42626916292977,317.42626916292977,319.8505053716492
D,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,22,1573.8637385492384,1529.8637385492384,1512.2236960416303
D,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,30,-12.247752830160909,-72.24775283016088,-78.75130196221983
D,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,42,563.3073107861383,479.30731078613826,478.3558148538287
D,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,29,25.12995918142191,-32.87004081857809,-35.63040278284444
D,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,42,1015.7820863644653,931.7820863644653,886.1653945277054
D,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,41,1104.077416633162,1022.0774166331621,986.298379793646
D,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,43,1473.0638302445334,1387.0638302445336,1341.6455958235426
D,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,65,1484.309095873007,1354.309095873007,1302.2381575781687
D,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,42,3026.7428302147305,2942.7428302147305,2888.926320283309
D,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,21,97.98112217188178,55.98112217188178,53.707012734529805
D,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,21,1237.1627974337132,1195.1627974337132,1197.5964048589044
D,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,21,247.95676833509683,205.95676833509683,199.53788869279543
D,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,41,778.6733155070319,696.6733155070319,672.1271801449523
D,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,21,178.54370648843656,136.54370648843656,135.8281586405982
E,oos_ext,BTCUSDT_SWAP_OKX.GLOBAL,23,-67.34732222755369,-113.34732222755369,-106.78272414547237
E,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-124.01103652187713,-176.01103652187714,-188.66862329955936
E,oos_ext,ETHUSDT_SWAP_OKX.GLOBAL,23,244.84853895014908,198.84853895014908,191.59757545851397
E,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,261.19146900072104,207.19146900072104,205.52119053027005
E,oos_ext,SOLUSDT_SWAP_OKX.GLOBAL,19,-136.56815823511567,-174.56815823511567,-193.34219121180902
E,train_ext,BTCUSDT_SWAP_OKX.GLOBAL,34,549.0215328556969,481.0215328556969,471.8694597304829
E,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-236.98090967457506,-314.98090967457506,-336.1804005911425
E,train_ext,ETHUSDT_SWAP_OKX.GLOBAL,37,269.7598193633011,195.75981936330112,190.62710007645964
E,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,504.7151659002925,372.7151659002925,342.9445354977388
E,train_ext,SOLUSDT_SWAP_OKX.GLOBAL,55,1148.3243101214196,1038.3243101214196,983.2003336169092
E,validation_ext,BTCUSDT_SWAP_OKX.GLOBAL,33,205.60920800243485,139.60920800243485,136.78573306016807
E,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,704.3265344702968,666.3265344702968,661.5630597583748
E,validation_ext,ETHUSDT_SWAP_OKX.GLOBAL,34,364.6624146041396,296.66241460413966,293.0479358018871
E,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1505.0666910049802,1395.0666910049802,1371.9033810701026
E,validation_ext,SOLUSDT_SWAP_OKX.GLOBAL,18,1626.410201812177,1590.410201812177,1586.0169033255654
