variant,split,symbol,trade_count,total_no_cost_pnl,top_5pct_contribution,concentration_pass
B,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,577.5032501323501,0.7222349267671325,True
BC,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,553.4158229543985,0.4533888319698473,True
BC,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,759.9772584004872,0.6698245274050245,True
BC,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1969.7318730646327,0.5925151202429815,True
C,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,662.1203737416027,0.7901081809771628,True
C,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,510.20725364363136,1.542287809304215,True
C,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1386.2998771370062,0.8652119565989789,True
D,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,42,563.3073107861383,0.8041228404387044,True
D,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,65,1484.309095873007,0.8185724791578689,True
D,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,41,778.6733155070318,0.9902894698727943,True
E,oos_ext,LINKUSDT_SWAP_OKX.GLOBAL,27,261.191469000721,1.0215989010919766,True
E,train_ext,LINKUSDT_SWAP_OKX.GLOBAL,66,504.7151659002926,1.483783160460334,True
E,validation_ext,LINKUSDT_SWAP_OKX.GLOBAL,55,1505.0666910049795,0.3515948474343248,True
A,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1028.7727877732148,0.32778447829587476,True
A,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,1730.562849018387,0.3525952621120719,True
A,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,1042.2740309530896,0.2525679670555189,True
B,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,513.24470925163,0.29933642061170884,True
B,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,497.39789127988934,0.22369740999039595,True
B,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,253.05908478252044,0.5369991538228306,True
BC,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1260.13036017286,0.2147170680716599,True
BC,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,673.7522147177883,0.2637629079229535,True
BC,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,4882.141890867107,0.3832049475358526,True
C,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,1058.5685050000131,0.2583046497722686,True
C,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,1349.2232733236624,0.34582329545536383,True
C,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,4115.231260745938,0.4546186614098573,True
D,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,22,1573.8637385492384,0.20975738649974468,True
D,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,41,1104.0774166331623,0.8734903801487554,True
D,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,21,1237.162797433713,0.3813864184786043,True
E,oos_ext,DOGEUSDT_SWAP_OKX.GLOBAL,26,-124.0110365218771,-1.959612984421464,True
E,train_ext,DOGEUSDT_SWAP_OKX.GLOBAL,39,-236.9809096745751,-0.5714737015591324,True
E,validation_ext,DOGEUSDT_SWAP_OKX.GLOBAL,19,704.3265344702968,0.5122671182210572,True
