entry_time,exit_time,direction,entry_price,exit_price,variant,exit_reason,entry_atr,max_mfe,gross_return,no_cost_pnl,cost_aware_pnl,funding_paid,funding_adjusted_pnl,split,symbol
2023-01-04 11:59:00+08:00,2023-01-09 07:59:00+08:00,-1,16865.3,16927.9,A,atr_stop,119.21428571428676,16703.0,-0.0037117632061097155,-3.7117632061097154,-5.711763206109715,-0.6482192747833,-5.063543931326415,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-01-31 03:59:00+08:00,2023-02-10 03:59:00+08:00,1,22785.9,22615.9,A,atr_stop,439.4071428571427,24617.9,-0.007460754238366709,-7.460754238366709,-9.46075423836671,2.6278969919324005,-12.08865123029911,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-02-15 19:59:00+08:00,2023-02-16 03:59:00+08:00,-1,22437.6,22808.5,A,atr_stop,371.3000000000003,22433.3,-0.01653028844439697,-16.53028844439697,-18.53028844439697,0.08420664122509999,-18.61449508562207,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-02-22 23:59:00+08:00,2023-02-24 23:59:00+08:00,1,23719.7,23887.1,A,atr_stop,535.2714285714285,24617.9,0.007057424840954895,7.057424840954895,5.057424840954895,0.41940944157910004,4.638015399375795,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-03-13 07:59:00+08:00,2023-03-13 23:59:00+08:00,-1,21994.2,22132.4,A,atr_stop,461.09999999999957,20758.5,-0.0062834747342481526,-6.283474734248153,-8.283474734248152,-0.05973938716389998,-8.223735347084252,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-04-20 07:59:00+08:00,2023-04-30 07:59:00+08:00,1,27367.9,29204.2,A,max_hold,715.5714285714286,31389.6,0.06709685434395767,67.09685434395766,65.09685434395766,0.3435381405058,64.75331620345186,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-04-26 19:59:00+08:00,2023-04-26 23:59:00+08:00,-1,28956.6,28956.7,A,atr_stop,706.4142857142854,28883.4,-3.4534441198960786e-06,-0.0034534441198960787,-2.003453444119896,0.0,-2.003453444119896,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-05-09 03:59:00+08:00,2023-05-12 11:59:00+08:00,1,27337.1,26971.6,A,atr_stop,759.5999999999998,28823.7,-0.013370108753305947,-13.370108753305948,-15.370108753305948,0.1066873179279,-15.476796071233847,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-05-28 11:59:00+08:00,2023-05-29 11:59:00+08:00,-1,27046.5,27501.6,A,atr_stop,289.5285714285713,26858.7,-0.01682657645166652,-16.82657645166652,-18.82657645166652,0.06467537819340001,-18.891251829859918,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-06-01 11:59:00+08:00,2023-06-05 23:59:00+08:00,1,26778.7,26771.2,A,atr_stop,391.0928571428571,27446.6,-0.00028007334187245833,-0.28007334187245836,-2.280073341872458,0.44911649794689995,-2.729189839819358,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-06-21 03:59:00+08:00,2023-06-21 07:59:00+08:00,-1,27978.3,27982.2,A,atr_stop,526.692857142857,27870.0,-0.0001393937444377055,-0.1393937444377055,-2.1393937444377054,0.0,-2.1393937444377054,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-07-07 07:59:00+08:00,2023-07-13 15:59:00+08:00,1,29897.7,30304.8,A,atr_stop,542.0571428571426,32436.0,0.013616432033233277,13.616432033233277,11.616432033233277,0.5456484594750999,11.070783573758177,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-08-09 03:59:00+08:00,2023-08-19 03:59:00+08:00,-1,29874.7,26063.3,A,max_hold,462.11428571428615,24593.1,0.1275795238111178,127.57952381111781,125.57952381111781,-1.925912345116,127.50543615623381,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-08-17 07:59:00+08:00,2023-08-17 11:59:00+08:00,1,28737.9,28737.9,A,atr_stop,180.4642857142865,28795.1,0.0,0.0,-2.0,0.0739871038913,-2.0739871038913,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-08-24 03:59:00+08:00,2023-08-29 23:59:00+08:00,-1,26625.0,25978.0,A,atr_stop,281.41428571428617,25790.4,0.024300469483568076,24.300469483568076,22.300469483568076,-0.17075879748819997,22.471228281056277,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-09-11 23:59:00+08:00,2023-09-21 23:59:00+08:00,1,25111.9,26585.1,A,max_hold,219.73571428571398,27485.2,0.0586654136086874,58.6654136086874,56.6654136086874,-0.1777992984933,56.8432129071807,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-09-12 19:59:00+08:00,2023-09-15 03:59:00+08:00,-1,26098.2,26694.8,A,atr_stop,359.2000000000002,25762.4,-0.022859814086795202,-22.8598140867952,-24.8598140867952,-0.08952106075310001,-24.7702930260421,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-09-25 07:59:00+08:00,2023-09-25 11:59:00+08:00,1,26247.5,26242.0,A,atr_stop,122.61428571428509,26333.3,-0.00020954376607295932,-0.20954376607295933,-2.2095437660729593,0.0104006630799,-2.2199444291528594,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-09-28 23:59:00+08:00,2023-10-02 07:59:00+08:00,-1,27024.9,27103.7,A,atr_stop,271.05714285714305,26662.2,-0.002915829475779717,-2.915829475779717,-4.9158294757797165,0.2095991036998,-5.125428579479516,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-10-11 11:59:00+08:00,2023-10-21 11:59:00+08:00,1,27010.1,29606.7,A,max_hold,247.5857142857141,30752.1,0.09613440898034448,96.13440898034447,94.13440898034447,0.32523889586069993,93.80917008448378,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-10-16 07:59:00+08:00,2023-10-16 15:59:00+08:00,-1,27151.0,27231.2,A,atr_stop,139.05000000000004,27106.4,-0.0029538506868992203,-2.9538506868992203,-4.95385068689922,-0.0475352639203,-4.9063154229789205,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
2023-11-22 07:59:00+08:00,2023-12-02 07:59:00+08:00,1,35747.8,38680.0,A,max_hold,754.1142857142851,39436.5,0.0820246280890012,82.0246280890012,80.0246280890012,2.3453457205671002,77.6792823684341,train_ext,BTCUSDT_SWAP_OKX.GLOBAL
