group,timeframe,split,symbol,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
A,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,778,389,389,-2636.90318103538,-4192.90318103538,-0.27159726828779995,-4193.174778303668,-0.0033893357082716963,0.23136246786632392,0.007355200012230647,-0.011637274894302019,63.762924189108084,4190.546589012002,4.2314241605408265
A,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,770,401,369,-5406.057875236163,-6946.057875236163,1.040792707014,-6945.01708252915,-0.00702085438342359,0.274025974025974,0.017836007905765856,-0.0244192659029007,82.66591350556513,7361.413427659037,7.173149207199928
A,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,663,331,332,-5353.7512365714565,-6679.751236571457,2.5205479782103,-6677.230688593247,-0.008075039572505967,0.34238310708898945,0.020364403589761913,-0.026946658167364253,2.7571529741779646,6733.8005529369075,6.573965020116568
A,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,2064,1105,959,-3095.860636316868,-7223.860636316867,-1.2394505138626992,-7225.100086830729,-0.0014999324788356916,0.28488372093023256,0.009647308401941309,-0.009211222650780494,19.460542621017794,7242.181784874112,7.252386201989358
A,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,2108,1087,1021,-3949.0048249314186,-8165.004824931418,0.2743063146669991,-8164.730518616752,-0.0018733419473109198,0.2874762808349146,0.010391002474754059,-0.01023400884953373,8.328135103673487,8191.627932619627,8.055783700022282
A,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,2150,1134,1016,-12280.031787900763,-16580.031787900763,0.8002734176458981,-16579.231514483115,-0.005711642692046865,0.3809302325581395,0.026938910397622504,-0.026533997182248213,6.455868536827008,16561.48773616839,16.86065954130891
A,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,617,333,284,-1054.9650235693953,-2288.9650235693953,0.7030664719775999,-2288.2619570974175,-0.0017098298599179823,0.31280388978930307,0.009197504386840478,-0.010277090938492188,41.51397772300786,2278.385859731096,2.3011118645562494
A,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,598,320,278,-2704.9683059927547,-3900.9683059927547,1.530807176247,-3899.4374988165077,-0.004523358371225342,0.30434782608695654,0.015319798157609081,-0.017474738747680997,6.99809593770121,3900.910323510078,3.8951734159173754
A,15m,validation,SOLUSDT_SWAP_OKX.GLOBAL,438,222,216,-19241.99126779383,-20117.99126779383,-1.2297874735580996,-20119.221055267386,-0.043931486912771295,0.2876712328767123,0.06378599302171192,-0.08938396691061416,2.766847656046374,20104.89489059443,20.492541816519775
A,1h,oos,BTCUSDT_SWAP_OKX.GLOBAL,176,82,94,-918.4796080861422,-1270.4796080861422,-0.9384460067892002,-1271.4180540929315,-0.005218634136853081,0.3181818181818182,0.015270177642415088,-0.019654699459733086,3.075169383980959,1274.5895535416637,1.2705599732868034
A,1h,oos,ETHUSDT_SWAP_OKX.GLOBAL,162,85,77,-3462.5138859061203,-3786.513885906121,-3.8239286680942004,-3790.337814574214,-0.021373542505593333,0.3271604938271605,0.028285139587792198,-0.05421983341422055,3.582798575335353,3862.599994121451,3.6407019366286697
A,1h,oos,SOLUSDT_SWAP_OKX.GLOBAL,142,65,77,-1603.1348781747838,-1887.134878174784,-2.9659280535784,-1890.100806228362,-0.011289682240667492,0.36619718309859156,0.03625180993503199,-0.04416826128886433,2.225008082981588,1981.830820466043,1.8153122059668667
A,1h,train,BTCUSDT_SWAP_OKX.GLOBAL,449,248,201,-434.6814270504466,-1332.6814270504467,-5.5417437398406,-1338.2231707902874,-0.0009681100825176986,0.38084632516703787,0.020659089588992582,-0.01726262480446081,17.123818764413297,1509.856096906771,1.3345713171392244
A,1h,train,ETHUSDT_SWAP_OKX.GLOBAL,504,268,236,-1636.5370924196611,-2644.5370924196613,1.9893400659209002,-2642.54775235374,-0.0032470974055945657,0.373015873015873,0.02094928212137813,-0.020447103067001173,6.883172036264783,2743.5516181687058,2.533763556837253
A,1h,train,SOLUSDT_SWAP_OKX.GLOBAL,480,246,234,-10679.860118414823,-11639.860118414823,-3.5363618435089976,-11643.396480258332,-0.02224970858003088,0.41875,0.048241703633506675,-0.05424434860145434,13.601521530736562,11470.702207655107,14.073512511860178
A,1h,validation,BTCUSDT_SWAP_OKX.GLOBAL,129,62,67,-276.723754447571,-534.7237544475711,-0.3115223090385999,-535.0352767566096,-0.002145145383314504,0.40310077519379844,0.019130406626570673,-0.018473265638463802,4.8295569773219835,543.2195337901397,0.5388097760904368
A,1h,validation,ETHUSDT_SWAP_OKX.GLOBAL,143,73,70,-352.77447426803104,-638.7744742680311,-2.516314897255699,-641.2907891652868,-0.0024669543655107063,0.3706293706293706,0.03406990885178975,-0.031402722873750205,6.63267869786341,626.5774029762941,0.635934147681906
A,1h,validation,SOLUSDT_SWAP_OKX.GLOBAL,71,44,27,-4610.970504405287,-4752.970504405287,-1.4557091937495001,-4754.426213599036,-0.06494324654091953,0.38028169014084506,0.10791829955564348,-0.12729581384247704,3.3011144295446186,4888.413172341901,4.391138106343319
A,30m,oos,BTCUSDT_SWAP_OKX.GLOBAL,367,180,187,-1492.6132525474109,-2226.6132525474113,-0.31281775122110006,-2226.9260702986326,-0.004067066083235452,0.25885558583106266,0.010055560984369405,-0.015193190103594165,7.061638291658765,2230.357091214325,2.2227308551603144
A,30m,oos,ETHUSDT_SWAP_OKX.GLOBAL,341,175,166,-2578.2951307911108,-3260.29513079111,-0.9502211623951003,-3261.2453519535056,-0.007560982788243725,0.34017595307917886,0.02732720483505229,-0.03432475561044759,5.057853552488806,3664.9965213440496,3.562611216054369
A,30m,oos,SOLUSDT_SWAP_OKX.GLOBAL,311,162,149,-3175.3837743468666,-3797.3837743468666,-7.1873715828299005,-3804.5711459296976,-0.010210237216549413,0.33762057877813506,0.027581106999827635,-0.03747272462465963,3.5572203402565963,3846.2899739754203,3.692253485704111
A,30m,train,BTCUSDT_SWAP_OKX.GLOBAL,940,521,419,-1359.0338689934872,-3239.033868993487,0.060686707381099936,-3238.973182286106,-0.0014457807116951993,0.3617021276595745,0.01455371677277226,-0.013214400156613258,13.1048528042206,3313.2169589055065,3.1339898104041612
A,30m,train,ETHUSDT_SWAP_OKX.GLOBAL,1004,537,467,-2749.1701853288805,-4757.1701853288805,1.2129247730911006,-4755.95726055579,-0.002738217316064622,0.34462151394422313,0.015684842056286383,-0.015806125350875368,22.895453933023404,4865.276842730841,4.429964280578471
A,30m,train,SOLUSDT_SWAP_OKX.GLOBAL,1015,513,502,-17781.336401541874,-19811.336401541874,10.0946608019309,-19801.241740739944,-0.01751855803107574,0.3980295566502463,0.03558180263417807,-0.038696191393876055,9.348979326445207,19803.633614704122,19.75637884651472
A,30m,validation,BTCUSDT_SWAP_OKX.GLOBAL,274,143,131,-578.3735383760746,-1126.3735383760747,-0.05002144863339997,-1126.4235598247078,-0.0021108523298396884,0.3175182481751825,0.013433705120806739,-0.013412324799672654,3.7844015376280944,1115.1967642822237,1.127859006751775
A,30m,validation,ETHUSDT_SWAP_OKX.GLOBAL,287,153,134,-951.6814613951451,-1525.681461395145,-0.7519881556734999,-1526.4334495508188,-0.003315963280122457,0.34843205574912894,0.02180849725832976,-0.023995193631750202,3.9314188449088783,1526.894877333093,1.5261906505658749
A,30m,validation,SOLUSDT_SWAP_OKX.GLOBAL,174,88,86,-13391.926125539361,-13739.926125539361,-0.21133084638000033,-13740.137456385743,-0.07696509267551356,0.3505747126436782,0.08648539132535155,-0.12708673771777154,16.82552935188442,13777.943431949405,13.276030160133002
B,15m,oos,BTCUSDT_SWAP_OKX.GLOBAL,304,160,144,-889.2900320184692,-1497.2900320184694,-0.4761879445489001,-1497.766219963018,-0.002925296157955491,0.22039473684210525,0.006359293636452939,-0.01022250603574514,80.5111914613346,1494.0618892428547,1.5117543868011845
B,15m,oos,ETHUSDT_SWAP_OKX.GLOBAL,278,145,133,-1165.475483430202,-1721.4754834302018,0.8377008535947,-1720.6377825766074,-0.0041923578540654744,0.24820143884892087,0.01337815457660177,-0.019204972007546763,3.6429978901460602,1716.474615091201,1.7236504606451633
B,15m,oos,SOLUSDT_SWAP_OKX.GLOBAL,225,103,122,-789.6894756681053,-1239.6894756681054,0.6786631150887001,-1239.0108125530164,-0.003509731002969357,0.3511111111111111,0.014501413254280074,-0.01981192968934628,2.4773446739971,1293.0923289446648,1.2418418356613465
B,15m,train,BTCUSDT_SWAP_OKX.GLOBAL,749,404,345,-998.8090815579424,-2496.8090815579426,2.202736475429,-2494.6063450825136,-0.00133352347337509,0.2376502002670227,0.007602141990273133,-0.007903875932047237,5.570825741190745,2510.35972756511,2.5172452952961266
B,15m,train,ETHUSDT_SWAP_OKX.GLOBAL,793,436,357,-1590.5818503362418,-3176.5818503362416,-0.05120739885930009,-3176.633057735101,-0.0020057778692764714,0.25598991172761665,0.008545700734103543,-0.008843413998383518,7.993761715486785,3185.1983139082113,3.1898849357088386
B,15m,train,SOLUSDT_SWAP_OKX.GLOBAL,764,387,377,-1592.069202428986,-3120.0692024289856,5.937276093026999,-3114.131926335959,-0.002083860212603384,0.4005235602094241,0.02042430666173096,-0.02009471406322513,6.153637682345827,3112.3560900743555,3.118940558652339
B,15m,validation,BTCUSDT_SWAP_OKX.GLOBAL,207,106,101,-251.8095601161977,-665.8095601161978,-0.2606825878854001,-666.0702427040832,-0.0012164713049091676,0.2946859903381642,0.008280685518272901,-0.00867621915878207,7.226404895038904,656.1941453377623,0.6627394244218519
B,15m,validation,ETHUSDT_SWAP_OKX.GLOBAL,203,111,92,-839.2776029806637,-1245.2776029806637,0.6619360379552,-1244.6156669427085,-0.004134372428476175,0.2857142857142857,0.011575473939421809,-0.014295653255694188,4.315993947268147,1244.0933146500572,1.2447435092758896
