group,timeframe,split,trade_count,long_count,short_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate,mfe_mean,mae_mean,mfe_mae_ratio_mean,max_drawdown,max_drawdown_pct
A,15m,oos,2211,1121,1090,-13396.712292843004,-17818.712292843004,3.289743416936501,-17815.42254942606,-0.006059119083149254,0.27951153324287653,0.014906228528705249,-0.020679452274067395,52.115471108215004,18074.027883239087,17.869644888693387
A,15m,train,6322,3326,2996,-19324.89724914905,-31968.897249149046,-0.16487078154979984,-31969.062119930597,-0.003056769574367138,0.3184118949699462,0.015775851805326924,-0.015443427419781981,11.349227133735706,31977.689546830683,32.022746919347796
A,15m,validation,1653,875,778,-23001.92459735598,-26307.92459735598,1.0040861746664995,-26306.920511181313,-0.01391525988950755,0.3030852994555354,0.025876808498754157,-0.033842127275869285,18.749588841813054,26288.004022958565,26.794868843872415
A,1h,oos,480,232,248,-5984.128372167046,-6944.128372167046,-7.7283027284618,-6951.856674895507,-0.012466934108681346,0.33541666666666664,0.02586979351887903,-0.03857236087715727,2.994652698327195,7040.9592178366165,6.5262914393159255
A,1h,train,1433,762,671,-12751.07863788493,-15617.07863788493,-7.088765517428701,-15624.16740340236,-0.008898170717295834,0.39078855547801816,0.030000270173562774,-0.030770094774368168,12.337611914303924,15500.663533830604,18.985464449298576
A,1h,validation,343,179,164,-5240.468733120889,-5926.468733120889,-4.283546400043799,-5930.7522795209325,-0.015278334498894723,0.3848396501457726,0.043737663816572125,-0.04638963096537604,5.264912619144815,5937.589274881752,5.8972696695098215
A,30m,oos,1019,517,502,-7246.292157685388,-9284.292157685388,-8.450410496446102,-9292.742568181835,-0.0071111797425764366,0.310107948969578,0.021184192352269676,-0.02839515190328835,5.318644617904285,9593.983791187226,9.510275094994741
A,30m,train,2959,1571,1388,-21889.540455864244,-27807.54045586424,11.368272282403098,-27796.172183581835,-0.007397614212863887,0.3683676917877661,0.022150593060023042,-0.022834579339060333,15.149736627285424,27823.61394350567,27.75722216648776
A,30m,validation,735,384,351,-14921.98112531058,-16391.98112531058,-1.0133404506869002,-16392.99446576127,-0.02030201513647698,0.33741496598639453,0.033997730621568516,-0.04445536044940797,6.92909569663515,16385.255707731285,16.513046176428528
B,15m,oos,807,408,399,-2844.4549911167765,-4458.454991116777,1.0401760241345002,-4457.414815092642,-0.0035247273743702315,0.2664188351920694,0.011047298909529121,-0.015990468690294222,32.4200715868336,4457.0212783329025,4.494743387156409
B,15m,train,2306,1227,1079,-4181.46013432317,-8793.46013432317,8.0888051695967,-8785.371329153575,-0.001813295808466249,0.29791847354726797,0.012174724771214718,-0.012265911499620774,6.600164542412671,8812.118703249716,8.830761531071394
B,15m,validation,533,279,254,-6192.343242927693,-7258.343242927692,0.05887861144229972,-7258.28436431625,-0.011617904770971278,0.28142589118198874,0.024586687241887947,-0.027905649933156897,5.052678827965521,7248.408266949943,7.320708294860417
B,1h,oos,163,85,78,-1812.4132721607107,-2138.4132721607107,-2.8678290345869,-2141.2811011952977,-0.011119099829206815,0.3619631901840491,0.028998549413208615,-0.03708708605851313,3.3854606654877766,2248.048940915739,2.0501556636434306
B,1h,train,488,241,247,-2411.6087328906133,-3387.6087328906133,8.619275258718698,-3378.9894576318948,-0.004941821173956175,0.4057377049180328,0.02723073002192483,-0.024523389772396955,23.274152731005262,3672.281384383433,2.8527256665927063
B,1h,validation,78,40,38,-1443.1194455864534,-1599.1194455864534,0.40488672079840016,-1598.7145588656551,-0.018501531353672485,0.47435897435897434,0.0354459627717724,-0.040034889649014596,10.55285580098602,1858.3249985594898,1.4753172409488615
B,30m,oos,360,198,162,-1990.9884831296613,-2710.9884831296613,-0.39111338779749993,-2711.3795965174586,-0.00553052356424906,0.3194444444444444,0.01749058181040991,-0.023957366372205337,3.888679655755236,2747.544012508526,2.651648686353086
B,30m,train,1014,536,478,-1521.383839366132,-3549.3838393661317,1.1287644585762013,-3548.255074907556,-0.0015003785398088085,0.363905325443787,0.01911728334045422,-0.0168631712870767,23.58721708035257,3578.6919530412147,3.5816027213514547
B,30m,validation,214,114,100,-6210.498402350413,-6638.498402350413,-0.15216211398720014,-6638.650564464401,-0.029021020571730904,0.308411214953271,0.03350861548257337,-0.04855259306181449,2.9172495169540356,6641.204577845257,6.624286062602741
C,15m,oos,1355,635,720,-9754.58008415792,-12464.58008415792,1.5836188701626002,-12462.996465287755,-0.00719895209162946,0.25977859778597784,0.01647505160050306,-0.022706633335706283,30.753190611147115,12563.856733771914,12.472220764068892
C,15m,train,4725,2431,2294,-16864.230040209302,-26314.230040209302,11.892320595469098,-26302.33771961384,-0.003569149214859111,0.31703703703703706,0.016926654226303177,-0.016166983325872786,14.40200025044475,26320.276465077593,26.207520926892524
C,15m,validation,1202,600,602,-21965.593236025044,-24369.593236025044,-0.21609856010779982,-24369.809334585152,-0.018274204023315345,0.2753743760399334,0.028481397812034126,-0.038664743812099014,16.451212987691864,24359.933237218807,24.602914011491514
C,1h,oos,297,137,160,-4227.483252723178,-4821.483252723178,-4.000191726238801,-4825.483444449417,-0.014233950345869288,0.3501683501683502,0.026023343895341826,-0.041842764862099764,4.066811087519532,4901.890658091967,4.597683329757848
C,1h,train,1132,582,550,-7960.146738856296,-10224.146738856296,2.7742889255916,-10221.372449930706,-0.00703193174810627,0.4045936395759717,0.028989055697140984,-0.0281744723193225,14.253756989209847,10107.215251161748,12.379481395330876
C,1h,validation,261,127,134,-5089.356570287511,-5611.356570287511,-3.5852496247559,-5614.9418199122665,-0.01949945046087169,0.3946360153256705,0.04474591473610351,-0.04857395963802717,6.846048859449009,5649.656148674081,5.460112024769904
C,30m,oos,618,300,318,-5613.4423025282085,-6849.4423025282085,-7.831819450974201,-6857.274121979182,-0.009083239971728491,0.28802588996763756,0.023252406362484195,-0.031151277491031436,5.227850437569394,7069.921631158582,6.423757033936255
C,30m,train,2264,1170,1094,-14676.835443865186,-19204.835443865188,10.509210836971501,-19194.326233028216,-0.0064827011677849765,0.37190812720848054,0.023901768699169285,-0.022830887782793078,17.203345419840073,19220.506583168597,19.174643253198884
C,30m,validation,549,259,290,-14939.742217688738,-16037.742217688736,0.04001807939690005,-16037.702199609343,-0.027212645205261815,0.3296903460837887,0.037547769716200115,-0.05051827411586747,8.236686341048935,16015.909612064077,16.372713402235863
D,15m,oos,508,258,250,-2496.626039435011,-3512.626039435011,0.9273160493872001,-3511.6987233856235,-0.004914618187864194,0.25,0.01208616751342221,-0.018422407120142044,32.92459277125252,3537.5417752112107,3.475524194236596
D,15m,train,1651,889,762,-4030.658001120818,-7332.658001120818,12.659639028747502,-7319.998362092071,-0.0024413434289041907,0.29497274379164146,0.012819283056386188,-0.01317360750923571,7.35499765386395,7348.560181611974,7.364106720057094
D,15m,validation,387,193,194,-6083.4356056708075,-6857.4356056708075,0.3659159733649001,-6857.069689697442,-0.015719471849278573,0.2558139534883721,0.028982026383788575,-0.03378713154337892,2.509436340432596,6847.193592331127,6.915491661314245
D,1h,oos,102,48,54,-902.8509687792615,-1106.8509687792612,-1.1148017493162015,-1107.9657705285779,-0.008851480086071192,0.38235294117647056,0.033687475729531215,-0.03926926306333102,4.324372730748279,1166.6676371837007,1.1127440564605378
D,1h,train,374,175,199,-1659.778970798698,-2407.778970798698,10.8927618054541,-2396.8862089932445,-0.004437911686627535,0.4037433155080214,0.0266817855576803,-0.024579855068123137,29.342911505286374,2688.859866922865,2.0812033205318956
D,1h,validation,57,31,26,-1349.748757559605,-1463.748757559605,-0.37240989787460005,-1464.12116745748,-0.0236798027642036,0.5263157894736842,0.035416189077117806,-0.04171649136459334,12.972202930740627,1737.3374668788058,1.3645265676133913
D,30m,oos,217,120,97,-1226.353709209048,-1660.353709209048,-0.3529860036701,-1660.7066952127184,-0.005651399581608517,0.2995391705069124,0.019846537884725977,-0.02488347947308316,4.029412071573403,1755.2420829566938,1.6036412368306767
D,30m,train,764,402,362,-1520.3762030729488,-3048.376203072948,2.9429518227172995,-3045.4332512502306,-0.0019900212082106655,0.36910994764397903,0.02062812916143715,-0.017902082567692563,30.365690588569688,3130.994056910368,3.075941927159426
D,30m,validation,160,74,86,-6308.3913335010675,-6628.3913335010675,0.6915786948023,-6627.6997548062645,-0.039427445834381666,0.30625,0.034594503784177506,-0.05407626727252911,2.6215079070138967,6636.783511629787,6.577039286135781
E,15m,oos,508,250,258,2496.626039435011,1480.6260394350106,-0.9273160493872001,1479.6987233856235,0.004914618187864194,0.5688976377952756,0.0197045633468147,-0.011458773998904532,32.69967545223965,235.38092153573507,0.15748951012702658
E,15m,train,1651,762,889,4030.658001120818,728.6580011208182,-12.659639028747502,715.9983620920708,0.0024413434289041907,0.4330708661417323,0.015163595899839457,-0.011848842415345564,14.01308694207734,1464.9020832066844,0.801737000491889
E,15m,validation,387,194,193,6083.4356056708075,5309.4356056708075,-0.3659159733649001,5309.069689697442,0.015719471849278573,0.5684754521963824,0.051350782230654896,-0.023211619070066376,68.30397433846896,404.7951559435048,0.24687807608748466
E,1h,oos,102,54,48,902.8509687792615,698.8509687792615,1.1148017493162015,699.9657705285778,0.008851480086071192,0.5,0.049430435510167466,-0.030395437034435056,56.53297111240542,178.80318611809173,0.15233041642560624
E,1h,train,374,199,175,1659.778970798698,911.778970798698,-10.8927618054541,900.886208993244,0.004437911686627535,0.4893048128342246,0.028559373440423107,-0.024683272522498013,68.71342060402196,561.2533372984077,0.4091481509610932
E,1h,validation,57,26,31,1349.748757559605,1235.748757559605,0.37240989787460005,1236.12116745748,0.0236798027642036,0.40350877192982454,0.06680586708515146,-0.033086914192392035,10.153770965801986,418.02855108046947,0.4210549883745681
E,30m,oos,217,97,120,1226.353709209048,792.353709209048,0.3529860036701,792.7066952127184,0.005651399581608517,0.5944700460829493,0.027183733733857234,-0.018654895055177662,72.72402551022198,315.686021997656,0.3185743457174382
E,30m,train,764,362,402,1520.3762030729488,-7.623796927051444,-2.9429518227172995,-10.566748749769431,0.0019900212082106655,0.4698952879581152,0.02027491343242663,-0.018813097948766518,15.612989362188532,1604.1436329047135,1.0232174320863578
E,30m,validation,160,86,74,6308.3913335010675,5988.3913335010675,-0.6915786948023,5987.6997548062645,0.039427445834381666,0.58125,0.08947331626152523,-0.028488904747928513,96.3962033080446,146.86559670907354,0.09667801329374914
