policy_name,horizon_m,stop_atr,tp_atr,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,stop_first_rate,tp_first_rate,horizon_exit_rate,notes
immediate_baseline,15,1.0,1.5,5295,0,-0.00041993385611181744,-0.0008288192479985161,0.2983947119924457,-0.27885174003090196,-1.0,-0.27885174003090196,1480.9862330878218,0.674409820585458,0.25363550519357886,0.07195467422096317,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,2.0,5295,0,-0.00040874781145359957,-0.0008737394425757476,0.26572237960339945,-0.27303245527718817,-1.0,-0.27303245527718817,1449.02365047212,0.7033050047214353,0.19603399433427762,0.10066100094428707,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,2.5,5295,0,-0.0004208052465807821,-0.0009039946244105112,0.24362606232294617,-0.27901395545060764,-1.0,-0.27901395545060764,1479.6757077421419,0.7220018885741265,0.15146364494806422,0.12653446647780925,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,3.0,5295,0,-0.000413121629994332,-0.0009194489752005425,0.23210576015108594,-0.2748042953190046,-1.0,-0.2748042953190046,1457.8855573453043,0.7325779036827196,0.1214353163361662,0.14598677998111426,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,4.0,5295,0,-0.0004226184849342002,-0.0009343793214373449,0.219452313503305,-0.2608046923901034,-1.0,-0.2608046923901034,1384.757659836772,0.7435316336166194,0.08555240793201133,0.17091595845136923,Signal time immediate entry at trace price.
immediate_baseline,15,1.0,5.0,5295,0,-0.0004226093174104418,-0.0009405435550712308,0.21322001888574127,-0.256464895075375,-1.0,-0.256464895075375,1357.7784330552847,0.7488196411709159,0.06043437204910293,0.1907459867799811,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,1.5,5295,0,-0.0004568956663243787,-0.0007000593508556452,0.40094428706326724,-0.19017759660318576,-1.0,-0.19017759660318576,1009.6345537633341,0.5038715769593957,0.3174693106704438,0.17865911237016052,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,2.0,5295,0,-0.000453628127376138,-0.0007957661505771855,0.36279508970727103,-0.19092417522431668,-1.0,-0.19092417522431668,1013.9963131985473,0.5301227573182248,0.24173748819641172,0.22813975448536356,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,2.5,5295,0,-0.0004640410230439067,-0.0008445780619967988,0.33994334277620397,-0.1946162936086002,-1.0,-0.1946162936086002,1033.1994226111867,0.5459867799811142,0.18640226628895185,0.2676109537299339,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,3.0,5295,0,-0.00046351350575290237,-0.0008802279628301847,0.32615675165250235,-0.19533901515727053,-1.0,-0.19533901515727053,1038.2999741363647,0.5571293673276676,0.14787535410764874,0.29499527856468366,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,4.0,5295,0,-0.0004749669953727197,-0.0009156000769288106,0.3119924457034939,-0.18707762369540684,-1.0,-0.18707762369540684,1002.1759766922033,0.5673276676109538,0.10236071765816808,0.33031161473087817,Signal time immediate entry at trace price.
immediate_baseline,15,1.5,5.0,5295,0,-0.0004790467143171451,-0.0009302756411864142,0.30462700661000947,-0.18385699623457366,-1.0,-0.18385699623457366,979.9994322622935,0.5729933899905572,0.07252124645892351,0.35448536355051935,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,1.5,5295,0,-0.00045329993258280736,-0.0003292711068708739,0.4619452313503305,-0.13095898998169914,-0.13361089397212775,-0.13095898998169914,695.160986765193,0.3639282341831917,0.3546742209631728,0.2813975448536355,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,2.0,5295,0,-0.0004419769643507906,-0.0005568349022803339,0.42530689329556187,-0.12549577895280453,-0.2254664912165045,-0.12549577895280453,667.1724396785153,0.38413597733711047,0.2753541076487252,0.34050991501416433,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,2.5,5295,0,-0.00044948273438121417,-0.0006454929846348372,0.4020774315391879,-0.12501009799371227,-0.2820868694591421,-0.12501009799371227,665.2952583799814,0.39660056657223797,0.2149197355996223,0.38847969782813974,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,3.0,5295,0,-0.0004474929119415715,-0.0006946468568334886,0.38791312559017943,-0.12509813049975116,-0.33127445291024216,-0.12509813049975116,664.4488905711645,0.40547686496694996,0.17053824362606232,0.42398489140698775,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,4.0,5295,0,-0.0004628928305380043,-0.0007555044605025875,0.3731822474032106,-0.12083696301059547,-0.3772233760478788,-0.12083696301059547,647.4128966871251,0.41473087818696885,0.1153918791312559,0.4698772426817753,Signal time immediate entry at trace price.
immediate_baseline,15,2.0,5.0,5295,0,-0.00047208194917236284,-0.0007794212425390678,0.3648725212464589,-0.11799494140254135,-0.40274346794072924,-0.11799494140254135,627.9582422386513,0.4202077431539188,0.08328611898016997,0.49650613786591125,Signal time immediate entry at trace price.
