policy_name,side,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,stop_first_rate,tp_first_rate,horizon_exit_rate,best_horizon,best_stop_atr,best_tp_atr
skip_large_breakout_gt_1atr,long,2586,307,0.00013309936912688462,-0.0005717337732239455,0.4706109822119103,0.03402829424154434,-0.10790153040030905,0.03402829424154434,60.57006276132394,0.3808971384377417,0.33101314771848417,0.2880897138437742,120,4.0,5.0
skip_large_breakout_gt_1atr,short,2072,330,-0.00033997868415911315,-0.0013933324143802811,0.44305019305019305,-0.013356145280971534,-0.35230578669893914,-0.013356145280971534,109.85510609377694,0.4416023166023166,0.34797297297297297,0.21042471042471042,120,4.0,5.0
small_to_mid_breakout_0_25_to_1atr,long,1024,1869,-1.9949371148857316e-05,-0.0003220841907610924,0.4716796875,0.024838453278303318,-0.07548536170706988,0.024838453278303318,23.285904896027805,0.3291015625,0.283203125,0.3876953125,60,4.0,5.0
small_to_mid_breakout_0_25_to_1atr,short,949,1453,-0.0003909970909334369,-0.0009126368826712342,0.4488935721812434,-0.00723491009890412,-0.19278397593341384,-0.00723491009890412,58.52013868340646,0.37091675447839834,0.29083245521601686,0.3382507903055848,60,4.0,5.0
skip_large_breakout_gt_2atr,long,2730,163,3.0381210248106024e-05,-0.0007320521474982315,0.46483516483516485,0.022659525487089976,-0.1288565125911668,0.022659525487089976,67.41880891825835,0.389010989010989,0.32967032967032966,0.2813186813186813,120,4.0,5.0
skip_large_breakout_gt_2atr,short,2235,167,-0.0005321351254279399,-0.001549786436288296,0.43266219239373604,-0.0325745738207544,-0.4109914187503298,-0.0325745738207544,118.78065811200364,0.4519015659955257,0.3422818791946309,0.2058165548098434,120,4.0,5.0
pullback_to_breakout_level_10bar,long,2622,271,-8.264066617729668e-05,-0.0007514173004781184,0.4622425629290618,0.00514179165951029,-0.14501296830935137,0.00514179165951029,61.25779853253321,0.3886346300533944,0.3100686498855835,0.3012967200610221,120,4.0,5.0
pullback_to_breakout_level_10bar,short,2140,262,-0.0005002295133463298,-0.0015065263036600504,0.4331775700934579,-0.03395937891359988,-0.3551333306381896,-0.03395937891359988,132.34088327949718,0.4373831775700935,0.33084112149532713,0.23177570093457944,120,4.0,5.0
pullback_to_breakout_level_5bar,long,2509,384,-9.062386861040501e-05,-0.0007759259259259529,0.45994420087684335,0.00042075449322515496,-0.1479762981906663,0.00042075449322515496,64.48480495114076,0.3874053407732164,0.3053009166998804,0.30729374252690317,120,4.0,5.0
pullback_to_breakout_level_5bar,short,2001,401,-0.000530651001672001,-0.0015109603952039204,0.4332833583208396,-0.0337339850311572,-0.37360940640459844,-0.0337339850311572,124.39797827056307,0.4367816091954023,0.33183408295852074,0.23138430784607697,120,4.0,5.0
immediate_baseline,long,2893,0,-0.0002748850634570894,-0.0010552245928298661,0.4503975112340131,-0.008937628404823391,-0.20351754610301226,-0.008937628404823391,90.51444183422115,0.41064638783269963,0.3214656066367093,0.26788800553059106,120,4.0,5.0
immediate_baseline,short,2402,0,-0.0008492418461071387,-0.0017552856636364937,0.417985012489592,-0.06562800191590545,-0.5725088967199774,-0.06562800191590545,181.32318071178057,0.47293921731890093,0.33222314737718567,0.1948376353039134,120,4.0,5.0
delayed_confirm_3bar,long,1254,1639,-0.00025516497908518884,-0.0007108157731606706,0.4354066985645933,-0.03000905047266679,-0.13504333761308707,-0.03000905047266679,66.17215364078915,0.3253588516746411,0.23923444976076555,0.4354066985645933,60,4.0,5.0
delayed_confirm_3bar,short,1010,1392,-0.00045184963401346585,-0.0009541361480520957,0.44356435643564357,-0.04715972208080739,-0.19507841583027005,-0.04715972208080739,68.03227765650038,0.39702970297029705,0.2722772277227723,0.3306930693069307,60,4.0,5.0
delayed_confirm_1bar,long,1286,1607,-0.00024236627756901884,-0.0010310830847745764,0.45023328149300157,-0.005186866594078896,-0.19371480091808474,-0.005186866594078896,50.07496865927369,0.4082426127527216,0.3265940902021773,0.2651632970451011,120,4.0,5.0
delayed_confirm_1bar,short,1093,1309,-0.000872017410653132,-0.0019083402637520234,0.3989021043000915,-0.1033637927442108,-0.9999999999999555,-0.1033637927442108,114.98412138457758,0.5077767612076852,0.3275388838060384,0.16468435498627632,120,4.0,5.0
momentum_followthrough_3bar,long,927,1966,-0.00031689815966026073,0.0003454006959646241,0.5447680690399137,-0.0495016688617697,0.08388335956112376,-0.0495016688617697,49.52520312446072,0.1186623516720604,0.40668824163969797,0.4746494066882416,15,4.0,1.5
momentum_followthrough_3bar,short,823,1579,-0.0005448805514275998,0.0003701020030659129,0.5407047387606319,-0.069192024839098,0.0843378567667498,-0.069192024839098,55.945036442577596,0.13001215066828675,0.43863912515188336,0.4313487241798299,15,4.0,1.5
avoid_stop_first_profile,long,1103,1790,-0.0003591874555284856,0.0007694749591890019,0.5258386219401632,-0.04531947905535125,0.13613608902903013,-0.04531947905535125,60.042879109315265,0.37080689029918407,0.45602901178603805,0.17316409791477788,120,4.0,3.0
avoid_stop_first_profile,short,1010,1392,-0.0007734773547734727,0.0004944915186411786,0.5089108910891089,-0.07939792433604273,0.07462694402363984,-0.07939792433604273,83.19190357940317,0.41386138613861384,0.4762376237623762,0.1099009900990099,120,4.0,3.0
