policy_name,hour,entry_count,skipped_count,avg_return,median_return,win_rate,avg_r,median_r,expectancy_r,max_drawdown_r_est,stop_first_rate,tp_first_rate,horizon_exit_rate,best_horizon,best_stop_atr,best_tp_atr
skip_large_breakout_gt_1atr,0,284,43,-0.00044729971255653116,-0.0012092994078492796,0.4507042253521127,0.023890347886649267,-0.20881035184038482,0.023890347886649267,17.77052560346194,0.4154929577464789,0.35563380281690143,0.22887323943661972,120,4.0,5.0
skip_large_breakout_gt_1atr,1,283,28,0.0003253513781656038,-0.0009698307841146832,0.48056537102473496,0.03705897168850839,-0.11112137695564066,0.03705897168850839,13.98560434095699,0.3992932862190813,0.3392226148409894,0.26148409893992935,120,4.0,5.0
skip_large_breakout_gt_1atr,2,260,28,0.00020751156669149696,-0.000893119701831858,0.4653846153846154,0.009129547960635637,-0.20090728049544637,0.009129547960635637,28.06944584951541,0.38846153846153847,0.31153846153846154,0.3,120,4.0,5.0
skip_large_breakout_gt_1atr,3,269,35,-0.00020238467102749085,-0.0012258613325735232,0.4349442379182156,-0.025858524374670823,-0.22775742998566934,-0.025858524374670823,35.179055143276415,0.38661710037174724,0.3048327137546468,0.30855018587360594,120,4.0,5.0
skip_large_breakout_gt_1atr,4,269,30,-0.0007982206934567519,-0.0016740572246431446,0.39776951672862454,-0.11565797197347509,-0.5685518670064912,-0.11565797197347509,44.01288261500139,0.45353159851301117,0.2788104089219331,0.26765799256505574,120,4.0,5.0
skip_large_breakout_gt_1atr,5,284,38,-0.0004464799391186812,-0.0015190583369025417,0.4119718309859155,-0.09857304144534007,-0.5017572925708211,-0.09857304144534007,29.270368145555082,0.4612676056338028,0.2992957746478873,0.23943661971830985,120,4.0,5.0
skip_large_breakout_gt_1atr,6,277,35,0.0006033826865632051,0.0002500114025470019,0.5126353790613718,0.10059755247392685,0.04653596457493488,0.10059755247392685,11.442024326059562,0.3935018050541516,0.3862815884476534,0.22021660649819494,120,4.0,5.0
skip_large_breakout_gt_1atr,7,273,35,0.00016780275742268725,-0.00043900468857007395,0.48717948717948717,0.07859241912104388,-0.06616771266589254,0.07859241912104388,12.26824239772904,0.4175824175824176,0.3992673992673993,0.18315018315018314,120,4.0,5.0
skip_large_breakout_gt_1atr,8,282,34,-0.0004055817300242181,-0.0017276089222762712,0.425531914893617,-0.06623701317452901,-0.5354376985591929,-0.06623701317452901,29.31575585297368,0.4645390070921986,0.31560283687943264,0.2198581560283688,120,4.0,5.0
skip_large_breakout_gt_1atr,9,254,34,-0.0004532337704791456,-0.0016285909794727963,0.421259842519685,-0.061941737679479164,-0.41762878028917727,-0.061941737679479164,25.792972049789775,0.42913385826771655,0.30708661417322836,0.2637795275590551,120,4.0,5.0
skip_large_breakout_gt_1atr,10,249,33,-0.0001178069467336057,-8.050847457627118e-05,0.4979919678714859,0.060376921347280336,-0.015271953074142818,0.060376921347280336,13.019308252170632,0.3614457831325301,0.3253012048192771,0.3132530120481928,120,4.0,5.0
