month,btc_ret_pct,btc_vol_d,btc_er,btc_dev_ma50_pct,btc_max_consec_days,btc_newext_share,btc_autocorr1,btc_drive,port_pf,port_net,port_stop_pct,pf_BTC,stop_BTC,pf_ETH,stop_ETH,pf_SOL,stop_SOL,pf_LINK,stop_LINK,pf_DOGE,stop_DOGE
2023-01,39.61966761679307,2.5117940494767113,0.7099018578832904,,11,0.03225806451612903,0.2317567437186753,2.8329959496468384,3.502365586544894,38256.9721,59.905660377358494,1.241933399037983,55.319148936170215,2.432160384147411,51.515151515151516,4.282540117338511,45.13888888888889,0.9484497333705743,66.34615384615384,1.0760906811044328,70.24793388429752
2023-02,2.314027294993881,2.5593667443290293,0.04471889896841326,9.191899313324699,8,0.03571428571428571,0.04817103950905072,0.17086650614244475,1.0886207563048715,550.0165,64.46280991735537,1.9291632314235267,48.0,1.7410000502700644,54.48275862068965,0.02006214018937523,83.33333333333334,0.8213123533641219,69.84924623115577,1.1286781754135795,72.77777777777777
2023-03,20.12689713322091,4.469743991009477,0.23171305846094103,7.495589993822669,5,0.03225806451612903,0.2529278927734576,0.8087482069991124,1.2493774428370275,1876.7785000000003,61.45552560646901,1.388364977736911,56.80473372781065,1.813451602836725,54.21686746987952,1.6315215112071122,66.66666666666666,0.772344171856696,70.83333333333334,1.0542893428104645,62.20095693779905
2023-04,4.394083952668804,2.5264651931986672,0.09403370778051531,10.262307303970623,4,0.03333333333333333,-0.15594921304830264,0.31753704832707136,1.1322369874901794,1008.8388999999993,57.78145695364238,1.73498655767783,44.881889763779526,1.1440504962717821,62.39316239316239,0.8084756225831029,52.63157894736842,0.764565592446451,64.95726495726495,1.4028016279699096,59.375
2023-05,-4.486501451723967,1.993515109649321,0.10203916883284626,-3.443965859690059,3,0.0,-0.19201061873939335,0.4042103540525436,1.77301642667396,1425.6734999999999,53.23741007194245,1.762896867205848,41.37931034482759,1.0824753634698434,56.99999999999999,,,0.8483559961944565,60.86956521739131,3.387889662804023,60.29411764705882
2023-06,11.760157902366664,2.9461217613365127,0.21261525227816444,1.2609770464780872,3,0.06666666666666667,-0.1065783496996282,0.7287890414082039,1.7037889990405846,1830.0859,56.15141955835961,2.0765462380251902,45.348837209302324,1.963096077257413,53.77358490566038,13.185176399267254,66.66666666666666,0.9830335030188867,54.54545454545454,1.262315477495463,75.0
2023-07,-4.315153418589512,1.6059612726623769,0.14336333202904242,5.630680606982306,5,0.0,-0.3530947257965045,0.48259223072845164,1.9363695597349386,6546.9762,56.54885654885655,2.309099006295111,47.91666666666667,2.730658324550607,47.32142857142857,1.8236720322262623,53.06122448979592,0.7717893050326385,68.14159292035397,2.091004911940706,63.06306306306306
2023-08,-7.037525642176801,1.8696692321853798,0.22529574350469875,-5.504678472973137,4,0.06451612903225806,0.1744663087452024,0.6760430651184897,0.8141971847814597,-274.93250000000006,59.45945945945946,4.027792433576477,60.0,1.1369124802111836,60.86956521739131,inf,0.0,0.5333744716465635,60.0,0.38811794483088113,59.523809523809526
2023-09,4.586946246057755,1.5874492484806404,0.16763185840707925,-4.141655229237506,4,0.0,-0.16646002404946691,0.5275494489947918,0.7792601446002516,-179.2203,64.42307692307693,0.0,100.0,0.3883266561086035,66.66666666666666,,,0.8488229022038463,63.74999999999999,1.3543345394028496,50.0
2023-10,26.25734958223427,2.297623430882147,0.4957225722989609,9.58796312575786,5,0.0967741935483871,0.2585312073616002,2.0525379131989254,1.0432994858315416,166.7343000000001,61.52073732718893,1.5196123633444238,54.347826086956516,0.8245845210001762,62.96296296296296,6.393179054341905,33.33333333333333,0.9707125157948298,64.87603305785123,0.9529097212133331,58.75
2023-11,9.732670234952657,1.5897054423747807,0.26787248219776244,16.465650270227517,3,0.03333333333333333,-0.05553343797514177,1.1177758449974766,0.846503310725304,-2194.5241,67.06281833616299,0.9826125521874568,60.43956043956044,0.5600893704586456,73.45132743362832,0.9471970983790258,64.85355648535564,0.9391491167133112,69.14414414414415,0.6053356686556647,65.29209621993127
2023-12,10.570219058677743,1.918915256769001,0.224445795787495,12.30554359912878,6,0.0967741935483871,0.28077848223304575,0.9893440472819827,0.9243566965894554,-867.9099999999997,67.43878226340172,1.255590101958132,61.48648648648649,0.7991507711496879,67.0103092783505,1.1297363525521715,65.29968454258676,0.7845730745025382,70.65868263473054,0.8351995836223425,67.52136752136752
2024-01,1.3300028740399261,2.6592246178153003,0.020191700544168373,1.674706140362646,5,0.03225806451612903,-0.27492261398923185,0.08982902996914532,0.8677580771919251,-1794.2950000000003,66.41366223908919,0.8269857564389699,63.26530612244898,0.5183468969321368,69.43231441048034,0.8094900416838914,67.35751295336787,0.8804424473751402,67.52475247524752,1.1810255104269056,62.64150943396226
2024-02,47.698553833704985,2.660493313610373,0.6887044295156128,12.319985126971723,6,0.2413793103448276,0.24667294112603527,3.3292318531281673,1.0652751698632066,579.5579,68.47905951506246,1.1899767888333048,64.1711229946524,1.0375583489767635,67.14285714285714,0.8352200440734258,70.55555555555556,0.8090000987614943,69.31330472103005,2.1107788359097635,68.11594202898551
2024-03,14.847819030328546,2.7651723986056753,0.2200335035908792,25.138228327020258,5,0.06451612903225806,-0.10000802062764605,0.9644053378826395,1.908600068677775,21286.379299999997,61.97516262566529,1.4769037424657165,57.50798722044729,1.408706747979563,61.61616161616161,1.9791397561760313,66.53992395437263,1.8392538520803465,61.79245283018868,2.149407726166214,62.944162436548226
2024-04,-10.934505494505498,2.5368443409582784,0.19254068669439317,-0.17922751868834297,6,0.0,0.1259535983188972,0.7869455787792513,1.6092111709098038,13515.2978,61.05263157894737,1.1431685639581843,59.133126934984524,1.6810002428482789,57.92880258899677,1.8750730166593423,69.23076923076923,2.0824020189122887,59.815242494226325,1.3463874161936442,61.038961038961034
2024-05,18.18188210270968,2.473261202096857,0.30101800275890894,-0.0723221201833682,4,0.03225806451612903,-0.0780635163140426,1.3203467647104181,0.8778833292775533,-1782.9718999999998,67.26410121244069,1.073511596115237,63.80368098159509,0.8709627450149748,62.738853503184714,1.019857048382229,71.8562874251497,0.9212539883821603,68.01705756929638,0.7043399030876574,68.72246696035242
2024-06,-8.821143916618034,2.1428023657256006,0.2142526508423491,0.15073646627719928,5,0.03333333333333333,-0.46959262966541593,0.7515920247572779,1.1188903520785198,1084.0668999999998,66.25295508274232,1.0376332551619036,64.31718061674009,1.1088693498381028,65.0485436893204,1.3736554955599094,71.7948717948718,1.0563802618878797,66.00441501103754,1.0084177005620054,64.19437340153452
2024-07,5.15316936549326,2.6016904403324617,0.08280935773744365,-2.53918645614982,5,0.06451612903225806,0.06208039928146508,0.35574429837481725,0.7888476082859871,-3596.2218999999996,68.53818917551845,0.7967708209225681,65.3409090909091,0.8339930539434584,69.02654867256636,0.6656925393918317,70.50561797752809,0.8337006331338886,69.05263157894737,0.8914743441462246,68.57142857142857
2024-08,-6.435160890912517,3.015279306515661,0.10272743607848495,-3.3164950759202267,6,0.06451612903225806,-0.11686328756868299,0.38331076424850913,1.089922047452052,1524.0117999999998,67.11327649208283,1.124195653034539,61.834319526627226,0.8488161344036963,67.10097719869707,1.4798363183352015,71.37681159420289,0.9331712229145199,66.06217616580311,0.9039730934096661,70.1492537313433
2024-09,9.192030230161464,2.5141621082194248,0.1625331802637412,-0.026668256782497922,7,0.03333333333333333,-0.30176416447514454,0.6675096366922406,1.061080205493624,494.78819999999996,65.93639575971731,1.1352027060736303,59.106529209621996,0.9141573322243275,63.28125,1.5379304043800268,71.28378378378379,0.9278171204725745,67.03296703296702,0.8138527960098677,68.56187290969899
2024-10,12.787684585135484,2.103163147731355,0.25426020926452697,6.587778108726486,4,0.0,-0.20320702678114358,1.0920388913308228,1.1587225954415525,2055.1214999999993,66.22436670687576,0.9076364560187719,67.0,0.82559782614185,64.5418326693227,1.6490852468587334,68.19571865443424,1.3064971458078016,64.26426426426426,0.7730388830425343,66.66666666666666
2024-11,39.59525301740696,3.1865033391817947,0.45781655947157146,22.514172078349866,5,0.13333333333333333,-0.05577206062153108,2.2686532267819057,1.3220526053514428,6697.5891,64.5966709346991,1.2706873652248616,60.17316017316018,1.1029509213684554,64.48275862068965,1.6257511312578667,66.79841897233202,1.0922462897128602,66.60482374768088,1.3705010959028907,62.24899598393574
2024-12,-1.662522297667035,2.542930147787488,0.027825736003049432,11.109130069637803,4,0.0,-0.036616269638781854,0.11742273756852299,1.3377273059678132,6483.530999999999,66.3225806451613,1.1433538205795881,59.86159169550172,0.8282950677971082,64.01673640167364,2.103517807396299,67.3076923076923,0.8655047359446371,70.0554528650647,1.574495639938811,66.9683257918552
2025-01,11.650076334584746,2.1732775330019702,0.22754869928450255,2.1954592058583096,6,0.0,-0.10577239697980452,0.9627925779998294,1.6650435713290253,14584.5773,64.20454545454545,1.4660007921656055,55.55555555555556,2.09813818214362,58.54700854700855,2.2031445154007314,65.94982078853047,0.9312443799427769,69.73913043478261,1.4554376145446513,63.829787234042556
2025-02,-17.698258524433275,1.8223124997985938,0.5426323061212226,-3.5347310762341357,4,0.03571428571428571,0.05315838873721095,1.8353912836321447,1.7836743550751635,24700.576200000003,64.01590457256461,1.2953038397522627,55.91397849462365,1.1945389810499494,63.565891472868216,2.1108950308748113,61.82572614107884,0.8490575838569098,67.83505154639175,1.8898987564167937,68.29268292682927
2025-03,-1.6038996498288216,2.8979743729034437,0.023848982748551996,-9.043706187873852,4,0.0,-0.13747584688568606,0.09940352948653974,1.8619817842703146,14195.483400000001,64.84517304189436,1.8658381459633735,57.28813559322033,1.7789100469417196,53.84615384615385,2.719066453695178,67.3076923076923,0.886765039053368,69.37716262975778,2.0387407490944187,68.71508379888269
2025-04,10.301874167248748,2.210764415775707,0.22828394239573824,1.2878192923878828,3,0.06666666666666667,0.11216251942563753,0.8507719208971796,2.0060421351816333,14255.208200000001,64.22145328719722,1.1470720127651712,64.72491909385113,1.9533645730184344,51.098901098901095,2.7604985770300856,59.171597633136095,0.8050281878601901,67.4373795761079,3.0400818853175604,69.54887218045113
2025-05,7.950945240021023,1.8280191736247269,0.180541742508116,13.628120110124511,6,0.06451612903225806,0.13715513060618828,0.7811908878399347,1.9723145075120019,21619.3595,61.34085213032582,2.087650558816219,52.51572327044025,2.429226012519077,54.8936170212766,2.181175904493188,57.6530612244898,0.8876125403642322,67.27941176470588,2.2395210786751987,67.32673267326733
2025-06,2.828127106965228,1.6674021849573253,0.08394983222524442,2.5621665760147123,4,0.03333333333333333,0.05520415081256245,0.3096691420045381,2.6923508150000033,18235.9521,58.59598853868195,1.575374372615399,53.96825396825397,1.1854474419951084,61.86770428015564,4.19666161377866,60.416666666666664,1.5309933046900432,54.61847389558233,3.19956639425307,62.36933797909408
2025-07,11.552356797120368,1.4292316694693197,0.33664080127676,6.221462224812122,7,0.03225806451612903,-0.10150660902861416,1.4517342261512274,2.6124325463613594,17035.5843,49.63820549927641,1.8917654510581148,42.10526315789473,2.7266395570445674,39.57055214723926,2.728231593115998,59.3167701863354,1.794569789055431,45.30386740331492,3.1609298551543157,61.19402985074627
2025-08,-5.64858531504947,1.6244433674323253,0.1457107099599472,0.12170720615641553,4,0.0,9.900852861498495e-05,0.6245313883346141,2.4556112267492076,13628.642500000002,53.23901712583768,1.9207748113641772,44.21768707482993,1.7194371451585735,50.15673981191222,2.086619705027873,63.28125,1.8141892689819055,57.692307692307686,4.779766886208612,53.333333333333336
2025-09,4.072243507169615,1.3788678007886037,0.13069914207894298,-1.2561037956240189,4,0.0,-0.12919138279235767,0.5392007431157412,2.126407804611398,7556.721,50.62597809076682,1.4545330564316628,51.64179104477612,1.4875717942172912,52.312138728323696,2.3426976452499164,50.204081632653065,2.3735265423456644,41.66666666666667,3.101167887376451,52.27272727272727
2025-10,-5.200341005967601,2.339839698146098,0.0962181533685818,0.3297530192942415,6,0.03225806451612903,0.13035750958540457,0.3991764127085576,1.6617603021262426,7972.3603,56.32111251580278,1.4852409333816101,56.53266331658291,1.0612729869837014,61.33333333333333,2.323595088699045,53.082191780821915,1.9184906760900535,50.82872928176796,1.6562552965241277,54.78927203065134
2025-11,-16.935227633788752,2.2171580460552778,0.40551350552350485,-12.179544276436559,6,0.13333333333333333,0.1582681661663893,1.394548937398225,3.1122285139877,28472.206699999995,44.66824644549763,2.254100331916604,43.39080459770115,1.8925777614218688,51.329787234042556,1.6280757310174607,53.05555555555556,9.65449885400114,25.82781456953642,2.5781722729233723,46.688741721854306
2025-12,5.778301886792447,2.354752127152151,0.1369143419170246,-6.580272428297805,3,0.0,-0.4470624560585593,0.4407315927703939,1.9169605094376292,12604.291399999998,47.578947368421055,1.6447606027567128,51.15606936416185,1.559124695496471,50.61349693251533,1.946708037317171,44.94773519163763,2.8650143997592057,39.823008849557525,1.8847601470533322,48.75
2026-01,-6.620712714634369,1.9739900248259925,0.1461524363760523,1.2149157205644228,4,0.06451612903225806,0.13506769079485598,0.6023916492937877,2.6016839908003746,18921.602899999998,40.62015503875969,2.2809367669596563,40.23668639053255,2.4176143715917497,48.888888888888886,2.798717220785422,37.238493723849366,3.7627809023634726,32.04419889502763,2.544426899202585,37.7906976744186
