filter_name,policy_name,train_no_cost_net_pnl,validation_no_cost_net_pnl,oos_no_cost_net_pnl,oos_cost_net_pnl,oos_funding_adjusted_net_pnl,train_trade_count,validation_trade_count,oos_trade_count,oos_largest_symbol_pnl_share,oos_top_5pct_trade_pnl_contribution,old_stable_candidate_like,strict_stable_candidate_like,rejected_reasons
original_all,v3_4h_donchian_100_30_atr5,0.9109900000000002,-4.498789999999999,-5.799139999999998,-5.964576719999998,-6.295622282990852,71,57,42,1.0,-0.5841487994138841,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_100_30_atr5,-0.7631600000000007,-0.0124199999999999,0.0,0.0,,10,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_100_30_atr5,2.146490000000001,-4.484710000000001,-5.799139999999998,-5.964576719999998,-6.295622282990852,63,52,42,1.0,-0.5841487994138841,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_100_30_atr5,-0.7631600000000007,-0.0124199999999999,0.0,0.0,,10,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_100_30_atr5,0.9489900000000004,-4.498789999999999,-5.799139999999998,-5.964576719999998,-6.295622282990852,70,57,42,1.0,-0.5841487994138841,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_20_10_atr4,-1.683829999999995,-5.168019999999993,-6.612829999999996,-7.051841784999996,-7.464502732937506,245,152,120,1.0,-0.5664417072567662,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_20_10_atr4,0.6990100000000002,0.0,0.0,0.0,,21,0,0,,,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_20_10_atr4,1.5178500000000048,-4.878609999999995,-6.612829999999996,-7.051841784999996,-7.464502732937506,212,139,120,1.0,-0.5664417072567662,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_20_10_atr4,0.6990100000000002,0.0,0.0,0.0,,21,0,0,,,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_20_10_atr4,-0.2526799999999959,-5.168019999999993,-6.612829999999996,-7.051841784999996,-7.464502732937506,234,152,120,1.0,-0.5664417072567662,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_55_20_atr4,1.80319,-6.00159,-7.884110000000002,-8.172770215000002,-8.553745426013075,121,85,72,1.0,-0.3994249947231632,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly,v3_4h_donchian_55_20_atr4,-0.8474400000000004,-0.01115,0.0,0.0,,13,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_hostile_chop_overheated,v3_4h_donchian_55_20_atr4,3.868340000000002,-6.16051,-7.879340000000002,-8.167868360000005,-8.548735766766535,111,77,71,1.0,-0.39966470517406805,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
keep_trend_friendly_exclude_funding_overheated,v3_4h_donchian_55_20_atr4,-0.8474400000000004,-0.01115,0.0,0.0,,13,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
exclude_funding_overheated,v3_4h_donchian_55_20_atr4,1.8436199999999996,-6.00159,-7.884110000000002,-8.172770215000002,-8.553745426013075,119,85,72,1.0,-0.3994249947231632,False,False,validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;oos_cost_aware_net_pnl_negative;oos_funding_adjusted_net_pnl_negative;oos_largest_symbol_pnl_share_over_0p7
original_all,v3_4h_donchian_55_with_risk_filters,3.2237200000000015,-0.31977999999999973,1.2399699999999994,1.1679083449999994,1.0556702102893616,30,24,19,1.0,1.000314172770125,False,False,validation_no_cost_net_pnl_not_positive;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8
keep_trend_friendly,v3_4h_donchian_55_with_risk_filters,-0.18814999999999998,-0.01115,0.0,0.0,,3,1,0,,,False,False,train_no_cost_net_pnl_not_positive;validation_no_cost_net_pnl_not_positive;oos_no_cost_net_pnl_not_positive;train_ext_trade_count_under_10;validation_ext_trade_count_under_10;oos_ext_trade_count_under_10;oos_largest_symbol_pnl_share_over_0p7;oos_top_5pct_trade_pnl_contribution_over_0p8;oos_not_enough_active_symbols
