filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
original_all,v3_1d_ema_50_200_atr5,train_ext,69,69,0,0.0,2.867048760000003,2.867048760000003,0.0,False
original_all,v3_1d_ema_50_200_atr5,validation_ext,57,57,0,0.0,1.8245112800000043,1.8245112800000043,0.0,False
original_all,v3_1d_ema_50_200_atr5,oos_ext,36,36,0,0.0,1.5523690499999976,1.5523690499999976,0.0,False
keep_trend_friendly,v3_1d_ema_50_200_atr5,train_ext,69,5,64,0.927536231884058,2.867048760000003,0.9120547500000004,-1.9549940100000027,True
keep_trend_friendly,v3_1d_ema_50_200_atr5,validation_ext,57,1,56,0.9824561403508771,1.8245112800000043,1.3081157499999998,-0.5163955300000045,True
keep_trend_friendly,v3_1d_ema_50_200_atr5,oos_ext,36,0,36,1.0,1.5523690499999976,0.0,-1.5523690499999976,True
exclude_hostile_chop_overheated,v3_1d_ema_50_200_atr5,train_ext,69,65,4,0.057971014492753624,2.867048760000003,3.351907315000003,0.4848585550000002,True
exclude_hostile_chop_overheated,v3_1d_ema_50_200_atr5,validation_ext,57,53,4,0.07017543859649122,1.8245112800000043,2.5151490050000036,0.6906377249999993,True
exclude_hostile_chop_overheated,v3_1d_ema_50_200_atr5,oos_ext,36,36,0,0.0,1.5523690499999976,1.5523690499999976,0.0,False
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,train_ext,69,5,64,0.927536231884058,2.867048760000003,0.9120547500000004,-1.9549940100000027,True
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,validation_ext,57,1,56,0.9824561403508771,1.8245112800000043,1.3081157499999998,-0.5163955300000045,True
keep_trend_friendly_exclude_funding_overheated,v3_1d_ema_50_200_atr5,oos_ext,36,0,36,1.0,1.5523690499999976,0.0,-1.5523690499999976,True
exclude_funding_overheated,v3_1d_ema_50_200_atr5,train_ext,69,68,1,0.014492753623188406,2.867048760000003,2.8847057150000026,0.01765695499999964,True
exclude_funding_overheated,v3_1d_ema_50_200_atr5,validation_ext,57,57,0,0.0,1.8245112800000043,1.8245112800000043,0.0,False
exclude_funding_overheated,v3_1d_ema_50_200_atr5,oos_ext,36,36,0,0.0,1.5523690499999976,1.5523690499999976,0.0,False
trend_friendly_only,v3_1d_ema_50_200_atr5,train_ext,69,5,64,0.927536231884058,2.867048760000003,0.9120547500000004,-1.9549940100000027,True
trend_friendly_only,v3_1d_ema_50_200_atr5,validation_ext,57,1,56,0.9824561403508771,1.8245112800000043,1.3081157499999998,-0.5163955300000045,True
trend_friendly_only,v3_1d_ema_50_200_atr5,oos_ext,36,0,36,1.0,1.5523690499999976,0.0,-1.5523690499999976,True
