split,score_bucket,sample_count,early_trend_count,early_trend_rate,early_uptrend_count,early_downtrend_count,nontrend_count,nontrend_rate,direction_match_rate,avg_forward_return_4h,avg_forward_return_1d,avg_forward_return_3d,future_2atr_hit_rate,future_3atr_hit_rate,random_control_comparison
train_ext,random_control,2171,483,0.2224781206817135,252,231,17,0.00783049286043298,0.4554865424430642,0.0010637829977646908,0.005192509541321356,0.010147896980102912,0.4555143651529194,0.3002780352177943,0.0
train_ext,top10,1086,186,0.1712707182320442,141,45,4,0.003683241252302026,0.7258064516129032,0.004180283864122116,0.012963004946546427,0.029009543154192578,0.6620626151012892,0.47605893186003684,-0.05120740244966929
train_ext,top20,2171,356,0.16397973284200829,241,115,7,0.0032243205895900505,0.6123595505617978,0.004041905945945496,0.011061269331307211,0.024795335133641423,0.6181483187471212,0.43436204514048826,-0.05849838783970521
train_ext,top30,3256,571,0.17536855036855037,362,209,11,0.0033783783783783786,0.5551663747810858,0.003666687860697019,0.010623514060860874,0.02259510510751224,0.5801597051597052,0.406019656019656,-0.047109570313163124
train_ext,bottom30,3256,831,0.25522113022113024,314,517,23,0.007063882063882064,0.470517448856799,-0.000605426579473939,0.0006710348766722602,-0.00292725930074172,0.3716216216216216,0.22266584766584765,0.03274300953941675
validation_ext,random_control,1397,339,0.24266284896206156,208,131,15,0.010737294201861132,0.3805309734513274,0.0004674500587225828,0.0033279198285010568,0.001292610343934872,0.43951324266284897,0.3235504652827487,0.0
validation_ext,top10,679,92,0.13549337260677466,71,21,1,0.0014727540500736377,0.6521739130434783,0.005202951341231493,0.012023171545747835,0.01240732019178309,0.6377025036818851,0.4845360824742268,-0.1071694763552869
validation_ext,top20,1397,233,0.16678596993557623,160,73,4,0.002863278453829635,0.5965665236051502,0.00474544325867224,0.011258741875474156,0.012878952833364958,0.5962777380100215,0.44667143879742305,-0.07587687902648532
validation_ext,top30,2112,368,0.17424242424242425,241,127,7,0.0033143939393939395,0.5108695652173914,0.00418098687839952,0.01164967724777323,0.011083359122716891,0.5620265151515151,0.4247159090909091,-0.0684204247196373
validation_ext,bottom30,2388,805,0.3371021775544389,437,368,48,0.020100502512562814,0.453416149068323,-5.178586307289808e-05,-0.0011230796440436792,-0.0016599643337111213,0.3500837520938023,0.22445561139028475,0.09443932859237733
oos_ext,random_control,769,153,0.19895968790637192,61,92,11,0.014304291287386216,0.4444444444444444,0.0018625607976542524,0.005232246998027149,0.010478745165527511,0.4083224967490247,0.24577373211963588,0.0
oos_ext,top10,340,43,0.1264705882352941,21,22,0,0.0,0.46511627906976744,0.006284334283994178,0.010027276379962742,0.006265553570358373,0.5970588235294118,0.40588235294117647,-0.0724890996710778
oos_ext,top20,769,100,0.13003901170351106,46,54,2,0.002600780234070221,0.4,0.0040013078359976495,0.009549918810370735,0.01092946510708658,0.5539661898569571,0.36280884265279584,-0.06892067620286085
oos_ext,top30,1221,166,0.13595413595413594,76,90,7,0.005733005733005733,0.39759036144578314,0.0032637843362884494,0.008230263015408511,0.011266668007130692,0.5225225225225225,0.3357903357903358,-0.06300555195223598
oos_ext,bottom30,2170,548,0.25253456221198156,197,351,34,0.01566820276497696,0.5,4.305472762115572e-05,0.0027164121165288123,0.007263901915954171,0.3419354838709677,0.195852534562212,0.05357487430560964
