group,event_group,hold,split,trade_count,total_funding_adjusted_pnl,largest_symbol_pnl_share,largest_symbol_pnl_symbol,largest_symbol_event_share,largest_symbol_event_symbol,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count,concentration_pass
B,top20_score_events,hold_8h,train_ext,2171,8952.417899022863,0.5291843594237073,SOLUSDT_SWAP_OKX.GLOBAL,0.25564256103178257,BTCUSDT_SWAP_OKX.GLOBAL,1.028279166300859,9205.584813584117,109,False
B,top20_score_events,hold_8h,validation_ext,1397,7882.980130490139,0.4614519651395219,DOGEUSDT_SWAP_OKX.GLOBAL,0.25697924123120974,BTCUSDT_SWAP_OKX.GLOBAL,0.9510386357763904,7497.018669153732,70,False
C,top30_score_events,hold_1d,oos_ext,1206,7407.59831797765,0.5224738923728725,DOGEUSDT_SWAP_OKX.GLOBAL,0.24046434494195687,BTCUSDT_SWAP_OKX.GLOBAL,0.9024020251973924,6684.631723991828,61,False
C,top30_score_events,hold_1d,train_ext,3256,27537.729722824395,0.43762010633257337,SOLUSDT_SWAP_OKX.GLOBAL,0.23955773955773957,BTCUSDT_SWAP_OKX.GLOBAL,0.7509587618619576,20679.69941714144,163,True
C,top30_score_events,hold_1d,validation_ext,2112,20022.774404205033,0.3643764266007622,DOGEUSDT_SWAP_OKX.GLOBAL,0.234375,BTCUSDT_SWAP_OKX.GLOBAL,0.884691660332655,17713.98153212234,106,False
C,top30_score_events,hold_3d,oos_ext,1206,10885.347741749245,0.5625599420651629,DOGEUSDT_SWAP_OKX.GLOBAL,0.24046434494195687,BTCUSDT_SWAP_OKX.GLOBAL,0.9040012717440989,9840.368201918074,61,False
C,top30_score_events,hold_3d,train_ext,3256,65423.022998444125,0.3318009967596384,SOLUSDT_SWAP_OKX.GLOBAL,0.23955773955773957,BTCUSDT_SWAP_OKX.GLOBAL,0.5602226199629229,36651.45735008293,163,True
C,top30_score_events,hold_3d,validation_ext,2112,18316.480602994117,0.5506764216570559,DOGEUSDT_SWAP_OKX.GLOBAL,0.234375,BTCUSDT_SWAP_OKX.GLOBAL,1.3511997619540073,24749.224230600863,106,False
C,top30_score_events,hold_4h,oos_ext,1206,1461.4581204270537,0.46262699301498134,ETHUSDT_SWAP_OKX.GLOBAL,0.24046434494195687,BTCUSDT_SWAP_OKX.GLOBAL,2.862129489671686,4182.882384394421,61,False
C,top30_score_events,hold_4h,train_ext,3256,5255.604839420384,0.6489213224584943,SOLUSDT_SWAP_OKX.GLOBAL,0.23955773955773957,BTCUSDT_SWAP_OKX.GLOBAL,2.045906001789419,10752.473484003676,163,False
C,top30_score_events,hold_4h,validation_ext,2112,4523.193478428381,0.5588161016655535,DOGEUSDT_SWAP_OKX.GLOBAL,0.234375,BTCUSDT_SWAP_OKX.GLOBAL,1.8756397188943583,8483.8813443842,106,False
C,top30_score_events,hold_8h,oos_ext,1206,3601.373723333011,0.45793252057091116,DOGEUSDT_SWAP_OKX.GLOBAL,0.24046434494195687,BTCUSDT_SWAP_OKX.GLOBAL,1.359533562227494,4896.188446995421,61,False
C,top30_score_events,hold_8h,train_ext,3256,11289.31916651444,0.48100212255709296,SOLUSDT_SWAP_OKX.GLOBAL,0.23955773955773957,BTCUSDT_SWAP_OKX.GLOBAL,1.1779758776055254,13298.545652743722,163,False
C,top30_score_events,hold_8h,validation_ext,2112,10287.000338950624,0.4272355637402188,DOGEUSDT_SWAP_OKX.GLOBAL,0.234375,BTCUSDT_SWAP_OKX.GLOBAL,1.0898925702368845,11211.725239446596,106,False
D,random_score_matched_control,hold_1d,oos_ext,760,1009.5457993194484,0.8340689477499061,ETHUSDT_SWAP_OKX.GLOBAL,0.24078947368421053,SOLUSDT_SWAP_OKX.GLOBAL,4.046584543520185,4085.2124275018114,38,False
D,random_score_matched_control,hold_1d,train_ext,2171,5097.298705120221,0.2829031706331922,SOLUSDT_SWAP_OKX.GLOBAL,0.2164900967296177,SOLUSDT_SWAP_OKX.GLOBAL,2.689879683619591,13711.120228243313,109,False
D,random_score_matched_control,hold_1d,validation_ext,1397,4426.887593606543,0.5074399049251088,DOGEUSDT_SWAP_OKX.GLOBAL,0.21689334287759485,SOLUSDT_SWAP_OKX.GLOBAL,2.221752618827713,9835.449104351246,70,False
