group,event_group,hold,split,timeframe,trade_count,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl,avg_gross_return,win_rate
A,top10_score_events,hold_1d,oos_ext,1d,34,984.561917911597,916.561917911597,-4.385491761663401,912.1764261499336,0.02895770346798815,0.6764705882352942
A,top10_score_events,hold_1d,oos_ext,4h,305,2453.4936119379513,1843.4936119379513,-42.117939386202,1801.375672551749,0.008044241350616235,0.5934426229508196
A,top10_score_events,hold_1d,train_ext,1d,70,944.7614258406363,804.7614258406363,-26.371817203343703,778.3896086372926,0.013496591797723377,0.6142857142857143
A,top10_score_events,hold_1d,train_ext,4h,1016,13116.219568220062,11084.219568220062,-171.3095434449685,10912.910024775094,0.012909664929350457,0.5501968503937008
A,top10_score_events,hold_1d,validation_ext,1d,50,722.1886305997878,622.1886305997876,-4.1714593244255,618.0171712753623,0.014443772611995753,0.42
A,top10_score_events,hold_1d,validation_ext,4h,629,7449.207692420105,6191.207692420105,-104.56723324627711,6086.640459173827,0.011842937507822107,0.5818759936406995
A,top10_score_events,hold_3d,oos_ext,1d,34,1006.7783609929273,938.7783609929273,-10.1071877221503,928.6711732707772,0.02961112826449787,0.6176470588235294
A,top10_score_events,hold_3d,oos_ext,4h,305,1139.297610362918,529.2976103629185,-82.4148318793535,446.88277848356483,0.0037354020011898964,0.49836065573770494
A,top10_score_events,hold_3d,train_ext,1d,70,1697.939747319914,1557.939747319914,-68.88531664126779,1489.0544306786462,0.024256282104570197,0.6142857142857143
A,top10_score_events,hold_3d,train_ext,4h,1016,29799.33737278791,27767.33737278791,-516.3705498640008,27250.96682292391,0.02933005646927944,0.6525590551181102
A,top10_score_events,hold_3d,validation_ext,1d,50,1931.4050157939578,1831.4050157939578,-11.390893818915101,1820.014121975043,0.03862810031587916,0.56
A,top10_score_events,hold_3d,validation_ext,4h,629,6500.537210270429,5242.537210270428,-260.004869684585,4982.5323405858435,0.010334717345421985,0.5723370429252782
A,top10_score_events,hold_4h,oos_ext,1d,34,984.561917911597,916.561917911597,-4.385491761663401,912.1764261499336,0.02895770346798815,0.6764705882352942
A,top10_score_events,hold_4h,oos_ext,4h,305,1154.3717319027667,544.3717319027667,-14.673374384649698,529.698357518117,0.0037848253505008743,0.5180327868852459
A,top10_score_events,hold_4h,train_ext,1d,70,944.7614258406363,804.7614258406363,-26.371817203343703,778.3896086372926,0.013496591797723377,0.6142857142857143
A,top10_score_events,hold_4h,train_ext,4h,1016,3591.301181890153,1559.3011818901537,-29.3922982292291,1529.9088836609244,0.003534745257765899,0.4409448818897638
A,top10_score_events,hold_4h,validation_ext,1d,50,722.1886305997878,622.1886305997876,-4.1714593244255,618.0171712753623,0.014443772611995753,0.42
A,top10_score_events,hold_4h,validation_ext,4h,629,2839.520450715861,1581.520450715861,-26.084033324467697,1555.4364173913932,0.004514340939134914,0.4864864864864865
A,top10_score_events,hold_8h,oos_ext,1d,34,984.561917911597,916.561917911597,-4.385491761663401,912.1764261499336,0.02895770346798815,0.6764705882352942
A,top10_score_events,hold_8h,oos_ext,4h,305,2096.9897621940245,1486.9897621940245,-21.295762315154,1465.6939998788707,0.006875376269488605,0.5704918032786885
A,top10_score_events,hold_8h,train_ext,1d,70,944.7614258406363,804.7614258406363,-26.371817203343703,778.3896086372926,0.013496591797723377,0.6142857142857143
A,top10_score_events,hold_8h,train_ext,4h,1016,6439.60996967873,4407.60996967873,-52.8468487654139,4354.763120913316,0.006338198789053868,0.4921259842519685
A,top10_score_events,hold_8h,validation_ext,1d,50,722.1886305997878,622.1886305997876,-4.1714593244255,618.0171712753623,0.014443772611995753,0.42
A,top10_score_events,hold_8h,validation_ext,4h,629,4680.997484929126,3422.997484929126,-41.012430270882206,3381.985054658244,0.007441967384625003,0.5214626391096979
B,top20_score_events,hold_1d,oos_ext,1d,75,1540.1328986793083,1390.1328986793083,-14.044380391598702,1376.0885182877098,0.020535105315724115,0.6666666666666666
B,top20_score_events,hold_1d,oos_ext,4h,685,5725.49474544535,4355.49474544535,-92.6728979000077,4262.821847545343,0.008358386489701242,0.564963503649635
B,top20_score_events,hold_1d,train_ext,1d,179,1581.8192014200613,1223.8192014200613,-55.455093338900895,1168.3641080811608,0.008836978778883025,0.5642458100558659
B,top20_score_events,hold_1d,train_ext,4h,1992,22440.85657102219,18456.85657102219,-331.0407856241682,18125.815785398016,0.011265490246497083,0.5386546184738956
B,top20_score_events,hold_1d,validation_ext,1d,118,955.213721527576,719.213721527576,-11.289905368449501,707.9238161591268,0.00809503153836929,0.4661016949152542
B,top20_score_events,hold_1d,validation_ext,4h,1279,14781.714511442628,12223.714511442628,-224.08181759826448,11999.632693844364,0.011557243558594704,0.5691946833463644
B,top20_score_events,hold_3d,oos_ext,1d,75,2575.5863103724573,2425.5863103724573,-34.13144003355139,2391.4548703389055,0.0343411508049661,0.64
B,top20_score_events,hold_3d,oos_ext,4h,685,5757.014579292639,4387.014579292638,-181.52619588201154,4205.488383410626,0.008404400845682683,0.527007299270073
B,top20_score_events,hold_3d,train_ext,1d,179,3219.8452171907684,2861.8452171907684,-139.4473185520803,2722.397898638689,0.017987962107211,0.5642458100558659
B,top20_score_events,hold_3d,train_ext,4h,1992,50611.59774296729,46627.59774296729,-1005.623480796796,45621.97426217049,0.025407428585826952,0.6214859437751004
B,top20_score_events,hold_3d,validation_ext,1d,118,3062.0995770033846,2826.0995770033846,-30.419130592840204,2795.680446410544,0.02594999641528291,0.5423728813559322
B,top20_score_events,hold_3d,validation_ext,4h,1279,14920.263106043363,12362.263106043363,-549.6731115053116,11812.58999453805,0.011665569277594497,0.5527756059421423
B,top20_score_events,hold_4h,oos_ext,1d,75,1540.1328986793083,1390.1328986793083,-14.044380391598702,1376.0885182877098,0.020535105315724115,0.6666666666666666
B,top20_score_events,hold_4h,oos_ext,4h,685,1509.5018401838256,139.50184018382578,-33.9204328308385,105.58140735298724,0.002203652321436242,0.4744525547445255
