exit_variant,oracle,split,trade_count,largest_symbol_pnl_share,top_5pct_trade_pnl_contribution,top_5pct_trade_pnl,top_5pct_trade_count
atr_chandelier_3x,False,oos_ext,16399,0.5863705848304842,-0.5306417771449355,196732.10823777385,820
atr_chandelier_3x,False,train_ext,49486,1.0,-2.287781776201047,940502.0515574749,2475
atr_chandelier_3x,False,validation_ext,12787,1.0,-1.8145421450004333,277210.12200437573,640
atr_chandelier_5x,False,oos_ext,16399,1.0,-0.47938523771937547,247226.2621291239,820
atr_chandelier_5x,False,train_ext,49486,1.0,-1.2509138235662005,1230849.8505853429,2475
atr_chandelier_5x,False,validation_ext,12787,1.0,-1.2277692316126516,303714.3558077689,640
fixed_hold_longer_2x,False,oos_ext,16399,1.0,-0.6627028403371948,64937.1683651167,820
fixed_hold_longer_2x,False,train_ext,49486,0.6003503613039012,-1.0877283533166966,225744.8139990584,2475
fixed_hold_longer_2x,False,validation_ext,12787,1.0,-0.39931605174694523,61824.23096581631,640
fixed_hold_longer_4x,False,oos_ext,16399,1.0,-0.8438982081929531,82847.94444469729,820
fixed_hold_longer_4x,False,train_ext,49486,1.0,-1.6343894774915038,303608.05924204143,2475
fixed_hold_longer_4x,False,validation_ext,12787,1.0,-0.4686951829548605,75155.63845697249,640
oracle_hold_to_trend_end,True,oos_ext,16399,0.35870770718537526,2.5705113861285644,267887.3485667282,820
oracle_hold_to_trend_end,True,train_ext,49486,0.49530090335442617,1.7024624619194237,2296626.2696045344,2475
oracle_hold_to_trend_end,True,validation_ext,12787,0.772927671384333,3.650511710316379,298695.13748992776,640
original_exit,False,oos_ext,16399,1.0,-0.4959459493114071,49252.23658452366,820
original_exit,False,train_ext,49486,0.5902137774285366,-0.7221384279992749,161880.4109036478,2475
original_exit,False,validation_ext,12787,1.0,-0.31686175977936476,50287.43070809211,640
swing_trailing_exit,False,oos_ext,16399,0.3713181725875699,-1.3496888147820991,120585.31816123793,820
swing_trailing_exit,False,train_ext,49486,1.0,-0.9714550559917092,423721.3752282662,2475
swing_trailing_exit,False,validation_ext,12787,0.9775083952743269,-0.6790438346260441,111976.96174459624,640
time_stop_if_no_progress,False,oos_ext,16399,0.44399507731889315,-0.3466467618958886,49215.3060297536,820
time_stop_if_no_progress,False,train_ext,49486,0.5692709965800863,-0.4560947460273689,162474.86331599782,2475
time_stop_if_no_progress,False,validation_ext,12787,1.0,-0.28288170805668517,50442.13576363541,640
