feature,split,bucket,sample_count,early_trend_count,early_trend_rate,early_uptrend_count,early_downtrend_count,nontrend_count,nontrend_rate,direction_match_rate,avg_forward_return_4h,avg_forward_return_1d,avg_forward_return_3d,future_2atr_hit_rate,future_3atr_hit_rate,monotonicity_score,feature_predictiveness_score,train_validation_consistency,oos_consistency,train_bucket_boundary_low,train_bucket_boundary_high
trend_efficiency_20,train_ext,q0-q20,2149,556,0.2587249883666822,259,297,24,0.011167985109353188,0.5215827338129496,-0.0007166823474881507,-0.0016387321016545805,-0.004527299357486286,0.3457422056770591,0.2308050255932992,0.9099548883880262,0.09803565441232726,True,True,0.0,0.07235397925364748
trend_efficiency_20,train_ext,q20-q40,2148,534,0.24860335195530725,288,246,17,0.007914338919925512,0.5337078651685393,-0.000772087196181132,-0.00041566035032291655,-0.000456189877570675,0.3994413407821229,0.2532588454376164,0.9099548883880262,0.09803565441232726,True,True,0.07235397925364748,0.15185437709102978
trend_efficiency_20,train_ext,q40-q60,2148,515,0.23975791433891994,253,262,18,0.008379888268156424,0.42524271844660194,0.00040824891580514477,0.003996086759019338,0.0022972953414022875,0.41247672253258844,0.2648975791433892,0.9099548883880262,0.09803565441232726,True,True,0.15185437709102978,0.24426807760141117
trend_efficiency_20,train_ext,q60-q80,2149,474,0.22056770590972546,206,268,9,0.004187994416007445,0.29957805907172996,0.002218633671055053,0.007446010405015298,0.0147193691333355,0.50814332247557,0.33271288971614704,0.9099548883880262,0.09803565441232726,True,True,0.24426807760141117,0.3676646706586825
trend_efficiency_20,train_ext,q80-q100,2147,345,0.16068933395435492,216,129,1,0.0004657661853749418,0.5565217391304348,0.0054504700647044066,0.014832063184178498,0.03247278453678633,0.6176059618071728,0.4280391243595715,0.9099548883880262,0.09803565441232726,True,True,0.3676646706586825,0.9483753033502488
trend_efficiency_20,validation_ext,q0-q20,1538,386,0.25097529258777634,214,172,35,0.022756827048114433,0.5181347150259067,1.776756094455528e-05,6.550165249405368e-05,-0.002672053646325328,0.3764629388816645,0.24642392717815345,0.9099548883880262,0.09803565441232726,True,True,0.0,0.07235397925364748
trend_efficiency_20,validation_ext,q20-q40,1513,404,0.2670191672174488,219,185,13,0.008592200925313946,0.4381188118811881,-2.631355964128084e-05,-0.000982324515566071,0.00036569040846717296,0.41044282881692,0.29543952412425645,0.9099548883880262,0.09803565441232726,True,True,0.07235397925364748,0.15185437709102978
trend_efficiency_20,validation_ext,q40-q60,1462,428,0.292749658002736,239,189,17,0.011627906976744186,0.40420560747663553,0.00023335739438780893,0.0014984692609901575,-0.0017557697361118734,0.40834473324213405,0.3030095759233926,0.9099548883880262,0.09803565441232726,True,True,0.15185437709102978,0.24426807760141117
trend_efficiency_20,validation_ext,q60-q80,1422,403,0.28340365682137836,261,142,10,0.007032348804500703,0.3399503722084367,0.0023921857530715012,0.008490347861674465,0.009757278875003765,0.43248945147679324,0.32489451476793246,0.9099548883880262,0.09803565441232726,True,True,0.24426807760141117,0.3676646706586825
trend_efficiency_20,validation_ext,q80-q100,1602,255,0.15917602996254682,201,54,5,0.003121098626716604,0.5686274509803921,0.006110327219706134,0.017006286904844205,0.024328179579570335,0.5961298377028714,0.433832709113608,0.9099548883880262,0.09803565441232726,True,True,0.3676646706586825,0.9483753033502488
trend_efficiency_20,oos_ext,q0-q20,1253,273,0.21787709497206703,101,172,32,0.025538707102952914,0.608058608058608,-4.92056898965488e-05,0.000252077905930558,0.0022764069906833074,0.3224261771747805,0.18595371109337588,0.9099548883880262,0.09803565441232726,True,True,0.0,0.07235397925364748
trend_efficiency_20,oos_ext,q20-q40,1164,238,0.20446735395189003,93,145,15,0.01288659793814433,0.4789915966386555,-0.0006177026152295392,0.0011250940609834857,0.007831397598350163,0.3324742268041237,0.19415807560137457,0.9099548883880262,0.09803565441232726,True,True,0.07235397925364748,0.15185437709102978
trend_efficiency_20,oos_ext,q40-q60,1160,241,0.20775862068965517,87,154,9,0.007758620689655172,0.36099585062240663,0.0020515378369288075,0.004423351461579002,0.005587588341443227,0.3775862068965517,0.2413793103448276,0.9099548883880262,0.09803565441232726,True,True,0.15185437709102978,0.24426807760141117
trend_efficiency_20,oos_ext,q60-q80,1116,252,0.22580645161290322,116,136,6,0.005376344086021506,0.34523809523809523,0.0012613920166791785,0.009690481776623657,0.01287747446652288,0.4632616487455197,0.2867383512544803,0.9099548883880262,0.09803565441232726,True,True,0.24426807760141117,0.3676646706586825
trend_efficiency_20,oos_ext,q80-q100,951,106,0.11146161934805468,43,63,0,0.0,0.4528301886792453,0.004231404406533398,0.008420607570488611,0.017315139560396473,0.5394321766561514,0.31019978969505785,0.9099548883880262,0.09803565441232726,True,True,0.3676646706586825,0.9483753033502488
trend_efficiency_55,train_ext,q0-q20,2101,461,0.21941932413136603,222,239,22,0.010471204188481676,0.5119305856832972,-0.0005393662291696478,0.00015271936926843855,-0.00408013851983925,0.39124226558781533,0.2560685387910519,0.5704179233477621,0.0574793118767693,True,False,0.0,0.043354308014060094
trend_efficiency_55,train_ext,q20-q40,2101,479,0.22798667301285103,255,224,11,0.005235602094240838,0.5135699373695198,0.0011956315283538966,0.004252198275257027,0.005378045941623167,0.42741551642075204,0.2879581151832461,0.5704179233477621,0.0574793118767693,True,False,0.043354308014060094,0.09210901714990659
trend_efficiency_55,train_ext,q40-q60,2102,496,0.23596574690770694,240,256,19,0.009039010466222646,0.4899193548387097,0.0018258356798146237,0.005443674363359661,0.012307767193489182,0.4809705042816365,0.3082778306374881,0.5704179233477621,0.0574793118767693,True,False,0.09210901714990659,0.15428398467590937
trend_efficiency_55,train_ext,q60-q80,2100,478,0.2276190476190476,236,242,10,0.004761904761904762,0.40585774058577406,0.0012668664434186828,0.00863603084665216,0.013875671944254294,0.4980952380952381,0.3342857142857143,0.5704179233477621,0.0574793118767693,True,False,0.15428398467590937,0.24381915603603088
trend_efficiency_55,train_ext,q80-q100,2101,375,0.17848643503093764,168,207,7,0.0033317467872441696,0.32,0.003503631935470967,0.007922667553871516,0.019296831369500774,0.5016658733936221,0.32746311280342694,0.5704179233477621,0.0574793118767693,True,False,0.24381915603603088,0.6713798574646943
trend_efficiency_55,validation_ext,q0-q20,1482,344,0.2321187584345479,221,123,28,0.018893387314439947,0.49709302325581395,0.0012771686193020603,0.0034641289312633333,0.0030855710363263153,0.44804318488529016,0.3252361673414305,0.5704179233477621,0.0574793118767693,True,False,0.0,0.043354308014060094
trend_efficiency_55,validation_ext,q20-q40,1442,332,0.2302357836338419,203,129,11,0.0076282940360610264,0.5180722891566265,0.0008260375605787286,0.0019450091887438735,-0.00034047195705533056,0.43966712898751736,0.31622746185852985,0.5704179233477621,0.0574793118767693,True,False,0.043354308014060094,0.09210901714990659
trend_efficiency_55,validation_ext,q40-q60,1635,453,0.27706422018348625,280,173,19,0.011620795107033639,0.4768211920529801,0.0015265487728409917,0.004222314236055757,0.001307504834975926,0.44403669724770645,0.3180428134556575,0.5704179233477621,0.0574793118767693,True,False,0.09210901714990659,0.15428398467590937
trend_efficiency_55,validation_ext,q60-q80,1841,504,0.2737642585551331,271,233,8,0.0043454644215100485,0.3968253968253968,0.002323370669313827,0.007026260600249308,0.011672525060862884,0.4736556219445953,0.3449212384573601,0.5704179233477621,0.0574793118767693,True,False,0.15428398467590937,0.24381915603603088
trend_efficiency_55,validation_ext,q80-q100,1137,243,0.21372031662269128,159,84,14,0.012313104661389622,0.3004115226337449,0.0032207319687470445,0.010857714179949376,0.016725228862355255,0.41424802110817943,0.2928759894459103,0.5704179233477621,0.0574793118767693,True,False,0.24381915603603088,0.6713798574646943
trend_efficiency_55,oos_ext,q0-q20,1120,189,0.16875,71,118,5,0.004464285714285714,0.47619047619047616,-0.0006980470657386952,0.0007879027088817644,0.0001123641948894357,0.4,0.22857142857142856,0.5704179233477621,0.0574793118767693,True,False,0.0,0.043354308014060094
trend_efficiency_55,oos_ext,q20-q40,1094,240,0.21937842778793418,75,165,8,0.007312614259597806,0.55,0.00048263608256824526,0.006318124281217263,0.008290528127488346,0.3702010968921389,0.23491773308957953,0.5704179233477621,0.0574793118767693,True,False,0.043354308014060094,0.09210901714990659
