group,event_group,hold,split,event_count,trade_count,early_trend_rate,early_uptrend_rate,early_downtrend_rate,nontrend_rate,direction_match_rate,future_2atr_hit_rate,future_3atr_hit_rate,avg_forward_return_3d,no_cost_pnl,cost_aware_pnl,funding_pnl,funding_adjusted_pnl
A,top10_score_events,hold_4h,oos_ext,339,339,0.12684365781710916,0.061946902654867256,0.06489675516224189,0.0,0.46511627906976744,0.5988200589970502,0.40707964601769914,0.0062655535703583735,2138.933649814364,1460.9336498143637,-19.0588661463131,1441.8747836680507
A,top10_score_events,hold_8h,oos_ext,339,339,0.12684365781710916,0.061946902654867256,0.06489675516224189,0.0,0.46511627906976744,0.5988200589970502,0.40707964601769914,0.0062655535703583735,3081.5516801056215,2403.551680105622,-25.681254076817403,2377.870426028804
A,top10_score_events,hold_1d,oos_ext,339,339,0.12684365781710916,0.061946902654867256,0.06489675516224189,0.0,0.46511627906976744,0.5988200589970502,0.40707964601769914,0.0062655535703583735,3438.0555298495483,2760.0555298495483,-46.5034311478654,2713.552098701683
A,top10_score_events,hold_3d,oos_ext,339,339,0.12684365781710916,0.061946902654867256,0.06489675516224189,0.0,0.46511627906976744,0.5988200589970502,0.40707964601769914,0.0062655535703583735,2146.0759713558455,1468.075971355846,-92.52201960150381,1375.5539517543425
A,top10_score_events,hold_4h,train_ext,1086,1086,0.1712707182320442,0.1298342541436464,0.04143646408839779,0.003683241252302026,0.7258064516129032,0.6620626151012892,0.47605893186003684,0.029009543154192578,4536.06260773079,2364.0626077307898,-55.7641154325728,2308.298492298217
A,top10_score_events,hold_8h,train_ext,1086,1086,0.1712707182320442,0.1298342541436464,0.04143646408839779,0.003683241252302026,0.7258064516129032,0.6620626151012892,0.47605893186003684,0.029009543154192578,7384.371395519367,5212.371395519367,-79.21866596875762,5133.152729550609
A,top10_score_events,hold_1d,train_ext,1086,1086,0.1712707182320442,0.1298342541436464,0.04143646408839779,0.003683241252302026,0.7258064516129032,0.6620626151012892,0.47605893186003684,0.029009543154192578,14060.9809940607,11888.9809940607,-197.68136064831222,11691.299633412387
A,top10_score_events,hold_3d,train_ext,1086,1086,0.1712707182320442,0.1298342541436464,0.04143646408839779,0.003683241252302026,0.7258064516129032,0.6620626151012892,0.47605893186003684,0.029009543154192578,31497.27712010782,29325.27712010782,-585.2558665052685,28740.021253602557
A,top10_score_events,hold_4h,validation_ext,679,679,0.13549337260677466,0.10456553755522828,0.030927835051546393,0.0014727540500736377,0.6521739130434783,0.6377025036818851,0.4845360824742268,0.012407320191783089,3561.7090813156483,2203.7090813156483,-30.2554926488932,2173.4535886667554
A,top10_score_events,hold_8h,validation_ext,679,679,0.13549337260677466,0.10456553755522828,0.030927835051546393,0.0014727540500736377,0.6521739130434783,0.6377025036818851,0.4845360824742268,0.012407320191783089,5403.186115528913,4045.1861155289143,-45.183889595307704,4000.0022259336065
