date,BTC_atr_q_med,BTC_move_pct,BTC_range_pct,ETH_atr_q_med,ETH_move_pct,ETH_range_pct,SOL_atr_q_med,SOL_move_pct,SOL_range_pct,LINK_atr_q_med,LINK_move_pct,LINK_range_pct,DOGE_atr_q_med,DOGE_move_pct,DOGE_range_pct,mean_pair_corr,min_atr_q,max_atr_q,max_abs_move,flat_pnl,v2b_pnl,stop_exits,entries
2023-01-01,0.012640578812061935,-0.19527953904384038,1.1728826635164697,0.02307041710979174,-0.5436725328988357,1.3167848503237858,0.05013105336761098,-2.469010363747209,15.931721194879103,0.04232856293492551,0.19688562734920567,1.718274565956687,0.1720253397757438,-1.2811438278595544,8.081823329558333,0.36339160131219295,0.012640578812061935,0.1720253397757438,2.469010363747209,-239.6441178999956,,37,49
2023-01-02,0.02158821608313724,1.074937647577465,1.4312372049205573,0.0401659730189169,1.8732133005667353,4.176070347894415,0.3184848053459725,-11.654646179575627,77.72551479042541,0.05289029200197627,1.8588025022341395,3.3601429848078594,0.13609871291357178,3.799283154121863,6.695340501792105,0.40952852257863903,0.02158821608313724,0.3184848053459725,11.654646179575627,-217.77709607999907,,38,58
2023-01-03,0.019325137961931717,-0.3393658399603233,1.5396932562988854,0.041832402421765745,-0.5669697069152321,1.4014243985690316,0.45400571107966203,26.18005441854964,83.20123033242636,0.07190559133121749,-1.1578947368421024,2.859649122807022,0.1627259937864793,-1.961596905649939,7.680618870009664,0.3567140289158681,0.019325137961931717,0.45400571107966203,26.18005441854964,4165.664911740006,,25,51
2023-01-04,0.02933418190039944,1.0353530811795995,2.137851237687563,0.07365576090506376,3.6043767431881624,6.595646361790972,0.6326172153043537,-11.39097744360902,66.73872180451129,0.11846093939723826,3.196022727272738,4.776278409090912,0.21938459348333988,2.000845427645471,5.128927715936317,0.38209623379480995,0.02933418190039944,0.6326172153043537,11.39097744360902,5896.530166200001,,30,55
2023-01-05,0.01676478223368532,-0.040941293744890965,1.3736100727449654,0.07432777577731814,-0.5112482580131454,4.731037228747749,0.41924516609862916,-4.388015299617512,69.66638334041649,0.0983256152809064,-1.6006884681583473,3.270223752151455,0.3134457405562022,0.020721094073768646,5.173366487083849,0.3758574606381025,0.01676478223368532,0.41924516609862916,4.388015299617512,1110.916940420003,,36,55
2023-01-06,0.011296549067553195,-0.009497690873919239,1.044745996129691,0.057661388244554794,1.0437678096884677,2.5213716261646337,0.5546320875587227,18.36870763418156,75.40837870874542,0.09383295510689432,-1.1369599440265787,4.232989330068217,0.21554929365165765,-1.3534042259356562,4.7300096671730385,0.42955012247176755,0.011296549067553195,0.5546320875587227,18.36870763418156,4708.053081380005,,29,53
2023-01-07,0.020219064287329273,0.5782234174547354,1.5809126906385942,0.0522182771297219,0.1750536646415389,2.061039074195821,0.4764941340010216,4.279131007241607,53.17408069218471,0.06200122260649656,2.901627742392068,3.3616418966737505,0.09304789100379343,1.1339773204535983,2.421951560968794,0.3520240665859352,0.020219064287329273,0.4764941340010216,4.279131007241607,4341.453408000003,,28,48
2023-01-08,0.00239706239480141,0.3340790102761888,0.8109974560414676,0.027048075232169625,0.7583005843421539,1.4596693208505012,0.3528915481045412,10.930735930735946,40.809884559884566,0.050375993367778454,0.6190885640584624,2.1496130696474633,0.04780726362243232,0.2630121816168269,1.9795127353266897,0.31897564473986106,0.00239706239480141,0.3528915481045412,10.930735930735946,3335.9747790600045,,37,63
2023-01-09,0.05094542653056097,1.6076754295664,3.475943693124005,0.2149547384375759,4.797476499113311,9.496869164011862,0.2968777477243608,38.98373983739836,98.52032520325201,0.19926601740120753,6.033156725346091,7.622628610493944,0.3718817253824832,7.937603533959125,10.229155162893429,0.21288764302725074,0.05094542653056097,0.3718817253824832,38.98373983739836,2998.6048946799992,,39,61
2023-01-10,0.06497818568545516,0.28948754914051145,2.30779474174817,0.16951732165437083,-3.9945790529815146,187.579741831142,0.3314917474061482,-71.68762796139222,78.350394852296,0.267981108217423,-1.0475423045930763,4.593070104754233,0.4586553840742943,-1.9570222563315471,7.553082629828592,0.32091366084215395,0.06497818568545516,0.4586553840742943,71.68762796139222,2398.8454857400025,,39,54
