weekday,weekday_name,entry_count,future_return_5m_mean,future_return_5m_median,mfe_5m_mean,mfe_5m_median,mae_5m_mean,mae_5m_median,future_return_5m_positive_rate,future_return_15m_mean,future_return_15m_median,mfe_15m_mean,mfe_15m_median,mae_15m_mean,mae_15m_median,future_return_15m_positive_rate,future_return_30m_mean,future_return_30m_median,mfe_30m_mean,mfe_30m_median,mae_30m_mean,mae_30m_median,future_return_30m_positive_rate,future_return_60m_mean,future_return_60m_median,mfe_60m_mean,mfe_60m_median,mae_60m_mean,mae_60m_median,future_return_60m_positive_rate,future_return_120m_mean,future_return_120m_median,mfe_120m_mean,mfe_120m_median,mae_120m_mean,mae_120m_median,future_return_120m_positive_rate,mfe_atr_median,mfe_atr_mean,mae_atr_median,mae_atr_mean,take_profit_first_rate,stop_first_rate
0,Monday,260,-0.0013845171816592302,-0.0002677084572008298,0.0023177378225671752,0.0009660970891845244,0.0033423955874465573,0.001371548107248478,0.41923076923076924,-0.0012499254331858436,-0.00026326582121807645,0.003703186443618806,0.0018305402276016759,0.004604173339900845,0.0024270771240824498,0.4346153846153846,-0.0011757051368389477,-0.0005261054169697056,0.005722195515427822,0.002922763243789317,0.005912296114344762,0.0030088818317944976,0.45384615384615384,-0.0011226318995206826,-0.0003783441938691835,0.007641073992499696,0.0045026502234071526,0.007698470033135377,0.004094407090675531,0.46153846153846156,-0.0003886022700082705,-0.00043356390552667283,0.01093394647078746,0.00771420084921084,0.009824063545734313,0.0061388733282666825,0.47692307692307695,6.2029750265387715,9.22058291121403,5.1457963015681045,7.278606153109287,0.38076923076923075,0.6192307692307693
1,Tuesday,240,-0.0008231630088150587,-9.7086257816464e-05,0.002793117603913013,0.0011553090823609232,0.003046758368596733,0.0015455726764677029,0.4708333333333333,-0.0010677255501297847,-0.0004441184789128757,0.004278448442787799,0.002348385560081918,0.004421405020288738,0.002460771070891889,0.4125,-0.0006543441215625899,-0.00022836216599143966,0.006058828475709163,0.003278625622831343,0.005514642548590565,0.0030969805696460457,0.4708333333333333,4.7227997573728864e-05,-7.293106834574346e-05,0.00853049749770631,0.005464948524365458,0.0066753975041494405,0.0042264261954865715,0.49583333333333335,0.0013186917706155918,0.0004868291284551147,0.012280453094516069,0.010692438751572577,0.008221979065038739,0.005333150998738167,0.5291666666666667,6.787846246152661,9.033857306000547,4.023926393969491,5.270359313997244,0.35833333333333334,0.6416666666666667
2,Wednesday,248,-0.0005149664379937804,-0.0001088610281639192,0.002071274962646689,0.0009102330174958675,0.0025979360126731402,0.00158236487114795,0.4596774193548387,-0.0007061829124943455,-0.0003032013685176603,0.0034049041719271065,0.001842546917070035,0.0036492768567783665,0.0023301116109289877,0.46774193548387094,-0.0007214559527230345,-0.0002671933893667247,0.004559493022421346,0.0026769648402842927,0.004650976571247126,0.003068857085025181,0.46774193548387094,-0.0010565061674884327,-0.0005501562121930251,0.006042238703345805,0.00395934048438018,0.006365705966143533,0.00379542777625484,0.4475806451612903,-0.0010143360001114267,-0.0012521302784623558,0.008407004292947742,0.005593691271820458,0.008503750640071674,0.0051897907753137625,0.41935483870967744,4.85407872730089,7.15907602124332,4.763345900831176,6.273525608382022,0.29435483870967744,0.7056451612903226
3,Thursday,260,-0.00012828133099441758,-0.00014966958339208947,0.00198928662183406,0.000963470420080847,0.001856823743408599,0.0013242941537351233,0.4461538461538462,-0.0003265494713587574,-0.00013441257039150623,0.0032688713691092844,0.0018165140714971894,0.0027154362433718577,0.0019380787275331906,0.4653846153846154,-0.00035304981751419255,-0.00011055149744127665,0.004219456147049124,0.0024669915607506273,0.0038066348746066438,0.00258026709221597,0.4807692307692308,-0.0005428414589312727,-0.0001127862085094626,0.006388853515877319,0.003878004603383017,0.005172150845677159,0.003376192885720915,0.48846153846153845,0.0004547694726202711,0.0005416169752341866,0.008849889266449085,0.006392629710001992,0.00665604488669092,0.004508507419165156,0.5423076923076923,5.510192189077163,8.426738820843541,4.351702942157045,5.654012893562479,0.35,0.65
4,Friday,260,-0.0009173663517171665,-0.0002508142278562659,0.002145498420237469,0.0008923791404782467,0.0028636948282248693,0.001466163131566359,0.45,-0.0009412439174787677,-0.0003725761162103814,0.003391866440312062,0.0015225841878574041,0.0039445360921668456,0.002066279138332564,0.4461538461538462,-0.0010950363995473583,-0.0005792835935606061,0.0043482000479885385,0.0020800716417246233,0.004869369655821456,0.002787791820168434,0.4230769230769231,-0.0012490166614256332,-0.0006379478653550599,0.00612920094463945,0.003409770062577036,0.006809255007835002,0.0037447437447323123,0.4423076923076923,-0.0017652143286626318,-0.00024165896181401397,0.00859525447489331,0.005986522744830181,0.009784666442555741,0.005794009700785,0.47307692307692306,4.933207717656716,7.948869725295659,5.104757947628759,8.85149618981771,0.3384615384615385,0.6615384615384615
5,Saturday,260,-0.0006911134178569092,-0.00015574522409681944,0.0017031361436581534,0.0007880011884916805,0.002201430267218269,0.0011140534233689187,0.4230769230769231,-0.0011120455437604434,-0.0005942081374682538,0.002638580722666259,0.001196578278763866,0.003320321672295504,0.0018838146978572084,0.38461538461538464,-0.000950749357710032,-0.0006369980956200919,0.0036119473220352955,0.0017775288388508306,0.004235037959309906,0.0027939510735802853,0.4115384615384615,-0.0011524273136011003,-0.0008739437393724596,0.0052406891086893065,0.0027692208684043243,0.005778057786585466,0.003633666606101508,0.38846153846153847,-0.0012117110062637507,-0.0008503292214243733,0.006890185307605326,0.00399277316699345,0.007888577022893759,0.005311490525503422,0.38076923076923075,4.2695062797169525,8.041362709467826,5.939276898692899,7.644189568511239,0.36538461538461536,0.6346153846153846
6,Sunday,249,-0.0008793297303249834,-0.00013813065276148384,0.0017179189665659596,0.0005049747107042765,0.002174285154518978,0.0010154465778118111,0.43373493975903615,-0.0012960569920643186,-0.0004096743320515626,0.002552096399863568,0.0008951484188964831,0.0033473503073458864,0.0014802121432673976,0.39759036144578314,-0.0016062455859031735,-0.0007458004332745375,0.0035249479547868248,0.0013832717755661943,0.004407842248287723,0.00207774299344077,0.36947791164658633,-0.0019126352722712316,-0.0007922348310796894,0.004875084030446245,0.0020318121976561406,0.005667525456107231,0.0028324052536360263,0.357429718875502,-0.002448084245498205,-0.0012224426999132658,0.006447751129841676,0.002949364777932628,0.008300210823102453,0.004115357621387099,0.3534136546184739,4.412199069972191,10.81438287337996,6.758097017503565,10.207940943056975,0.39759036144578314,0.5863453815261044
