policy_name,symbol_count,trade_count,long_count,short_count,active_symbol_count,no_cost_net_pnl,net_pnl,fee_total,slippage_total,cost_drag,win_rate,profit_factor,avg_win,avg_loss,avg_trade_net_pnl,median_trade_net_pnl,max_drawdown,max_ddpercent,return_drawdown_ratio,sharpe_like,avg_holding_minutes,median_holding_minutes,top_5pct_trade_pnl_contribution,best_trade,worst_trade,largest_symbol_pnl_share,portfolio_turnover,max_concurrent_positions
v3_4h_donchian_55_with_risk_filters,5,30,21,9,5,3.223720000000001,3.1826913600000006,0.036428640000000005,0.004600000000000002,0.041028640000000394,0.3,5.458873629872798,0.4329421727777778,-0.03398991404761903,0.10608971200000002,-0.004269947499999981,0.28913168999952177,0.005779320465870976,11.00775691521488,1.3257603319311986,10912.0,7320.0,0.9424114878672997,2.2385932900000003,-0.2763634149999996,0.6606215592765584,72.85728,3
v3_1d_ema_50_200_atr5,5,69,63,6,5,3.0200400000000016,2.8670487600000016,0.13111124,0.021879999999999997,0.15299123999999997,0.2753623188405797,1.8152259379667834,0.33599605447368425,-0.07033752549999998,0.04155143130434785,-0.014198210000000005,1.8245518200001243,0.036456828224713675,1.571371516321091,1.0423890204315955,27652.159420289856,10080.0,1.5296089348686206,2.1550778100000008,-0.45045852,0.7637549321256709,262.22247999999996,3
v3_4h_donchian_55_20_atr4,5,121,66,55,5,1.803189999999998,1.603546574999999,0.14928342500000003,0.05036,0.199643424999999,0.33884297520661155,1.2636908506431603,0.1874318974390244,-0.07601451525000001,0.013252451033057843,-0.006315870000000007,3.0201580700004342,0.06035209834424568,0.5309478967105085,0.509657016984954,11468.413223140496,8640.0,3.686810415843396,2.2385932900000003,-0.8621097499999999,0.5577472640928447,298.56685,3
v3_4h_donchian_100_30_atr5,5,71,43,28,5,0.9109899999999994,0.7840235649999994,0.09556643499999999,0.03139999999999999,0.12696643500000004,0.352112676056338,1.1687794695246343,0.2171711166,-0.1009837902173913,0.011042585422535202,-0.007489240000000005,1.8268643649998921,0.03652207099918776,0.4291635328931744,0.30485272890516124,16958.859154929578,11280.0,4.908439850274147,1.859397595,-0.6164854349999997,0.9514527633611102,191.13287,3
v3_4h_ema_50_200_atr4,5,491,309,182,5,1.5950600000000024,0.5210463000000023,0.8061737,0.26784,1.0740137,0.2240325865580448,1.045186442110387,0.10956434618181818,-0.030265175275590545,0.0010611940936863591,-0.008771300000000011,3.602896845000032,0.07200702151765782,0.14461871166894252,0.1974376401353838,4018.4052953156825,1440.0,18.967806440617572,1.0729567249999998,-0.509863,0.9792711503770393,1612.3474,3
v3_ensemble_core,5,502,313,189,5,1.2276600000000002,0.17144016000000017,0.8000598400000001,0.25616000000000005,1.05621984,0.2151394422310757,1.0134687373153397,0.11944618449074075,-0.03230646640862944,0.00034151426294820754,-0.008747414999999911,3.856326910000462,0.07707306081221187,0.04445685337397385,0.05938547966984044,4198.081673306773,1800.0,62.185567372312214,1.0729567249999998,-0.8621097499999999,0.7328076312031103,1600.11968,3
v3_1d_donchian_20_10_atr4,5,44,24,20,5,0.0873500000000013,0.01040031500000149,0.06286968500000001,0.01408,0.07694968499999981,0.38636363636363635,1.0025858243223134,0.2372029661764706,-0.14896481888888888,0.00023637079545457934,-0.012805189999999994,1.9416415349996896,0.03883283069999379,0.005356454738182737,0.004179936871051212,42938.11363636364,28800.0,299.05198352161005,1.5294268299999996,-1.3098171649999995,0.9503296663842812,125.73937000000001,3
v3_1d_donchian_55_20_atr5,5,19,9,10,4,-1.0926299999999989,-1.1299465749999988,0.035476574999999996,0.0018400000000000005,0.03731657499999996,0.2631578947368421,0.6970195523666506,0.5198981400000001,-0.2663883767857142,-0.05947087236842099,-0.013968930000000001,1.9059298299998773,0.03811268163944648,-0.5928584343527861,-0.5109144725313441,76320.0,48960.0,-0.8488196311405265,0.9591208350000002,-1.3809527149999994,0.9833970373029789,70.95315,3
v3_4h_vol_compression_donchian_breakout,5,176,98,78,5,-1.1183900000000015,-1.4171260650000008,0.227776065,0.07096000000000002,0.2987360649999993,0.3181818181818182,0.806788047487922,0.105668593125,-0.061121394000000016,-0.008051852642045458,-0.00592396,3.0088722149994283,0.060163670961546956,-0.4709824690910877,-0.6469867214870415,6807.267045454545,5760.0,-2.795883731063826,1.0190585550000002,-0.8621097499999999,1.0,455.55213,3
v3_4h_donchian_20_10_atr4,5,245,135,110,5,-1.6838299999999995,-2.083728325,0.30081832500000005,0.09908,0.39989832500000055,0.3306122448979592,0.800473518060445,0.1032054187037037,-0.06367906853658536,-0.008505013571428572,-0.0054920700000000025,4.527646655000353,0.09051057633104596,-0.4602232647061186,-0.8374509528355902,7487.008163265306,6000.0,-2.6379751640607942,1.0190585550000002,-0.8621097499999999,0.696754033446278,601.6366499999999,3
